Unnamed: 0,ATL,TAM
First Downs,31,23
Rush-Yds-TDs,34-136-1,20-70-0
Cmp-Att-Yd-TD-INT,25-34-344-4-0,33-48-336-4-0
Sacked-Yards,2-19,2-10
Net Pass Yards,325,326
Total Yards,461,396
Fumbles-Lost,3-1,2-2
Turnovers,1,2
Penalties-Yards,6-34,11-85
Third Down Conv.,6-10,8-14
Fourth Down Conv.,0-0,1-2
Time of Possession,33:28,26:32
