Quarter,Time,Tm,Detail,ATL,TAM
1.0,9:28,Buccaneers,Mike Evans 3 yard pass from Jameis Winston (Roberto Aguayo kick),0,7
,7:39,Falcons,Levine Toilolo 32 yard pass from Matt Ryan (Matt Bryant kick),7,7
,6:08,Falcons,Matt Bryant 29 yard field goal,10,7
2.0,13:38,Falcons,Matt Bryant 41 yard field goal,13,7
,8:35,Buccaneers,Mike Evans 24 yard pass from Jameis Winston (Roberto Aguayo kick),13,14
,3:56,Falcons,Taylor Gabriel 9 yard rush (Matt Bryant kick),20,14
3.0,8:54,Falcons,Patrick DiMarco 1 yard pass from Matt Ryan (pass failed),26,14
,3:02,Falcons,Julio Jones 3 yard pass from Matt Ryan (Matt Bryant kick),33,14
4.0,9:56,Falcons,Austin Hooper 2 yard pass from Matt Ryan (Matt Bryant kick),40,14
,6:47,Buccaneers,Adam Humphries 7 yard pass from Jameis Winston (run failed),40,20
,3:42,Falcons,Matt Bryant 50 yard field goal,43,20
,0:59,Buccaneers,Cameron Brate 2 yard pass from Mike Glennon (Brandon Myers pass from Mike Glennon),43,28
