Unnamed: 0,TEN,MIN
First Downs,16,20
Rush-Yds-TDs,14-55-0,27-152-1
Cmp-Att-Yd-TD-INT,20-42-198-0-3,24-30-183-1-0
Sacked-Yards,2-10,3-22
Net Pass Yards,188,161
Total Yards,243,313
Fumbles-Lost,3-1,0-0
Turnovers,4,0
Penalties-Yards,12-85,8-66
Third Down Conv.,3-11,2-11
Fourth Down Conv.,1-2,1-2
Time of Possession,27:17,32:43
