Quarter,Time,Tm,Detail,TEN,MIN
1.0,8:19,Titans,Gary Anderson 40 yard field goal,3,0
,0:38,Vikings,Morten Andersen 29 yard field goal,3,3
2.0,11:34,Vikings,Moe Williams 1 yard rush (Morten Andersen kick),3,10
,0:23,Vikings,Marcus Robinson 2 yard pass from Daunte Culpepper (Morten Andersen kick),3,17
4.0,10:17,Vikings,Morten Andersen 29 yard field goal,3,20
