Quarter,Time,Tm,Detail,CLE,CIN
1.0,10:57,Bengals,Rudi Johnson 5 yard rush (Shayne Graham kick),0,7
,6:20,Browns,Brett Conway 42 yard field goal,3,7
2.0,5:10,Browns,Brett Conway 42 yard field goal,6,7
,2:06,Browns,Lee Suggs 78 yard rush (Brett Conway kick),13,7
4.0,12:15,Bengals,Rudi Johnson 2 yard rush (Shayne Graham kick),13,14
,7:54,Browns,Lee Suggs 25 yard rush (pass failed),19,14
,1:13,Browns,Brett Conway 18 yard field goal,22,14
