Unnamed: 0,CLE,CIN
First Downs,19,21
Rush-Yds-TDs,40-264-2,25-115-2
Cmp-Att-Yd-TD-INT,9-18-115-0-0,23-35-175-0-1
Sacked-Yards,0-0,3-19
Net Pass Yards,115,156
Total Yards,379,271
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,9-69,9-66
Third Down Conv.,4-11,6-14
Fourth Down Conv.,0-1,0-0
Time of Possession,31:05,28:55
