Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Tony Pollard,DAL,11,52,0,3,32,2.9,20,1.8,0,
Dak Prescott,DAL,4,27,0,2,22,5.5,5,1.3,0,
Rico Dowdle,DAL,3,4,0,,0,0.0,4,1.3,0,
CeeDee Lamb,DAL,1,3,1,1,0,0.0,3,3.0,1,1.0
Hunter Luepke,DAL,1,3,0,1,1,1.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Cook,BUF,25,179,1,9,107,4.3,72,2.9,1,25.0
Ty Johnson,BUF,9,54,0,4,34,3.8,20,2.2,0,
Josh Allen,BUF,8,24,1,5,4,0.5,20,2.5,0,
Latavius Murray,BUF,5,11,1,2,-1,-0.2,12,2.4,1,5.0
Kyle Allen,BUF,2,-2,0,,-2,-1.0,0,0.0,0,
