Quarter,Time,Tm,Detail,DAL,BUF
1.0,8:06,Bills,Latavius Murray 2 yard rush (Tyler Bass kick),0,7
2.0,12:52,Bills,James Cook 18 yard pass from Josh Allen (Tyler Bass kick),0,14
,7:13,Cowboys,Brandon Aubrey 32 yard field goal,3,14
,1:36,Bills,Josh Allen 1 yard rush (Tyler Bass kick),3,21
3.0,2:36,Bills,Tyler Bass 23 yard field goal,3,24
4.0,12:30,Bills,James Cook 24 yard rush (Tyler Bass kick),3,31
,2:48,Cowboys,CeeDee Lamb 3 yard rush (Brandon Aubrey kick),10,31
