Unnamed: 0,DAL,BUF
First Downs,14,28
Rush-Yds-TDs,20-89-1,49-266-3
Cmp-Att-Yd-TD-INT,21-34-134-0-1,7-15-94-1-0
Sacked-Yards,3-28,1-9
Net Pass Yards,106,85
Total Yards,195,351
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,5-48,1-15
Third Down Conv.,5-13,5-9
Fourth Down Conv.,1-2,0-0
Time of Possession,24:55,35:05
