Quarter,Time,Down,ToGo,Location,DAL,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brandon Aubrey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BUF 25,0,0,James Cook right guard for 2 yards (tackle by DeMarcus Lawrence),0.610,0.330
1,14:23,2,8,BUF 27,0,0,Josh Allen pass complete short left to Stefon Diggs for 6 yards (tackle by DeMarcus Lawrence),0.330,0.430
1,13:40,3,2,BUF 33,0,0,Josh Allen left tackle for 5 yards (tackle by Chauncey Golston),0.430,1.470
1,13:06,1,10,BUF 38,0,0,James Cook left tackle for 10 yards (tackle by Donovan Wilson and Mazi Smith),1.470,2.130
1,12:26,1,10,BUF 48,0,0,James Cook left tackle for 12 yards (tackle by Micah Parsons and Donovan Wilson),2.130,2.920
1,11:35,1,10,DAL 40,0,0,Josh Allen pass complete deep left to Stefon Diggs for 18 yards (tackle by Stephon Gilmore),2.920,4.110
1,10:56,1,10,DAL 22,0,0,James Cook left guard for 7 yards (tackle by Damone Clark and Markquese Bell),4.110,4.650
1,10:24,2,3,DAL 15,0,0,James Cook up the middle for 3 yards (tackle by Damone Clark and Donovan Wilson),4.650,4.780
1,9:44,1,10,DAL 12,0,0,Josh Allen pass incomplete short right,4.780,4.100
1,9:40,2,10,DAL 12,0,0,Ty Johnson left guard for 6 yards (tackle by Jayron Kearse and Israel Mukuamu),4.100,4.380
1,9:00,3,4,DAL 6,0,0,"Josh Allen pass incomplete short right intended for Stefon Diggs. Penalty on DeMarcus Lawrence: Roughing the Passer, 3 yards (accepted) (no play)",4.380,6.510
1,8:54,1,3,DAL 3,0,0,Josh Allen up the middle for 1 yard (tackle by DeMarcus Lawrence),6.510,5.720
1,8:18,2,2,DAL 2,0,6,"Latavius Murray left guard for 2 yards, touchdown",5.720,7.000
1,8:06,,,DAL 15,0,7,Tyler Bass kicks extra point good,0.000,0.000
1,8:06,,,BUF 35,0,7,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
1,8:06,1,10,DAL 25,0,7,Tony Pollard up the middle for 4 yards (tackle by Jordan Poyer),0.610,0.600
1,7:31,2,6,DAL 29,0,7,Dak Prescott pass incomplete deep middle intended for Brandin Cooks,0.600,-0.100
1,7:25,3,6,DAL 29,0,7,Dak Prescott scrambles right end for 13 yards (tackle by Taylor Rapp),-0.100,1.730
1,7:06,1,10,DAL 42,0,7,"Penalty on Taylor Rapp: Unnecessary Roughness / Defense, 15 yards (offset) Penalty on Zack Martin: Unnecessary Roughness / Offense, 15 yards (offset) (no play)",1.730,1.730
1,7:06,1,10,DAL 42,0,7,Dak Prescott pass complete short right to CeeDee Lamb for 15 yards (tackle by Rasul Douglas and Jordan Poyer),1.730,2.720
1,6:35,1,10,BUF 43,0,7,Tony Pollard left guard for 5 yards (tackle by Terrel Bernard),2.720,2.850
1,6:02,2,5,BUF 38,0,7,"Tony Pollard up the middle for 3 yards (tackle by Taylor Rapp and Jordan Poyer). Penalty on Tyler Smith: Offensive Holding, 10 yards (accepted)",2.850,1.910
1,5:31,2,12,BUF 45,0,7,Rico Dowdle right guard for -2 yards (tackle by Gregory Rousseau),1.910,0.960
1,4:50,3,14,BUF 47,0,7,Dak Prescott sacked by Leonard Floyd for -9 yards,0.960,-0.460
1,4:08,4,23,DAL 44,0,7,"Bryan Anger punts 43 yards, fair catch by Deonte Harty at BUF-13",-0.460,0.320
1,4:01,1,10,BUF 13,0,7,Ty Johnson right tackle for 7 yards (tackle by Damone Clark and Juanyeh Thomas),-0.320,0.220
1,3:21,2,3,BUF 20,0,7,Josh Allen pass incomplete deep left intended for Gabriel Davis,0.220,-0.590
1,3:15,3,3,BUF 20,0,7,Josh Allen pass incomplete short right intended for Stefon Diggs (defended by Stephon Gilmore),-0.590,-2.030
1,3:11,4,3,BUF 20,0,7,"Sam Martin punts 46 yards, fair catch by KaVontae Turpin at DAL-34",-2.030,-1.200
1,3:04,1,10,DAL 34,0,7,Dak Prescott pass incomplete short right intended for Brandin Cooks (defended by Christian Benford),1.200,0.660
1,2:59,2,10,DAL 34,0,7,Dak Prescott pass incomplete short middle intended for Tony Pollard,0.660,-0.030
1,2:53,3,10,DAL 34,0,7,Dak Prescott pass incomplete short right,-0.030,-1.110
1,2:45,4,10,DAL 34,0,7,"Bryan Anger punts 52 yards, fair catch by Deonte Harty at BUF-14",-1.110,0.280
1,2:36,1,10,BUF 14,0,7,James Cook left guard for 8 yards (tackle by Donovan Wilson),-0.280,0.420
1,1:59,2,2,BUF 22,0,7,James Cook up the middle for 2 yards (tackle by Damone Clark),0.420,0.540
1,1:15,1,10,BUF 24,0,7,James Cook up the middle for 2 yards (tackle by Chauncey Golston),0.540,0.270
1,0:35,2,8,BUF 26,0,7,Josh Allen pass incomplete short middle intended for Dalton Kincaid,0.270,-0.430
1,0:31,3,8,BUF 26,0,7,Josh Allen pass incomplete short right,-0.430,-1.630
1,0:25,4,8,BUF 26,0,7,"Sam Martin punts, returned by KaVontae Turpin for no gain (tackle by Tyrel Dodson). Penalty on Sam Williams: Roughing the Kicker, 15 yards (accepted) (no play)",-1.630,1.660
1,0:14,1,10,BUF 41,0,7,Josh Allen pass incomplete short left intended for Dalton Kincaid,1.660,1.120
1,0:11,2,10,BUF 41,0,7,Josh Allen pass complete short right to James Cook for 24 yards (tackle by Damone Clark and Stephon Gilmore),1.120,3.250
Quarter,Time,Down,ToGo,Location,DAL,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 35,0,7,James Cook left end for 8 yards (tackle by Rashaan Evans),3.250,3.780
2,14:19,2,2,DAL 27,0,7,James Cook right guard for 1 yard (tackle by Damone Clark and Osa Odighizuwa),3.780,3.200
2,13:38,3,1,DAL 26,0,7,Ty Johnson left end for 8 yards (tackle by Jourdan Lewis and Donovan Wilson),3.200,4.370
2,12:57,1,10,DAL 18,0,13,"Josh Allen pass complete deep right to James Cook for 18 yards, touchdown",4.370,7.000
2,12:52,,,DAL 15,0,14,Tyler Bass kicks extra point good,0.000,0.000
2,12:52,,,BUF 35,0,14,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,12:52,1,10,DAL 25,0,14,Rico Dowdle up the middle for 1 yard (tackle by Taron Johnson),0.610,0.200
2,12:15,2,9,DAL 26,0,14,"Dak Prescott scrambles right tackle for 5 yards (tackle by Tyrel Dodson). Penalty on Tyrel Dodson: Unnecessary Roughness / Defense, 15 yards (accepted)",0.200,1.990
2,11:52,1,10,DAL 46,0,14,Dak Prescott pass complete short left to Brandin Cooks for 2 yards (tackle by Jordan Poyer),1.990,1.720
2,11:08,2,8,DAL 48,0,14,Dak Prescott pass complete short right to Rico Dowdle for 4 yards (tackle by Taron Johnson),1.720,1.550
2,10:29,3,4,BUF 48,0,14,Dak Prescott pass complete deep left to CeeDee Lamb for 16 yards (tackle by Taylor Rapp),1.550,3.450
2,9:48,1,10,BUF 32,0,14,Rico Dowdle up the middle for 5 yards (tackle by Tyrel Dodson and Shaq Lawson),3.450,3.580
2,9:09,2,5,BUF 27,0,14,Tony Pollard up the middle for 7 yards (tackle by Terrel Bernard and Taylor Rapp),3.580,4.240
2,8:36,1,10,BUF 20,0,14,Tony Pollard right guard for 9 yards (tackle by Jordan Poyer),4.240,5.260
2,7:58,2,1,BUF 11,0,14,Tony Pollard up the middle for -3 yards (tackle by Taylor Rapp),5.260,3.890
2,7:20,3,4,BUF 14,0,14,Dak Prescott pass incomplete short left intended for Jake Ferguson (defended by Ed Oliver) (defended by Jordan Phillips),3.890,2.580
2,7:16,4,4,BUF 14,3,14,Brandon Aubrey 32 yard field goal good,2.580,3.000
2,7:13,,,DAL 35,3,14,"Brandon Aubrey kicks off 62 yards, returned by Ty Johnson for 21 yards (tackle by Tyrus Wheat and Nahshon Wright)",0.000,0.540
2,7:06,1,10,BUF 24,3,14,James Cook right guard for 12 yards (tackle by Damone Clark),0.540,1.330
2,6:26,1,10,BUF 36,3,14,James Cook right end for 4 yards (tackle by Stephon Gilmore and Markquese Bell),1.330,1.330
2,5:41,2,6,BUF 40,3,14,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by Stephon Gilmore and Markquese Bell),1.330,2.060
2,5:11,1,10,BUF 47,3,14,Josh Allen sacked by Mazi Smith for -9 yards,2.060,0.300
2,4:23,2,19,BUF 38,3,14,"Josh Allen pass incomplete deep left intended for Khalil Shakir. Penalty on Jayron Kearse: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.300,2.460
2,4:18,1,10,DAL 47,3,14,James Cook right guard for 4 yards (tackle by Dorance Armstrong),2.460,2.450
2,3:38,2,6,DAL 43,3,14,Josh Allen scrambles right tackle for 9 yards (tackle by Damone Clark),2.450,3.310
2,2:54,1,10,DAL 34,3,14,James Cook left end for 9 yards (tackle by Jourdan Lewis),3.310,3.990
2,2:12,2,1,DAL 25,3,14,Ty Johnson up the middle for 4 yards (tackle by Donovan Wilson),3.990,4.170
2,2:00,1,10,DAL 21,3,14,James Cook right guard for 20 yards (tackle by Jayron Kearse),4.170,6.970
2,1:42,,,,,,Timeout #1 by Dallas Cowboys,,
2,1:42,1,1,DAL 1,3,14,Latavius Murray up the middle for no gain (tackle by Rashaan Evans),6.970,5.910
2,1:39,,,,,,Timeout #2 by Dallas Cowboys,,
2,1:39,2,1,DAL 1,3,20,"Josh Allen left guard for 1 yard, touchdown",5.910,7.000
2,1:36,,,DAL 15,3,21,Tyler Bass kicks extra point good,0.000,0.000
2,1:36,,,BUF 35,3,21,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,1:36,1,10,DAL 25,3,21,Tony Pollard up the middle for 8 yards (tackle by Cameron Lewis),0.610,1.140
2,1:19,2,2,DAL 33,3,21,Dak Prescott pass complete short left to CeeDee Lamb for 2 yards (tackle by Taron Johnson),1.140,1.270
2,1:00,1,10,DAL 35,3,21,Dak Prescott pass incomplete short right intended for CeeDee Lamb,1.270,0.720
2,0:56,2,10,DAL 35,3,21,Dak Prescott pass complete short middle to Rico Dowdle for 4 yards (tackle by Cameron Lewis),0.720,0.560
2,0:37,3,6,DAL 39,3,21,Dak Prescott pass incomplete short left intended for Jake Ferguson (defended by Cameron Lewis),0.560,-0.780
2,0:34,4,6,DAL 39,3,21,Bryan Anger punts 56 yards downed by Nahshon Wright,-0.780,0.380
2,0:19,1,10,BUF 5,3,21,Josh Allen kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,DAL,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,3,21,"Tyler Bass kicks off 67 yards, returned by KaVontae Turpin for 20 yards (tackle by Cameron Lewis)",0.000,0.040
3,14:55,1,10,DAL 18,3,21,Dak Prescott pass complete short right to Brandin Cooks for 8 yards (tackle by Christian Benford),0.040,0.680
3,14:17,2,2,DAL 26,3,21,Tony Pollard right guard for 1 yard (tackle by Tyrel Dodson and Terrel Bernard),0.680,-0.020
3,13:36,3,1,DAL 27,3,21,Hunter Luepke right guard for 3 yards (tackle by Tyrel Dodson),-0.020,0.940
3,13:03,1,10,DAL 30,3,21,Dak Prescott pass complete short middle to Jake Ferguson for 7 yards (tackle by Terrel Bernard and Taylor Rapp),0.940,1.340
3,12:26,2,3,DAL 37,3,21,Tony Pollard left guard for 2 yards (tackle by Linval Joseph and Shaq Lawson),1.340,0.890
3,11:50,3,1,DAL 39,3,21,Dak Prescott sacked by and Tyrel Dodson for -10 yards and Gregory Rousseau for -10 yards,0.890,-1.440
3,11:11,4,11,DAL 29,3,21,"Bryan Anger punts 62 yards, returned by Deonte Harty for 21 yards (tackle by Malik Davis)",-1.440,-0.940
3,10:58,1,10,BUF 30,3,21,James Cook up the middle for 7 yards (tackle by DeMarcus Lawrence and Juanyeh Thomas),0.940,1.340
3,10:16,2,3,BUF 37,3,21,James Cook left tackle for 2 yards (tackle by DeMarcus Lawrence),1.340,0.890
3,9:45,3,1,BUF 39,3,21,Josh Allen left guard for 2 yards (tackle by DeMarcus Lawrence),0.890,1.660
3,9:09,1,10,BUF 41,3,21,Josh Allen pass complete short left to Ty Johnson for 4 yards (tackle by Donovan Wilson),1.660,1.660
3,8:36,2,6,BUF 45,3,21,James Cook left guard for 5 yards (tackle by Damone Clark),1.660,1.620
3,8:16,3,1,BUF 50,3,21,Josh Allen left guard for 4 yards (tackle by Juanyeh Thomas),1.620,2.520
3,7:25,1,10,DAL 46,3,21,James Cook left tackle for 10 yards (tackle by Stephon Gilmore),2.520,3.180
3,6:45,1,10,DAL 36,3,21,James Cook left guard for 4 yards (tackle by Donovan Wilson),3.180,3.180
3,6:05,2,6,DAL 32,3,21,Ty Johnson right end for 9 yards (tackle by Jayron Kearse and Juanyeh Thomas),3.180,4.040
3,5:23,1,10,DAL 23,3,21,Ty Johnson left tackle for 2 yards (tackle by DaRon Bland),4.040,3.770
3,4:42,2,8,DAL 21,3,21,Ty Johnson left tackle for 11 yards (tackle by Neville Gallimore),3.770,4.910
3,4:06,1,10,DAL 10,3,21,James Cook left tackle for 2 yards (tackle by Markquese Bell),4.910,4.570
3,3:28,2,8,DAL 8,3,21,Josh Allen scrambles right guard for 3 yards (tackle by Damone Clark),4.570,4.260
3,2:44,3,5,DAL 5,3,21,Josh Allen pass incomplete short left intended for James Cook (defended by Juanyeh Thomas),4.260,3.010
3,2:39,4,5,DAL 5,3,24,Tyler Bass 23 yard field goal good,3.010,3.000
3,2:36,,,BUF 35,3,24,"Tyler Bass kicks off 64 yards, returned by KaVontae Turpin for 23 yards (tackle by Cameron Lewis)",0.000,0.540
3,2:32,1,10,DAL 24,3,24,Dak Prescott pass complete short left to Jake Ferguson for 1 yard (tackle by Taron Johnson and Tyrel Dodson),0.540,0.130
3,2:03,2,9,DAL 25,3,24,Dak Prescott pass complete short left to Tony Pollard for no gain (tackle by Tyrel Dodson),0.130,-0.560
3,1:22,3,9,DAL 25,3,24,Dak Prescott sacked by Jordan Phillips for -9 yards,-0.560,-2.390
3,0:50,4,18,DAL 16,3,24,"Bryan Anger punts 62 yards, returned by Deonte Harty for 11 yards (tackle by Sam Williams and Chauncey Golston)",-2.390,-1.140
3,0:35,1,10,BUF 33,3,24,James Cook left tackle for 2 yards (tackle by Damone Clark and Carl Davis),1.140,0.860
Quarter,Time,Down,ToGo,Location,DAL,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,BUF 35,3,24,James Cook left tackle for 17 yards (tackle by Juanyeh Thomas),0.860,2.390
4,14:24,1,10,DAL 48,3,24,James Cook up the middle for 2 yards (tackle by Micah Parsons and Dorance Armstrong),2.390,2.120
4,13:45,2,8,DAL 46,3,24,Josh Allen pass incomplete short left intended for Khalil Shakir,2.120,1.420
4,13:41,3,8,DAL 46,3,24,Josh Allen pass complete short right to Stefon Diggs for 17 yards (tackle by Juanyeh Thomas),1.420,3.640
4,12:53,1,10,DAL 29,3,24,"Penalty on DAL: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",3.640,4.370
4,12:36,1,5,DAL 24,3,30,"James Cook right guard for 24 yards, touchdown",4.370,7.000
4,12:30,,,DAL 15,3,31,Tyler Bass kicks extra point good,0.000,0.000
4,12:30,,,BUF 35,3,31,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
4,12:30,1,10,DAL 25,3,31,Dak Prescott pass complete short left to Tony Pollard for 5 yards (tackle by Tyrel Dodson),0.610,0.740
4,11:59,2,5,DAL 30,3,31,Dak Prescott pass incomplete deep middle intended for CeeDee Lamb (defended by Jordan Poyer),0.740,0.040
4,11:52,,,,,,Timeout #1 by Buffalo Bills,,
4,11:52,3,5,DAL 30,3,31,Dak Prescott pass complete short left to Jake Ferguson for 13 yards (tackle by Cameron Lewis),0.040,1.800
