0,1
Game Info,Game Info
Won Toss,Lions (deferred)
Roof,outdoors
Surface,grass
Duration,3:04
Attendance,62431
Weather,"47 degrees, relative humidity 51%, wind 6 mph"
Vegas Line,Detroit Lions -1.5
Over/Under,52.0 (under)
