Quarter,Time,Tm,Detail,DET,CHI
1.0,12:37,Bears,Brandon Marshall 32 yard pass from Jay Cutler (Robbie Gould kick),0,7
,5:57,Lions,Kris Durham 5 yard pass from Matthew Stafford (David Akers kick),7,7
3.0,12:58,Lions,Calvin Johnson 4 yard pass from Matthew Stafford (David Akers kick),14,7
,7:25,Bears,Robbie Gould 25 yard field goal,14,10
4.0,9:17,Bears,Robbie Gould 32 yard field goal,14,13
,2:22,Lions,Calvin Johnson 14 yard pass from Matthew Stafford (David Akers kick),21,13
,0:40,Bears,Brandon Marshall 11 yard pass from Josh McCown (run failed),21,19
