Unnamed: 0,DET,CHI
First Downs,21,19
Rush-Yds-TDs,26-145-0,20-38-0
Cmp-Att-Yd-TD-INT,18-35-219-3-1,27-49-312-2-1
Sacked-Yards,0-0,2-12
Net Pass Yards,219,300
Total Yards,364,338
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,5-51,5-39
Third Down Conv.,5-12,7-17
Fourth Down Conv.,0-1,1-2
Time of Possession,28:25,31:35
