Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,WAS 20,0,0,Alfred Morris left tackle for 5 yards (tackle by Kelvin Sheppard),0.280,0.410
1,14:30,2,5,WAS 25,0,0,Kirk Cousins pass complete short right to Andre Roberts for 4 yards (tackle by Brent Grimes),0.410,0.230
1,13:56,3,1,WAS 29,0,0,"Kirk Cousins pass incomplete short right intended for DeSean Jackson (defended by Jamar Taylor). Penalty on Jamar Taylor: Defensive Pass Interference, 4 yards (no play)",0.230,1.140
1,13:51,1,10,WAS 33,0,0,Alfred Morris right guard for 6 yards (tackle by Koa Misi),1.140,1.400
1,13:19,2,4,WAS 39,0,0,Kirk Cousins pass complete short left to Jordan Reed for 12 yards (tackle by Brice McCain and Jamar Taylor),1.400,2.320
1,12:40,1,10,MIA 49,0,0,"Penalty on Trent Williams: False Start, 5 yards (no play)",2.320,1.990
1,12:16,1,15,WAS 46,0,0,Alfred Morris right guard for 9 yards (tackle by Koa Misi and Reshad Jones),1.990,2.320
1,11:40,2,6,MIA 45,0,0,Alfred Morris left end for no gain (tackle by Koa Misi and Kelvin Sheppard),2.320,1.620
1,11:40,3,6,MIA 45,0,0,Kirk Cousins pass complete short left to Jordan Reed for 9 yards (tackle by Ndamukong Suh and Reshad Jones),1.620,3.180
1,10:20,1,10,MIA 36,0,0,Alfred Morris left end for 10 yards (tackle by Jelani Jenkins),3.180,3.840
1,9:40,1,10,MIA 26,0,0,Kirk Cousins sacked by Jordan Phillips for -8 yards,3.840,2.220
1,9:00,2,18,MIA 34,0,0,Alfred Morris middle for 5 yards (tackle by Koa Misi),2.220,2.210
1,8:24,3,13,MIA 29,0,0,Chris Thompson right guard for 2 yards (tackle by Koa Misi),2.210,1.670
1,7:45,4,11,MIA 27,0,3,Kai Forbath 45 yard field goal good,1.670,3.000
1,7:45,,,WAS 35,0,3,"Kai Forbath kicks off 73 yards, returned by LaMichael James for 29 yards (tackle by Kyshoen Jarrett)",0.000,-0.340
1,7:33,1,10,MIA 21,0,3,Ryan Tannehill pass complete short middle to Greg Jennings for 8 yards (tackle by Keenan Robinson),0.340,0.880
1,7:01,2,2,MIA 29,0,3,Lamar Miller right end for 1 yard (tackle by Keenan Robinson and Duke Ihenacho),0.880,0.300
1,6:21,3,1,MIA 30,0,3,Lamar Miller right guard for no gain (tackle by Duke Ihenacho and Jason Hatcher),0.300,-1.370
1,6:02,4,1,MIA 30,0,3,"Matt Darr punts 57 yards, returned by Jamison Crowder for 10 yards (tackle by Zackary Bowman)",-1.370,-0.480
1,5:49,1,10,WAS 23,0,3,Kirk Cousins pass incomplete deep right intended for DeSean Jackson,0.480,-0.070
1,5:41,2,10,WAS 23,0,3,Alfred Morris right guard for 6 yards (tackle by Kelvin Sheppard),-0.070,0.040
1,4:59,3,4,WAS 29,0,3,Kirk Cousins pass complete short middle to Pierre Garcon for 12 yards (tackle by Jamar Taylor and Jelani Jenkins),0.040,1.660
1,4:19,1,10,WAS 41,0,3,"Matt Jones right guard for 2 yards (tackle by Ndamukong Suh). Penalty on Cameron Wake: Defensive Offside, 5 yards (no play)",1.660,2.390
1,3:56,1,5,WAS 46,0,3,Matt Jones right end for no gain (tackle by C.J. Mosley and Koa Misi),2.390,1.800
1,3:16,2,5,WAS 46,0,3,Kirk Cousins pass incomplete short left intended for Jordan Reed,1.800,1.090
1,3:11,3,5,WAS 46,0,3,Kirk Cousins pass complete deep right to Pierre Garcon for 18 yards (tackle by Walt Aikens),1.090,3.180
1,2:31,1,10,MIA 36,0,3,Alfred Morris left end for 4 yards (tackle by Terrence Fede and Earl Mitchell),3.180,3.180
1,1:58,2,6,MIA 32,0,3,Alfred Morris middle for 3 yards (tackle by Jelani Jenkins),3.180,2.870
1,1:20,3,3,MIA 29,0,3,Chris Thompson left end for 2 yards (tackle by Jelani Jenkins and Brice McCain),2.870,2.870
1,0:32,3,3,MIA 29,0,3,Timeout #1 by Washington Redskins,2.870,1.820
1,0:32,4,1,MIA 27,0,3,Kai Forbath 46 yard field goal no good,1.820,-1.330
1,0:27,1,10,MIA 36,0,3,Ryan Tannehill pass incomplete short right intended for Jordan Cameron (defended by Jason Hatcher),1.330,0.790
1,0:22,2,10,MIA 36,0,3,Ryan Tannehill pass complete short left to Jarvis Landry for 8 yards (tackle by Dashon Goldson and Keenan Robinson),0.790,1.160
Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,MIA 44,0,3,Ryan Tannehill pass complete short middle to Jarvis Landry for 5 yards (tackle by Keenan Robinson),1.160,2.190
2,14:35,1,10,MIA 49,0,3,Ryan Tannehill pass incomplete short right intended for Jarvis Landry (defended by DeAngelo Hall),2.190,1.650
2,14:32,2,10,MIA 49,0,3,Lamar Miller right tackle for 1 yard (tackle by Duke Ihenacho and Trent Murphy),1.650,1.090
2,14:00,3,9,,0,3,Ryan Tannehill pass incomplete short middle intended for Jarvis Landry. Penalty on Ja'Wuan James: Illegal Formation (Declined),1.090,-0.060
2,13:54,4,9,,0,3,"Matt Darr punts 50 yards, touchback",-0.060,-0.280
2,13:46,1,10,WAS 20,0,3,Alfred Morris right guard for no gain (tackle by Terrence Fede),0.280,-0.270
2,13:11,2,10,WAS 20,0,3,Alfred Morris left guard for 2 yards (tackle by Terrence Fede),-0.270,-0.690
2,12:36,3,8,WAS 22,0,3,"Kirk Cousins pass complete short left to Pierre Garcon for 14 yards. Penalty on Pierre Garcon: Offensive Pass Interference, 10 yards (no play)",-0.690,-2.360
2,12:15,3,18,WAS 12,0,3,Kirk Cousins pass incomplete short right intended for Jordan Reed is intercepted by Brent Grimes at WAS-23 and returned for 2 yards,-2.360,-4.170
2,12:09,1,10,WAS 21,0,3,Ryan Tannehill pass incomplete deep left intended for Dion Sims,4.170,3.630
2,12:02,2,10,WAS 21,0,3,Ryan Tannehill pass complete short right to Jordan Cameron for 6 yards (tackle by Trent Robinson),3.630,3.810
2,11:26,3,4,WAS 15,0,3,Ryan Tannehill pass complete short right to Damien Williams for 3 yards (tackle by Dashon Goldson),3.810,2.780
2,10:44,4,1,WAS 12,0,3,Damien Williams left end for no gain (tackle by Ryan Kerrigan),2.780,0.350
2,10:38,1,10,WAS 12,0,3,"Alfred Morris right guard for 14 yards (tackle by Reshad Jones). Penalty on Jordan Reed: Offensive Holding, 10 yards",-0.350,0.110
2,10:16,1,6,WAS 16,0,3,Alfred Morris right guard for 4 yards (tackle by Jelani Jenkins),0.110,0.290
2,9:48,2,2,WAS 20,0,3,Alfred Morris left tackle for 4 yards (tackle by Koa Misi),0.290,0.540
2,9:13,1,10,WAS 24,0,3,Kirk Cousins pass complete deep middle to Pierre Garcon for 22 yards (tackle by Brice McCain),0.540,1.990
2,8:28,1,10,WAS 46,0,3,Matt Jones left guard for 5 yards (tackle by Zach Vigil and Reshad Jones),1.990,2.130
2,7:53,2,5,MIA 49,0,3,Matt Jones left tackle for 4 yards (tackle by Earl Mitchell and Kelvin Sheppard),2.130,1.950
2,7:13,3,1,MIA 45,0,3,Matt Jones right end for 6 yards (tackle by Reshad Jones and Brice McCain),1.950,2.980
2,6:31,1,10,MIA 39,0,3,Matt Jones middle for 4 yards (tackle by Jelani Jenkins and Brice McCain),2.980,2.980
2,5:50,2,6,MIA 35,0,3,Jamison Crowder left end for 2 yards (tackle by Reshad Jones),2.980,2.540
2,5:06,3,4,MIA 33,0,3,Kirk Cousins pass complete short left to Jordan Reed for 6 yards (tackle by Reshad Jones and Jamar Taylor),2.540,3.780
2,4:22,1,10,MIA 27,0,3,Kirk Cousins pass complete short left to Pierre Garcon for 4 yards (tackle by Jamar Taylor),3.780,3.770
2,3:35,2,6,MIA 23,0,3,Alfred Morris left end for 9 yards (tackle by Ndamukong Suh),3.770,4.650
2,2:56,1,10,MIA 14,0,3,Kirk Cousins pass complete short left to Derek Carrier for 9 yards (tackle by Jelani Jenkins),4.650,4.650
2,2:38,1,10,MIA 14,0,3,Timeout #1 by Miami Dolphins,4.650,5.670
2,2:38,2,1,MIA 5,0,3,Alfred Morris middle for 4 yards (tackle by Terrence Fede),5.670,6.970
