Unnamed: 0,MIA,WAS
First Downs,19,20
Rush-Yds-TDs,18-74-0,37-161-0
Cmp-Att-Yd-TD-INT,22-34-226-1-0,21-31-196-1-2
Sacked-Yards,3-44,1-8
Net Pass Yards,182,188
Total Yards,256,349
Fumbles-Lost,2-1,1-0
Turnovers,1,2
Penalties-Yards,6-39,11-88
Third Down Conv.,5-12,6-14
Fourth Down Conv.,0-1,0-1
Time of Possession,22:06,37:54
