Quarter,Time,Tm,Detail,MIA,WAS
1.0,7:39,Redskins,Kai Forbath 45 yard field goal,0,3
2.0,1:49,Redskins,Jordan Reed 3 yard pass from Kirk Cousins (Kai Forbath kick),0,10
,0:27,Dolphins,Rishard Matthews 3 yard pass from Ryan Tannehill (Andrew Franks kick),7,10
4.0,11:34,Dolphins,Andrew Franks 22 yard field goal,10,10
,10:22,Dolphins,Jarvis Landry 69 yard punt return (Andrew Franks kick),17,10
