Unnamed: 0,TEN,IND
First Downs,17,21
Rush-Yds-TDs,19-53-0,31-105-1
Cmp-Att-Yd-TD-INT,26-39-250-0-0,13-17-187-3-0
Sacked-Yards,5-43,0-0
Net Pass Yards,207,187
Total Yards,260,292
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,7-35,5-33
Third Down Conv.,2-12,3-6
Fourth Down Conv.,1-5,1-1
Time of Possession,32:57,27:03
