Unnamed: 0,NOR,CHI
First Downs,24,16
Rush-Yds-TDs,35-151-2,7-17-0
Cmp-Att-Yd-TD-INT,23-38-281-2-0,34-54-251-2-0
Sacked-Yards,1-8,2-16
Net Pass Yards,273,235
Total Yards,424,252
Fumbles-Lost,0-0,2-2
Turnovers,0,2
Penalties-Yards,4-35,3-10
Third Down Conv.,7-15,2-12
Fourth Down Conv.,0-0,1-2
Time of Possession,37:26,22:34
