Quarter,Time,Tm,Detail,NOR,CHI
1.0,13:29,Saints,"Safety, Pat O'Donnell Illegal Bat in end zone",2,0
,3:14,Saints,Josh Hill 7 yard pass from Teddy Bridgewater (Wil Lutz kick),9,0
,2:59,Bears,Cordarrelle Patterson 102 yard kickoff return (Eddy Pineiro kick),9,7
2.0,11:33,Bears,Eddy Pineiro 46 yard field goal,9,10
,6:31,Saints,Wil Lutz 39 yard field goal,12,10
3.0,12:00,Saints,Latavius Murray 3 yard rush (Wil Lutz kick),19,10
,2:55,Saints,Taysom Hill 4 yard pass from Teddy Bridgewater (Wil Lutz kick),26,10
4.0,12:45,Saints,Wil Lutz 30 yard field goal,29,10
,4:33,Saints,Latavius Murray 4 yard rush (Wil Lutz kick),36,10
,2:31,Bears,Allen Robinson 7 yard pass from Mitchell Trubisky (Adam Shaheen pass from Mitchell Trubisky),36,18
,0:48,Bears,Javon Wims 6 yard pass from Mitchell Trubisky (Eddy Pineiro kick),36,25
