Quarter,Time,Down,ToGo,Location,NOR,CHI,Detail,EPB,EPA
1,6:51,3,15,NOR 36,2,0,"Penalty on NOR: Delay of Game, 5 yards (no play)",-0.230,-0.890
1,6:51,3,20,NOR 31,2,0,Teddy Bridgewater pass complete short left to Zach Line for 12 yards (tackle by Danny Trevathan),-0.890,-0.520
1,6:05,4,8,NOR 43,2,0,Thomas Morstead punts 36 yards out of bounds,-0.520,-0.340
1,5:56,1,10,CHI 21,2,0,Mitchell Trubisky pass complete short right to Allen Robinson for 4 yards (tackle by Eli Apple),0.340,0.340
1,5:29,2,6,CHI 25,2,0,"Anthony Miller right end for -1 yards (tackle by Vonn Bell). Anthony Miller fumbles (forced by Vonn Bell), recovered by Vonn Bell at CHI-24 (tackle by Anthony Miller)",0.340,-3.970
1,5:23,1,10,CHI 24,2,0,Latavius Murray right tackle for 4 yards (tackle by Roquan Smith),3.970,3.970
1,4:50,2,6,CHI 20,2,0,Teddy Bridgewater pass complete short right to Michael Thomas for 12 yards (tackle by Kyle Fuller),3.970,5.370
1,4:05,1,8,CHI 8,2,0,Latavius Murray left end for 1 yard (tackle by Khalil Mack),5.370,4.760
1,3:23,2,7,CHI 7,2,0,Teddy Bridgewater pass incomplete short right intended for Michael Thomas (defended by Nick Williams),4.760,3.810
1,3:19,3,7,CHI 7,8,0,"Teddy Bridgewater pass complete short right to Josh Hill for 7 yards, touchdown",3.810,7.000
1,3:14,,,CHI 15,9,0,Wil Lutz kicks extra point good,0.000,0.000
1,3:14,,,NOR 35,9,6,"Wil Lutz kicks off 67 yards, returned by Cordarrelle Patterson for 102 yards, touchdown",0.000,7.000
1,2:59,,,NOR 15,9,7,Eddy Pineiro kicks extra point good,0.000,0.000
1,2:59,,,CHI 35,9,7,"Eddy Pineiro kicks off 64 yards, returned by Deonte Harris for 11 yards (tackle by Ben Braunecker)",0.000,-0.350
1,2:53,1,10,NOR 12,9,7,Latavius Murray left guard for 4 yards (tackle by Eddie Jackson),-0.350,-0.370
1,2:14,2,6,NOR 16,9,7,Teddy Bridgewater pass complete short right to Ted Ginn for 3 yards (tackle by Kyle Fuller),-0.370,-0.600
1,1:39,3,3,NOR 19,9,7,Teddy Bridgewater pass incomplete short left intended for Zach Zenner Penalty on NOR: Illegal Shift (Declined),-0.600,-2.140
1,1:32,4,3,NOR 19,9,7,"Thomas Morstead punts 58 yards, returned by Tarik Cohen for 10 yards (tackle by A.J. Klein)",-2.140,-1.140
1,1:21,1,10,CHI 33,9,7,Mitchell Trubisky pass incomplete short middle intended for Allen Robinson,1.140,0.590
1,1:17,2,10,CHI 33,9,7,Mitchell Trubisky pass complete short left to Tarik Cohen for 2 yards (tackle by Demario Davis),0.590,0.170
1,0:43,3,8,CHI 35,9,7,Mitchell Trubisky pass complete short left to Allen Robinson for 17 yards (tackle by Marshon Lattimore and Vonn Bell),0.170,2.390
1,0:06,1,10,NOR 48,9,7,Mitchell Trubisky pass incomplete deep left intended for Allen Robinson,2.390,1.850
Quarter,Time,Down,ToGo,Location,NOR,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,NOR 48,9,7,Mitchell Trubisky pass complete short left to Allen Robinson for 12 yards (tackle by Eli Apple),1.850,3.180
2,14:15,1,10,NOR 36,9,7,Tarik Cohen right tackle for 9 yards (tackle by Eli Apple),3.180,3.850
2,13:44,,,,,,Timeout #1 by Chicago Bears,,
2,13:44,2,1,NOR 27,9,7,Mitchell Trubisky pass complete short right to Trey Burton for 3 yards (tackle by Marcus Williams),3.850,3.970
2,13:08,1,10,NOR 24,9,7,Mitchell Trubisky sacked by Cameron Jordan for -8 yards,3.970,2.350
2,12:22,2,18,NOR 32,9,7,Mitchell Trubisky pass complete short middle to Allen Robinson for 4 yards (tackle by Demario Davis),2.350,2.210
2,11:45,3,14,NOR 28,9,7,Mitchell Trubisky pass incomplete short right intended for Allen Robinson,2.210,1.590
2,11:38,4,14,NOR 28,9,10,Eddy Pineiro 46 yard field goal good,1.590,3.000
2,11:33,,,CHI 35,9,10,"Eddy Pineiro kicks off 69 yards, returned by Deonte Harris for 32 yards (tackle by Sherrick McManis)",0.000,0.810
2,11:27,1,10,NOR 28,9,10,Teddy Bridgewater pass complete short left to Michael Thomas for 4 yards (tackle by Buster Skrine),0.810,0.800
2,10:52,2,6,NOR 32,9,10,Teddy Bridgewater pass incomplete short right intended for Austin Carr,0.800,0.100
2,10:47,3,6,NOR 32,9,10,Teddy Bridgewater right end for 6 yards (tackle by Eddie Goldman),0.100,1.470
2,10:06,1,10,NOR 38,9,10,Teddy Bridgewater pass complete deep middle to Michael Thomas for 17 yards (tackle by Ha Ha Clinton-Dix),1.470,2.590
2,9:29,1,10,CHI 45,9,10,Teddy Bridgewater pass incomplete short right,2.590,2.040
2,9:25,2,10,CHI 45,9,10,Teddy Bridgewater pass complete short left to Michael Thomas for 15 yards (tackle by Prince Amukamara),2.040,3.580
2,8:45,1,10,CHI 30,9,10,Latavius Murray right tackle for 6 yards (tackle by Danny Trevathan),3.580,3.840
2,8:09,2,4,CHI 24,9,10,Teddy Bridgewater pass complete short right to Zach Zenner for 6 yards (tackle by Ha Ha Clinton-Dix),3.840,4.370
2,7:32,1,10,CHI 18,9,10,Taysom Hill right end for -2 yards (tackle by Bilal Nichols),4.370,3.560
2,6:45,2,12,CHI 20,9,10,Teddy Bridgewater pass incomplete deep middle intended for Ted Ginn (defended by Buster Skrine) Penalty on NOR: Illegal Formation (Declined),3.560,2.870
2,6:40,3,12,CHI 20,9,10,Teddy Bridgewater pass incomplete short left intended for Austin Carr,2.870,2.120
2,6:35,4,12,CHI 20,12,10,Wil Lutz 39 yard field goal good,2.120,3.000
2,6:31,,,NOR 35,12,10,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,6:31,1,10,CHI 25,12,10,Mitchell Trubisky pass complete short left to Allen Robinson for 8 yards (tackle by Marshon Lattimore),0.610,1.140
2,6:11,2,2,CHI 33,12,10,Mitchell Trubisky pass incomplete short left,1.140,0.430
2,6:08,,,,,,Timeout #3 by Chicago Bears,,
2,6:08,3,2,CHI 33,12,10,Mitchell Trubisky pass incomplete deep right intended for Anthony Miller,0.430,-1.180
2,6:03,4,2,CHI 33,12,10,Pat O'Donnell punts 34 yards downed by Sherrick McManis,-1.180,-1.140
2,5:51,1,10,NOR 33,12,10,Latavius Murray right guard for 7 yards (tackle by Leonard Floyd),1.140,1.540
2,5:14,2,3,NOR 40,12,10,Teddy Bridgewater pass complete short right to Josh Hill for 9 yards (tackle by Danny Trevathan),1.540,2.190
2,4:35,1,10,NOR 49,12,10,Teddy Bridgewater pass complete deep right to Michael Thomas for 21 yards (tackle by Ha Ha Clinton-Dix and Kyle Fuller),2.190,3.580
2,3:54,1,10,CHI 30,12,10,Latavius Murray right end for no gain (tackle by Ha Ha Clinton-Dix),3.580,3.030
2,3:12,,,,,,Timeout #1 by New Orleans Saints,,
2,3:12,2,10,CHI 30,12,10,Teddy Bridgewater pass incomplete deep left intended for Ted Ginn (defended by Prince Amukamara),3.030,2.340
2,3:06,3,10,CHI 30,12,10,Teddy Bridgewater pass complete short middle to Michael Thomas for 6 yards (tackle by Prince Amukamara),2.340,1.940
2,2:22,,,,,,Timeout #2 by New Orleans Saints,,
2,2:22,4,4,CHI 24,12,10,Wil Lutz 42 yard field goal no good,1.940,-1.070
2,2:17,1,10,CHI 32,12,10,Mitchell Trubisky pass complete short middle to Trey Burton for 8 yards (tackle by A.J. Klein),1.070,1.610
2,2:00,2,2,CHI 40,12,10,Mitchell Trubisky pass incomplete short middle intended for Trey Burton,1.610,0.890
2,1:56,3,2,CHI 40,12,10,Mitchell Trubisky pass complete short right to Tarik Cohen for -5 yards (tackle by Chauncey Gardner-Johnson),0.890,-1.040
2,1:49,,,,,,Timeout #3 by New Orleans Saints,,
2,1:49,4,7,CHI 35,12,10,"Pat O'Donnell punts 51 yards, returned by Deonte Harris for 23 yards (tackle by Roquan Smith)",-1.040,-1.400
2,1:36,1,10,NOR 37,12,10,Teddy Bridgewater pass complete short right to Latavius Murray for 5 yards (tackle by Roquan Smith),1.400,1.530
2,1:32,2,5,NOR 42,12,10,Teddy Bridgewater pass incomplete short left intended for Dan Arnold (defended by Roy Robertson-Harris),1.530,0.830
2,1:28,3,5,NOR 42,12,10,Teddy Bridgewater pass incomplete short right intended for Michael Thomas,0.830,-0.590
2,1:24,4,5,NOR 42,12,10,"Thomas Morstead punts 37 yards, returned by Tarik Cohen for -4 yards (tackle by Chauncey Gardner-Johnson)",-0.590,0.060
2,1:14,1,10,CHI 17,12,10,Mitchell Trubisky pass incomplete short right intended for Trey Burton,-0.060,-0.580
2,1:08,2,10,CHI 17,12,10,Mitchell Trubisky pass complete short middle to Anthony Miller for 5 yards (tackle by Chauncey Gardner-Johnson),-0.580,-0.620
2,0:38,3,5,CHI 22,12,10,Mitchell Trubisky pass incomplete short right intended for Tarik Cohen,-0.620,-1.900
2,0:32,4,5,CHI 22,12,10,"Pat O'Donnell punts 45 yards, returned by Deonte Harris for no gain. Penalty on Zach Line: Offensive Holding, 10 yards",-1.900,-0.480
2,0:15,1,10,NOR 23,12,10,Teddy Bridgewater kneels for -1 yards,0.480,-0.200
Quarter,Time,Down,ToGo,Location,NOR,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,12,10,"Eddy Pineiro kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NOR 25,12,10,Latavius Murray left guard for 7 yards (tackle by Danny Trevathan),0.610,1.010
3,14:23,2,3,NOR 32,12,10,Teddy Bridgewater pass incomplete short right intended for Ted Ginn,1.010,0.300
3,14:19,3,3,NOR 32,12,10,Teddy Bridgewater right tackle for 3 yards (tackle by Khalil Mack),0.300,1.270
3,13:33,1,10,NOR 35,12,10,Latavius Murray right guard for 17 yards (tackle by Roquan Smith),1.270,2.390
3,12:50,1,10,CHI 48,12,10,Teddy Bridgewater pass complete deep middle to Ted Ginn for 45 yards (tackle by Prince Amukamara),2.390,6.510
3,12:04,1,3,CHI 3,18,10,"Latavius Murray right guard for 3 yards, touchdown",6.510,7.000
3,12:00,,,CHI 15,19,10,Wil Lutz kicks extra point good,0.000,0.000
3,12:00,,,NOR 35,19,10,"Wil Lutz kicks off 60 yards, returned by Cordarrelle Patterson for 20 yards (tackle by Marcus Williams)",0.000,0.610
3,11:55,1,10,CHI 25,19,10,"David Montgomery left tackle for 4 yards (tackle by Marcus Davenport and Marcus Williams). David Montgomery fumbles (forced by Marcus Williams), recovered by A.J. Klein at CHI-29 (tackle by David Montgomery)",0.610,-3.640
3,11:47,1,10,CHI 29,19,10,Zach Line left guard for 3 yards (tackle by Khalil Mack),3.640,3.510
3,11:09,2,7,CHI 26,19,10,Teddy Bridgewater sacked by Abdullah Anderson for -8 yards,3.510,1.750
3,10:27,3,15,CHI 34,19,10,Teddy Bridgewater pass incomplete short middle intended for Taysom Hill (defended by Roquan Smith),1.750,1.060
3,10:22,4,15,CHI 34,19,10,Wil Lutz 52 yard field goal no good,1.060,-1.730
3,10:17,1,10,CHI 42,19,10,Mitchell Trubisky pass complete short right to Taylor Gabriel for 6 yards (tackle by Eli Apple),1.730,2.000
3,9:36,2,4,CHI 48,19,10,Mitchell Trubisky pass incomplete short right,2.000,1.290
3,9:30,3,4,CHI 48,19,10,Mitchell Trubisky sacked by Cameron Jordan for -8 yards,1.290,-0.720
3,8:44,4,12,CHI 40,19,10,"Pat O'Donnell punts 36 yards, returned by Deonte Harris for no gain (tackle by Ben Braunecker). Penalty on Eli Apple: Illegal Block Above the Waist (Offsetting)",-0.720,-0.540
3,8:28,1,10,NOR 24,19,10,Teddy Bridgewater pass complete short left to Latavius Murray for 6 yards (tackle by Leonard Floyd),0.540,0.810
3,7:43,2,4,NOR 30,19,10,Latavius Murray left guard for 5 yards (tackle by Bilal Nichols),0.810,1.270
3,7:05,1,10,NOR 35,19,10,Latavius Murray right guard for 3 yards (tackle by Bilal Nichols),1.270,1.130
3,6:26,2,7,NOR 38,19,10,Teddy Bridgewater pass complete short left to Dwayne Washington for 6 yards (tackle by Danny Trevathan),1.130,1.220
3,5:55,3,1,NOR 44,19,10,Taysom Hill right end for 23 yards (tackle by Eddie Jackson),1.220,3.380
3,5:12,1,10,CHI 33,19,10,Latavius Murray left guard for 4 yards (tackle by Abdullah Anderson),3.380,3.380
3,4:35,2,6,CHI 29,19,10,Teddy Bridgewater pass complete short left to Michael Thomas for 8 yards (tackle by Buster Skrine),3.380,4.170
3,3:55,1,10,CHI 21,19,10,Teddy Bridgewater pass incomplete deep right,4.170,3.630
3,3:47,2,10,CHI 21,19,10,Latavius Murray right guard for 15 yards (tackle by Buster Skrine),3.630,5.830
3,3:28,1,6,CHI 6,19,10,Latavius Murray left end for 2 yards (tackle by Prince Amukamara and Danny Trevathan),5.830,5.340
3,2:59,2,4,CHI 4,25,10,"Teddy Bridgewater pass complete short right to Taysom Hill for 4 yards, touchdown",5.340,7.000
3,2:55,,,CHI 15,26,10,Wil Lutz kicks extra point good,0.000,0.000
3,2:55,,,NOR 35,26,10,"Wil Lutz kicks off 62 yards, returned by Cordarrelle Patterson for 16 yards (tackle by Craig Robertson)",0.000,0.150
3,2:49,1,10,CHI 19,26,10,Cordarrelle Patterson left end for 2 yards (tackle by Demario Davis),0.150,-0.060
3,2:09,2,8,CHI 21,26,10,Mitchell Trubisky pass incomplete deep right intended for Allen Robinson (defended by Vonn Bell) (defended by Marcus Williams),-0.060,-0.810
3,1:58,3,8,CHI 21,26,10,Mitchell Trubisky pass incomplete short right intended for Tarik Cohen,-0.810,-1.960
3,1:55,4,8,CHI 21,26,10,"Pat O'Donnell punts 43 yards, returned by Deonte Harris for 14 yards (tackle by Trey Burton)",-1.960,-2.260
3,1:44,1,10,NOR 50,26,10,Latavius Murray left guard for 4 yards (tackle by Eddie Goldman),2.260,2.250
3,1:02,2,6,CHI 46,26,10,Teddy Bridgewater pass incomplete short middle intended for Zach Line,2.250,1.550
3,1:00,3,6,CHI 46,26,10,Teddy Bridgewater pass complete short right to Josh Hill for 27 yards (tackle by Roquan Smith),1.550,4.310
3,0:12,1,10,CHI 19,26,10,Latavius Murray left tackle for 2 yards (tackle by Danny Trevathan),4.310,4.030
Quarter,Time,Down,ToGo,Location,NOR,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,CHI 17,26,10,Teddy Bridgewater pass complete short left to Latavius Murray for 12 yards (tackle by Ha Ha Clinton-Dix),4.030,6.060
4,14:22,1,5,CHI 5,26,10,"Latavius Murray left guard for 5 yards. Penalty on Josh Hill: Offensive Holding, 10 yards (no play)",6.060,4.370
4,14:17,1,15,CHI 15,26,10,Teddy Bridgewater pass complete short left to Latavius Murray for 2 yards (tackle by Khalil Mack),4.370,3.720
4,13:34,2,13,CHI 13,26,10,Teddy Bridgewater pass incomplete short left intended for Latavius Murray,3.720,3.060
4,13:29,3,13,CHI 13,26,10,Zach Zenner right guard for 1 yard (tackle by Roquan Smith),3.060,2.630
4,12:49,4,12,CHI 12,29,10,Wil Lutz 30 yard field goal good,2.630,3.000
4,12:45,,,NOR 35,29,10,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,12:45,1,10,CHI 25,29,10,Mitchell Trubisky pass complete short middle to Allen Robinson for 9 yards (tackle by Chauncey Gardner-Johnson),0.610,1.280
4,12:19,2,1,CHI 34,29,10,Mitchell Trubisky pass complete short left to Anthony Miller for 4 yards (tackle by Chauncey Gardner-Johnson),1.280,1.470
4,11:58,1,10,CHI 38,29,10,Mitchell Trubisky pass complete short middle to Tarik Cohen for 3 yards (tackle by Demario Davis),1.470,1.330
4,11:31,2,7,CHI 41,29,10,Mitchell Trubisky pass complete short right to Tarik Cohen for 7 yards (tackle by Eli Apple),1.330,2.130
4,11:01,1,10,CHI 48,29,10,"Penalty on Trey Burton: False Start, 5 yards (no play)",2.130,1.800
4,10:46,1,15,CHI 43,29,10,Mitchell Trubisky pass complete short right to David Montgomery for 10 yards (tackle by Vonn Bell),1.800,2.260
4,10:13,2,5,NOR 47,29,10,Mitchell Trubisky pass incomplete short middle intended for Anthony Miller,2.260,1.550
4,10:09,3,5,NOR 47,29,10,Mitchell Trubisky pass complete short middle to Tarik Cohen for 2 yards (tackle by Vonn Bell),1.550,0.270
4,9:23,4,3,NOR 45,29,10,Mitchell Trubisky pass incomplete short right,0.270,-1.930
4,9:18,1,10,NOR 45,29,10,Latavius Murray left tackle for 5 yards (tackle by Isaiah Irving and Danny Trevathan),1.930,2.060
4,8:34,2,5,NOR 50,29,10,Latavius Murray right end for 1 yard (tackle by Danny Trevathan),2.060,1.490
4,7:49,3,4,CHI 49,29,10,Teddy Bridgewater pass complete deep left to Michael Thomas for 34 yards (tackle by Kyle Fuller),1.490,4.580
4,6:59,1,10,CHI 15,29,10,Latavius Murray left tackle for 2 yards (tackle by Khalil Mack),4.580,4.280
4,6:07,2,8,CHI 13,29,10,Latavius Murray right end for 3 yards (tackle by Khalil Mack),4.280,4.000
4,5:21,3,5,CHI 10,29,10,Latavius Murray right guard for 6 yards (tackle by Khalil Mack and Prince Amukamara),4.000,6.280
4,4:37,1,4,CHI 4,35,10,"Latavius Murray left guard for 4 yards, touchdown",6.280,7.000
4,4:33,,,CHI 15,36,10,Wil Lutz kicks extra point good,0.000,0.000
4,4:33,,,NOR 35,36,10,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,4:33,1,10,CHI 25,36,10,Mitchell Trubisky pass complete short right to Tarik Cohen for -6 yards (tackle by Chauncey Gardner-Johnson),0.610,-0.810
4,4:25,2,16,CHI 19,36,10,Mitchell Trubisky pass complete deep middle to Anthony Miller for 28 yards (tackle by Carl Granderson),-0.810,2.060
4,3:53,1,10,CHI 47,36,10,Mitchell Trubisky pass complete short right to Anthony Miller for 13 yards (tackle by Marcus Williams),2.060,2.920
4,3:49,1,10,NOR 40,36,10,Mitchell Trubisky pass complete short right to Tarik Cohen for 9 yards (tackle by Marcus Williams),2.920,3.590
4,3:43,2,1,NOR 31,36,10,Mitchell Trubisky pass complete short middle to Adam Shaheen for 6 yards (tackle by Kiko Alonso),3.590,3.910
4,3:18,1,10,NOR 25,36,10,Mitchell Trubisky pass complete short right to Adam Shaheen for 18 yards (tackle by Craig Robertson),3.910,5.600
4,2:49,1,7,NOR 7,36,10,Mitchell Trubisky pass incomplete short left intended for Anthony Miller (defended by Chauncey Gardner-Johnson),5.600,4.760
4,2:44,2,7,NOR 7,36,10,Mitchell Trubisky pass incomplete short middle intended for Allen Robinson,4.760,3.810
4,2:40,3,7,NOR 7,36,10,Mitchell Trubisky pass incomplete short left intended for Cordarrelle Patterson (defended by Chauncey Gardner-Johnson),3.810,2.970
4,2:36,4,7,NOR 7,36,16,"Mitchell Trubisky pass complete short middle to Allen Robinson for 7 yards, touchdown",2.970,7.000
4,2:31,,,NOR 2,36,18,"Two Point Attempt: Mitchell Trubisky pass complete to Adam Shaheen, conversion succeeds",1.000,1.000
4,2:31,,,CHI 35,36,18,"Eddy Pineiro kicks onside 9 yards, recovered by Cordarrelle Patterson",0.000,-1.800
4,2:28,1,10,CHI 43,36,18,Mitchell Trubisky pass complete short middle to Tarik Cohen for 4 yards (tackle by Vonn Bell),1.800,1.790
4,2:22,2,6,CHI 47,36,18,Mitchell Trubisky pass complete short middle to Anthony Miller for 14 yards (tackle by Kiko Alonso),1.790,2.980
4,2:01,1,10,NOR 39,36,18,Mitchell Trubisky pass complete short left to Allen Robinson for 12 yards (tackle by Eli Apple),2.980,3.780
4,1:56,1,10,NOR 27,36,18,Mitchell Trubisky pass incomplete deep middle intended for Anthony Miller (defended by Marshon Lattimore),3.780,3.230
4,1:50,2,10,NOR 27,36,18,Mitchell Trubisky pass complete short right to Cordarrelle Patterson for 10 yards (tackle by Craig Robertson),3.230,4.440
4,1:45,1,10,NOR 17,36,18,Mitchell Trubisky pass complete short right to David Montgomery for 3 yards (tackle by Craig Robertson),4.440,4.320
4,1:17,2,7,NOR 14,36,18,Mitchell Trubisky pass incomplete short middle intended for Tarik Cohen,4.320,3.500
4,1:14,3,7,NOR 14,36,18,Mitchell Trubisky pass complete short right to Allen Robinson for 8 yards (tackle by Marshon Lattimore),3.500,5.830
4,0:54,1,6,NOR 6,36,24,"Mitchell Trubisky pass complete short left to Javon Wims for 6 yards, touchdown",5.830,7.000
4,0:48,,,,,,Timeout #1 by New Orleans Saints,,
4,0:48,,,NOR 15,36,25,Eddy Pineiro kicks extra point good,0.000,0.000
4,0:48,,,CHI 35,36,25,"Eddy Pineiro kicks onside 8 yards,",0.000,2.980
4,0:46,1,10,CHI 39,36,25,Latavius Murray right tackle for 4 yards (tackle by Leonard Floyd),2.980,2.980
4,0:40,,,,,,Timeout #1 by Chicago Bears,,
4,0:40,2,6,CHI 35,36,25,Latavius Murray left tackle for 2 yards (tackle by Nick Williams),2.980,2.540
4,0:35,,,,,,Timeout #2 by Chicago Bears,,
4,0:35,3,4,CHI 33,36,25,"Penalty on Nick Williams: Neutral Zone Infraction, 5 yards (no play)",2.540,3.710
4,0:35,1,10,CHI 28,36,25,Teddy Bridgewater kneels for -1 yards,3.710,3.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
