Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Latavius Murray,NOR,27,119,2,6,92,3.4,27,1.0,4,6.8
Teddy Bridgewater,NOR,4,7,0,2,7,1.8,0,0.0,0,
Taysom Hill,NOR,2,21,0,1,17,8.5,4,2.0,0,
Zach Line,NOR,1,3,0,,3,3.0,0,0.0,0,
Zach Zenner,NOR,1,1,0,0,1,1.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Tarik Cohen,CHI,3,10,0,0,10,3.3,0,0.0,0,
David Montgomery,CHI,2,6,0,,6,3.0,0,0.0,0,
Anthony Miller,CHI,1,-1,0,0,-1,-1.0,0,0.0,0,
Cordarrelle Patterson,CHI,1,2,0,0,2,2.0,0,0.0,0,
