Quarter,Time,Tm,Detail,NOR,DEN
1.0,9:01,Broncos,Nate Jackson 1 yard pass from Jay Cutler (Matt Prater kick),0,7
,2:07,Saints,Martin Gramatica 43 yard field goal,3,7
,0:27,Broncos,Brandon Marshall 35 yard pass from Jay Cutler (Matt Prater kick),3,14
2.0,14:11,Broncos,Nate Webster 34 yard defensive fumble return (Matt Prater kick),3,21
,9:16,Saints,Pierre Thomas 5 yard rush (Martin Gramatica kick),10,21
,6:51,Saints,Reggie Bush 23 yard rush (Martin Gramatica kick),17,21
,2:55,Broncos,Matt Prater 27 yard field goal,17,24
,0:23,Saints,"Safety, Charles Grant and Sedrick Ellis tackled Andre Hall in end zone.",19,24
3.0,7:37,Broncos,Michael Pittman 2 yard rush (Matt Prater kick),19,31
,7:02,Saints,Reggie Bush 6 yard pass from Drew Brees (Martin Gramatica kick),26,31
,2:20,Broncos,Matt Prater 34 yard field goal,26,34
4.0,10:00,Saints,Pierre Thomas 10 yard rush (pass failed),32,34
