Quarter,Time,Down,ToGo,Location,NOR,DEN,Detail,EPB,EPA
1,9:01,1,10,NOR 20,0,7,Drew Brees pass complete short right to Jeremy Shockey for 12 yards (tackle by Marlon McCree),0.280,1.070
1,8:25,1,10,NOR 32,0,7,Reggie Bush left guard for 3 yards (tackle by D.J. Williams and Jamie Winborn),1.070,0.930
1,7:46,2,7,NOR 35,0,7,Drew Brees pass complete short middle to Jeremy Shockey for 7 yards (tackle by Ebenezer Ekuban),0.930,1.730
1,7:03,1,10,NOR 42,0,7,Drew Brees pass complete short middle to Jeremy Shockey for 7 yards (tackle by Nate Webster),1.730,2.130
1,6:25,2,3,NOR 49,0,7,Reggie Bush left end for 2 yards (tackle by Boss Bailey),2.130,1.690
1,5:46,3,1,DEN 49,0,7,Reggie Bush left end for 2 yards (tackle by John Engelberger),1.690,2.460
1,4:59,,,,0,7,Timeout #1 by New Orleans Saints,0.000,2.460
1,4:59,1,10,DEN 47,0,7,Reggie Bush left guard for 5 yards (tackle by Ebenezer Ekuban and Nate Webster),2.460,2.590
1,4:22,2,5,DEN 42,0,7,Drew Brees pass complete short left to Reggie Bush for 14 yards (tackle by Dre' Bly),2.590,3.710
1,3:41,1,10,DEN 28,0,7,Drew Brees pass complete short right to Pierre Thomas for 1 yard (tackle by Boss Bailey),3.710,3.300
1,2:55,2,9,DEN 27,0,7,Drew Brees pass incomplete short middle intended for Jeremy Shockey,3.300,2.610
1,2:50,3,9,DEN 27,0,7,Drew Brees pass complete short right to Reggie Bush for 2 yards (tackle by Marquand Manuel),2.610,1.800
1,2:12,4,7,DEN 25,3,7,Martin Gramatica 43 yard field goal good,1.800,3.000
1,,,,NOR 30,3,7,"Martin Gramatica kicks off 63 yards, returned by Andre Hall for 28 yards (tackle by Buck Ortega)",0.000,1.270
1,2:01,1,10,DEN 35,3,7,Jay Cutler pass complete deep right to Daniel Graham for 21 yards (tackle by Roman Harper),1.270,2.650
1,1:31,1,10,NOR 44,3,7,Jay Cutler pass complete short left to Brandon Stokley for 5 yards (tackle by Tracy Porter),2.650,2.780
1,1:04,2,5,NOR 39,3,7,"Jay Cutler pass complete short right to Peyton Hillis for 4 yards (tackle by Randall Gay). Penalty on Jo-Lonn Dunbar: Defensive Offside, 4 yards (no play)",2.780,3.330
1,1:04,2,1,NOR 35,3,13,"Jay Cutler pass complete deep middle to Brandon Marshall for 35 yards, touchdown",3.330,7.000
,,,,,,,"DEN challenged the pass completion ruling, and the original play was overturned.",,
1,,,,NOR 2,3,14,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,3,14,"Matt Prater kicks off 71 yards, returned by Pierre Thomas for 25 yards (tackle by Niko Koutouvides)",0.000,0.540
1,0:22,1,10,NOR 24,3,14,Reggie Bush for 6 yards,0.540,0.810
Quarter,Time,Down,ToGo,Location,NOR,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,NOR 30,3,14,Drew Brees pass complete short middle to Pierre Thomas for 3 yards (tackle by Nate Webster),0.810,0.500
2,14:25,3,1,NOR 33,3,20,"Reggie Bush up the middle for 1 yard (tackle by John Engelberger). Reggie Bush fumbles (forced by John Engelberger), recovered by Nate Webster at NOR-34 and returned for 34 yards, touchdown",0.500,-7.000
2,,,,NOR 2,3,21,Matt Prater kicks extra point good,0.000,0.000
2,,,,DEN 30,3,21,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
2,14:11,1,10,NOR 20,3,21,Drew Brees pass incomplete short middle intended for Reggie Bush,0.280,-0.270
2,14:04,2,10,NOR 20,3,21,Reggie Bush right tackle for -1 yards (tackle by Nate Webster),-0.270,-1.140
2,13:26,3,11,NOR 19,3,21,Drew Brees pass complete short right to Reggie Bush for 23 yards (tackle by Marlon McCree),-1.140,1.730
2,13:00,1,10,NOR 42,3,21,Reggie Bush left guard for 3 yards (tackle by Nate Webster),1.730,1.590
2,12:25,2,7,NOR 45,3,21,Pierre Thomas up the middle for 1 yard (tackle by D.J. Williams),1.590,1.030
2,11:46,,,,3,21,Timeout #2 by New Orleans Saints,0.000,1.030
2,11:46,3,6,NOR 46,3,21,Drew Brees pass complete deep left to Billy Miller for 28 yards (tackle by Dre' Bly),1.030,3.840
2,11:00,1,10,DEN 26,3,21,Drew Brees pass complete short left to David Patten for 8 yards,3.840,4.450
2,10:29,2,2,DEN 18,3,21,Reggie Bush right tackle for 3 yards (tackle by D.J. Williams),4.450,4.580
2,9:52,1,10,DEN 15,3,21,Drew Brees pass complete short right to Reggie Bush for 10 yards (tackle by Nate Webster),4.580,6.060
2,9:21,1,5,DEN 5,9,21,"Pierre Thomas up the middle for 5 yards, touchdown",6.060,7.000
2,,,,DEN 2,10,21,Martin Gramatica kicks extra point good,0.000,0.000
2,,,,NOR 30,10,21,"Martin Gramatica kicks off 70 yards, touchback",0.000,0.280
2,9:16,1,10,DEN 20,10,21,Jay Cutler pass incomplete deep middle intended for Eddie Royal is intercepted by Mike McKenzie at tm_-50 and returned for 14 yards (tackle by Ben Hamilton),0.280,-3.180
2,9:03,1,10,DEN 36,10,21,Reggie Bush up the middle for -3 yards (tackle by Jamie Winborn),3.180,2.230
2,8:26,2,13,DEN 39,10,21,"Drew Brees pass complete short right to Reggie Bush for 1 yard. Penalty on Zach Strief: Offensive Holding, 10 yards",2.230,1.020
2,8:15,2,22,DEN 48,10,21,Drew Brees pass complete deep middle to Lance Moore for 18 yards (tackle by Dre' Bly),1.020,2.740
2,7:30,3,4,DEN 30,10,21,Drew Brees pass complete short left to Reggie Bush for 7 yards,2.740,4.040
2,7:00,1,10,DEN 23,16,21,"Reggie Bush left guard for 23 yards, touchdown",4.040,7.000
2,,,,DEN 2,17,21,Martin Gramatica kicks extra point good,0.000,0.000
2,,,,NOR 30,17,21,"Martin Gramatica kicks off 62 yards, returned by Peyton Hillis for 25 yards (tackle by Kevin Kaesviharn)",0.000,1.140
2,6:44,1,10,DEN 33,17,21,Selvin Young left tackle for 9 yards (tackle by Charles Grant),1.140,1.810
2,6:09,2,1,DEN 42,17,21,Selvin Young left end for -2 yards (tackle by Mike McKenzie),1.810,0.830
2,5:33,3,3,DEN 40,17,21,Jay Cutler pass complete short middle to Brandon Marshall for 29 yards (tackle by Kevin Kaesviharn),0.830,3.510
2,4:59,1,10,NOR 31,17,21,Selvin Young up the middle for 19 yards (tackle by Josh Savage),3.510,4.780
2,4:23,1,10,NOR 12,17,21,Selvin Young right guard for 4 yards (tackle by Kendrick Clancy and Josh Savage),4.780,4.830
2,3:42,2,6,NOR 8,17,21,Selvin Young up the middle for -1 yards (tackle by Will Smith),4.830,3.700
2,3:02,3,7,NOR 9,17,21,Jay Cutler pass incomplete short middle intended for Brandon Stokley (defended by Roman Harper),3.700,2.830
2,2:59,4,7,NOR 9,17,24,Matt Prater 27 yard field goal good,2.830,3.000
2,,,,DEN 30,17,24,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
2,2:55,1,10,NOR 20,17,24,Drew Brees pass complete short middle to Jeremy Shockey for 14 yards (tackle by Marquand Manuel),0.280,1.200
2,2:34,,,,17,24,Timeout #1 by Denver Broncos,0.000,1.200
2,2:34,1,10,NOR 34,17,24,Drew Brees pass complete deep middle to Devery Henderson for 19 yards (tackle by D.J. Williams),1.200,2.460
2,2:09,1,10,DEN 47,17,24,Drew Brees pass complete short right to Jeremy Shockey for 16 yards (tackle by Marquand Manuel),2.460,3.510
2,2:00,1,10,DEN 31,17,24,Drew Brees pass complete short right to Reggie Bush for 1 yard (tackle by Elvis Dumervil),3.510,3.100
2,1:35,2,9,DEN 30,17,24,Drew Brees pass complete short middle to Billy Miller for 13 yards (tackle by Jamie Winborn),3.100,4.440
2,1:11,1,10,DEN 17,17,24,Drew Brees pass complete short left to Robert Meachem for 12 yards (tackle by Marlon McCree). Penalty on Dre' Bly: Illegal Contact (Declined),4.440,6.060
2,1:03,1,5,DEN 5,17,24,Drew Brees pass complete short left to David Patten for 4 yards (tackle by Karl Paymah),6.060,5.910
2,0:57,,,,17,24,Timeout #2 by Denver Broncos,0.000,5.910
2,0:57,2,1,DEN 1,17,24,Pierre Thomas up the middle for no gain (tackle by Dewayne Robertson and D.J. Williams),5.910,5.170
2,0:46,,,,17,24,Timeout #3 by Denver Broncos,0.000,5.170
2,0:46,3,1,DEN 1,17,24,"Drew Brees for no gain. Drew Brees fumbles, recovered by Mike Karney at DEN-1",5.170,3.550
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,0:31,,,,17,24,Timeout #3 by New Orleans Saints,0.000,3.550
2,0:31,4,1,DEN 1,17,24,Pierre Thomas up the middle for no gain (tackle by Nate Webster),3.550,0.380
2,0:27,1,10,DEN 1,19,24,"Andre Hall for -1 yards, safety",-0.380,-2.000
2,,,,DEN 20,19,24,Brett Kern kicks off 43 yards,0.000,2.260
2,0:23,1,10,,19,24,Drew Brees pass incomplete deep middle intended for Jeremy Shockey,2.260,1.710
2,0:17,2,10,,19,24,Drew Brees pass complete short middle to Lance Moore for 17 yards (tackle by D.J. Williams),1.710,3.380
2,0:03,1,10,DEN 33,19,24,Drew Brees spiked the ball,3.380,2.840
2,0:03,2,10,DEN 33,19,24,Martin Gramatica 51 yard field goal no good,2.840,1.600
Quarter,Time,Down,ToGo,Location,NOR,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 30,19,24,"Martin Gramatica kicks off 62 yards, returned by Peyton Hillis for 22 yards (tackle by Usama Young)",0.000,0.940
3,14:53,1,10,DEN 30,19,24,Jay Cutler pass incomplete short left intended for Eddie Royal (defended by Jason David),0.940,0.390
3,14:49,2,10,DEN 30,19,24,Andre Hall right end for 2 yards (tackle by Mike McKenzie),0.390,-0.030
3,14:18,3,8,DEN 32,19,24,Jay Cutler pass incomplete short left intended for Brandon Marshall,-0.030,-1.240
3,14:13,4,8,DEN 32,19,24,"Brett Kern punts 49 yards, returned by Reggie Bush for 17 yards (tackle by Jamie Winborn)",-1.240,-1.330
3,13:58,1,10,NOR 36,19,24,Drew Brees pass complete short left to Mike Karney for 1 yard (tackle by D.J. Williams),1.330,0.930
3,13:21,2,9,NOR 37,19,24,Drew Brees pass complete short right to Lance Moore for 3 yards (tackle by D.J. Williams),0.930,0.630
3,12:44,3,6,NOR 40,19,24,Drew Brees pass incomplete short right intended for Reggie Bush,0.630,-0.720
3,12:39,4,6,NOR 40,19,24,"Steve Weatherford punts 60 yards, touchback",-0.720,-0.280
3,12:29,1,10,DEN 20,19,24,Jay Cutler pass complete short left to Eddie Royal for 5 yards (tackle by Tracy Porter),0.280,0.410
3,12:04,2,5,DEN 25,19,24,Jay Cutler up the middle for 7 yards (tackle by Jo-Lonn Dunbar),0.410,1.070
3,11:20,1,10,DEN 32,19,24,Jay Cutler pass incomplete short right intended for Tony Scheffler,1.070,0.530
3,11:14,2,10,DEN 32,19,24,Andre Hall left tackle for 6 yards (tackle by Charles Grant),0.530,0.630
3,10:30,,,,19,24,Timeout #1 by Denver Broncos,0.000,0.630
3,10:30,3,4,DEN 38,19,24,Selvin Young up the middle for 9 yards (tackle by Roman Harper),0.630,2.060
3,9:57,1,10,DEN 47,19,24,Jay Cutler pass incomplete deep right intended for Brandon Marshall,2.060,1.520
3,9:52,2,10,DEN 47,19,24,"Penalty on Chris Kuper: False Start, 5 yards (no play)",1.520,0.840
3,9:52,2,15,DEN 42,19,24,Jay Cutler pass complete short middle to Michael Pittman for 8 yards (tackle by Scott Shanle),0.840,1.220
3,9:14,3,7,,19,24,"Jay Cutler pass incomplete deep left intended for Brandon Marshall. Penalty on Jason David: Defensive Pass Interference, 22 yards (no play)",1.220,3.710
3,9:08,1,10,NOR 28,19,24,Jay Cutler pass incomplete deep right intended for Brandon Marshall (defended by Kevin Kaesviharn),3.710,3.170
3,9:02,2,10,NOR 28,19,24,Jay Cutler pass complete short left to Brandon Marshall for 12 yards (tackle by Will Smith),3.170,4.510
3,8:28,1,10,NOR 16,19,24,Jay Cutler pass incomplete short left intended for Selvin Young,4.510,3.900
3,8:22,2,10,NOR 16,19,24,Andre Hall left tackle for 14 yards (tackle by Jonathan Vilma),3.900,6.740
3,7:42,1,2,NOR 2,19,30,"Michael Pittman left end for 2 yards, touchdown",6.740,7.000
3,,,,NOR 2,19,31,Matt Prater kicks extra point good,0.000,0.000
3,,,,DEN 30,19,31,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
3,7:37,1,10,NOR 20,19,31,Drew Brees pass complete deep left to Robert Meachem for 74 yards (tackle by Marquand Manuel),0.280,5.830
3,7:08,,,,19,31,Timeout #1 by New Orleans Saints,0.000,5.830
3,7:08,1,6,DEN 6,25,31,"Drew Brees pass complete short right to Reggie Bush for 6 yards, touchdown",5.830,7.000
3,,,,DEN 2,26,31,Martin Gramatica kicks extra point good,0.000,0.000
3,,,,NOR 30,26,31,"Martin Gramatica kicks off 70 yards, touchback",0.000,0.280
3,7:02,1,10,DEN 20,26,31,"Jay Cutler pass complete short left to Brandon Marshall for 12 yards (tackle by Kevin Kaesviharn). Penalty on Daniel Graham: Offensive Pass Interference, 10 yards (no play)",0.280,-0.760
3,6:37,1,20,DEN 10,26,31,Jay Cutler pass complete short left to Tony Scheffler for 9 yards (tackle by Jason David),-0.760,-0.460
3,6:11,2,11,DEN 19,26,31,Jay Cutler pass complete short middle to Eddie Royal for 4 yards (tackle by Mike McKenzie),-0.460,-0.560
3,5:33,3,7,DEN 23,26,31,Jay Cutler pass complete deep right to Brandon Marshall for 33 yards (tackle by Mike McKenzie),-0.560,2.650
3,5:03,,,,26,31,Timeout #2 by Denver Broncos,0.000,2.650
3,5:03,1,10,NOR 44,26,31,Andre Hall left guard for 4 yards (tackle by Charles Grant),2.650,2.650
3,4:24,2,6,NOR 40,26,31,Jay Cutler pass complete deep middle to Brandon Marshall for 18 yards (tackle by Kevin Kaesviharn),2.650,4.110
3,3:49,,,,26,31,Timeout #2 by New Orleans Saints,0.000,4.110
3,3:49,1,10,NOR 22,26,31,Jay Cutler pass incomplete deep right intended for Eddie Royal,4.110,3.560
3,3:43,2,10,NOR 22,26,31,Jay Cutler pass complete short left to Selvin Young for 7 yards (tackle by Jason David),3.560,3.930
3,3:03,3,3,NOR 15,26,31,Michael Pittman left tackle for no gain (tackle by Will Smith),3.930,2.540
3,2:24,4,3,NOR 15,26,34,Matt Prater 34 yard field goal good,2.540,3.000
3,,,,DEN 30,26,34,"Matt Prater kicks off 64 yards, returned by Pierre Thomas for 18 yards (tackle by Spencer Larsen)",0.000,0.540
3,2:14,1,10,NOR 24,26,34,Reggie Bush right tackle for 2 yards (tackle by Boss Bailey),0.540,0.270
3,1:34,2,8,NOR 26,26,34,Drew Brees pass complete short right to Pierre Thomas for 4 yards (tackle by Boss Bailey),0.270,0.100
3,0:51,3,4,NOR 30,26,34,Drew Brees pass complete short middle to Jeremy Shockey for 4 yards (tackle by D.J. Williams),0.100,1.200
3,0:09,1,10,NOR 34,26,34,Drew Brees pass incomplete deep middle intended for Devery Henderson (defended by Champ Bailey),1.200,0.660
3,0:04,2,10,NOR 34,26,34,Reggie Bush left guard for 2 yards (tackle by John Engelberger),0.660,0.230
Quarter,Time,Down,ToGo,Location,NOR,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,NOR 36,26,34,Drew Brees pass complete short middle to Lance Moore for 15 yards (tackle by Dre' Bly). Penalty on Jarvis Moss: Defensive Offside (Declined),0.230,2.320
4,14:39,1,10,DEN 49,26,34,Drew Brees pass complete short left to Reggie Bush for 3 yards (tackle by D.J. Williams),2.320,2.190
4,13:56,2,7,DEN 46,26,34,Reggie Bush left end for 7 yards (tackle by D.J. Williams),2.190,2.980
4,13:31,1,10,DEN 39,26,34,Drew Brees pass complete short right to Jeremy Shockey for 7 yards (tackle by Boss Bailey),2.980,3.390
4,12:50,2,3,DEN 32,26,34,Drew Brees pass complete short right to Reggie Bush for 4 yards (tackle by Nate Webster),3.390,3.710
4,12:30,1,10,DEN 28,26,34,Reggie Bush right end for 6 yards (tackle by Nate Webster),3.710,3.980
4,11:47,2,4,DEN 22,26,34,Drew Brees pass complete short left to Mike Karney for 3 yards (tackle by D.J. Williams),3.980,3.720
4,11:24,3,1,DEN 19,26,34,Reggie Bush left tackle for 3 yards (tackle by Boss Bailey and Nate Webster),3.720,4.510
4,10:49,1,10,DEN 16,26,34,Drew Brees pass complete short left to Lance Moore for 6 yards (tackle by Dre' Bly),4.510,4.970
4,10:09,2,4,DEN 10,32,34,"Pierre Thomas left end for 10 yards, touchdown",4.970,7.000
4,,,,,32,34,"Two Point Attempt: Drew Brees pass incomplete intended for Reggie Bush, conversion fails",1.000,-1.000
4,,,,NOR 30,32,34,"Martin Gramatica kicks off 69 yards, returned by Andre Hall for 22 yards (tackle by Marvin Mitchell)",0.000,0.480
4,9:54,1,10,DEN 23,32,34,"Eddie Royal right end for 6 yards (tackle by Roman Harper). Penalty on Roman Harper: Unnecessary Roughness, 15 yards",0.480,1.860
4,9:34,1,10,DEN 44,32,34,Jay Cutler pass complete short left to Eddie Royal for -2 yards (tackle by Tracy Porter),1.860,1.050
4,8:56,2,12,DEN 42,32,34,Jay Cutler pass complete deep left to Brandon Marshall for 28 yards (tackle by Tracy Porter). Penalty on Jason David: Defensive Pass Interference (Declined),1.050,3.580
4,8:29,1,10,NOR 30,32,34,Jay Cutler pass complete short right to Tony Scheffler for 9 yards (tackle by Kevin Kaesviharn),3.580,4.250
4,7:58,2,1,NOR 21,32,34,Jay Cutler pass incomplete short left intended for Daniel Graham (defended by Scott Shanle),4.250,3.530
4,7:53,3,1,NOR 21,32,34,"Penalty on Peyton Hillis: False Start, 5 yards (no play)",3.530,2.870
4,7:53,3,6,NOR 26,32,34,Jay Cutler pass complete short left to Brandon Stokley for 7 yards (tackle by Tracy Porter),2.870,4.310
4,7:16,1,10,NOR 19,32,34,Andre Hall left guard for no gain (tackle by Jonathan Vilma and Will Smith),4.310,3.750
4,6:30,2,10,NOR 19,32,34,Jay Cutler pass complete short left to Tony Scheffler for 11 yards (tackle by Roman Harper),3.750,5.370
4,5:48,1,8,NOR 8,32,34,Jay Cutler pass incomplete short right intended for Cliff Russell,5.370,4.570
4,5:44,2,8,NOR 8,32,34,"Jay Cutler pass complete short right to Tony Scheffler for 3 yards (tackle by Scott Shanle). Tony Scheffler fumbles (forced by Scott Shanle), recovered by Jason David at NOR-4 and returned for 17 yards (tackle by Casey Wiegmann)",4.570,-0.340
,,,,,,,"DEN challenged the pass completion ruling, and the play was upheld.",,
4,5:33,1,10,NOR 21,32,34,Drew Brees pass incomplete short middle intended for Jeremy Shockey (defended by Nate Webster),0.340,-0.200
4,5:28,2,10,NOR 21,32,34,Drew Brees pass complete short right to Jeremy Shockey for 8 yards (tackle by D.J. Williams),-0.200,0.170
4,4:52,3,2,NOR 29,32,34,Drew Brees pass complete short right to Devery Henderson for 23 yards (tackle by Karl Paymah),0.170,2.390
4,4:19,1,10,DEN 48,32,34,Drew Brees pass complete short left to Lance Moore for 15 yards (tackle by Jamie Winborn),2.390,3.380
4,3:35,1,10,DEN 33,32,34,Reggie Bush right tackle for 7 yards (tackle by Marquand Manuel),3.380,3.780
4,3:04,2,3,DEN 26,32,34,Reggie Bush up the middle for 2 yards (tackle by Dewayne Robertson),3.780,3.340
4,2:19,3,1,DEN 24,32,34,Pierre Thomas right guard for -1 yards (tackle by D.J. Williams),3.340,1.930
4,2:00,4,2,DEN 25,32,34,Martin Gramatica 43 yard field goal no good,1.930,-1.140
4,1:55,1,10,DEN 33,32,34,Selvin Young left guard for 2 yards (tackle by Charles Grant),1.140,0.860
4,1:50,,,,32,34,Timeout #3 by New Orleans Saints,0.000,0.860
4,1:50,2,8,DEN 35,32,34,Selvin Young up the middle for 6 yards (tackle by Tracy Porter and Will Smith),0.860,0.960
4,1:06,3,2,DEN 41,32,34,Michael Pittman right tackle for -4 yards (tackle by Roman Harper),0.960,-0.910
4,0:22,4,6,DEN 37,32,34,"Brett Kern punts 56 yards, returned by Reggie Bush for 13 yards (tackle by Niko Koutouvides)",-0.910,-0.280
4,0:08,1,10,NOR 20,32,34,Drew Brees pass incomplete deep left intended for Devery Henderson,0.280,-0.270
4,0:00,2,10,NOR 20,32,34,"Drew Brees pass complete short middle to Reggie Bush for 4 yards, lateral to Lance Moore for -2 yards (tackle by Jarvis Moss)",-0.270,-0.430
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
