Unnamed: 0,NOR,DEN
First Downs,27,20
Rush-Yds-TDs,25-88-3,24-105-1
Cmp-Att-Yd-TD-INT,39-48-421-1-0,21-34-264-2-1
Sacked-Yards,1-7,0-0
Net Pass Yards,414,264
Total Yards,502,369
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,4-51,3-20
Third Down Conv.,8-14,6-10
Fourth Down Conv.,0-1,0-0
Time of Possession,32:48,27:12
