Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 72 yards, returned by Quinton Patton for 33 yards (tackle by Troy Hill)",0.000,-0.670
1,14:54,1,10,SFO 26,0,0,Blaine Gabbert pass complete short right to Bruce Miller for 10 yards (tackle by Dre Kirkpatrick),0.670,1.330
1,14:30,1,10,SFO 36,0,0,Shaun Draughn left guard for 1 yard (tackle by Rey Maualuga and Domata Peko),1.330,0.930
1,13:57,2,9,SFO 37,0,0,Shaun Draughn left tackle for -4 yards (tackle by Geno Atkins),0.930,-0.300
1,13:16,3,13,SFO 33,0,0,Blaine Gabbert pass incomplete short left intended for Shaun Draughn,-0.300,-1.180
1,13:12,4,13,SFO 33,0,0,"Bradley Pinion punts 34 yards, returned by Brandon Tate for -2 yards (tackle by Kyle Nelson)",-1.180,-1.000
1,13:03,1,10,CIN 31,0,0,Giovani Bernard right end for 4 yards (tackle by Jaquiski Tartt and NaVorro Bowman),1.000,1.000
1,12:39,2,6,CIN 35,0,0,Giovani Bernard middle for 2 yards (tackle by NaVorro Bowman and Quinton Dial),1.000,0.560
1,12:00,3,4,CIN 37,0,0,A.J. McCarron right end for 1 yard (tackle by Gerald Hodges),0.560,-0.850
1,11:37,4,3,CIN 38,0,0,"Kevin Huber punts 62 yards, touchback. Penalty on Ray-Ray Armstrong: Offensive Holding, 10 yards",-0.850,0.380
1,11:28,1,10,SFO 10,0,0,Shaun Draughn middle for 5 yards (tackle by Michael Johnson),-0.380,-0.350
1,10:51,2,5,SFO 15,0,0,Shaun Draughn middle for 5 yards (tackle by Carlos Dunlap),-0.350,0.280
1,10:15,1,10,SFO 20,0,0,Shaun Draughn right end for 9 yards (tackle by Vontaze Burfict),0.280,0.950
1,9:40,2,1,SFO 29,0,0,"Blaine Gabbert pass incomplete short middle intended for Anquan Boldin (defended by Vontaze Burfict). Penalty on Shaun Draughn: Unnecessary Roughness, 14 yards",0.950,-1.860
1,9:36,3,15,SFO 15,0,0,Blaine Gabbert pass complete short left to Vance McDonald for 10 yards (tackle by Adam Jones),-1.860,-1.700
1,9:02,4,5,SFO 25,0,0,"Bradley Pinion punts 53 yards, fair catch by Brandon Tate",-1.700,-0.410
