Unnamed: 0,GNB,DET
First Downs,22,19
Rush-Yds-TDs,27-122-1,26-99-1
Cmp-Att-Yd-TD-INT,24-35-272-3-2,22-32-313-3-0
Sacked-Yards,4-16,1-8
Net Pass Yards,256,305
Total Yards,378,404
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,0-0,2-15
Third Down Conv.,8-14,4-11
Fourth Down Conv.,1-2,2-3
Time of Possession,33:39,26:21
