Quarter,Time,Tm,Detail,GNB,DET
1.0,7:42,Packers,Allen Lazard 1 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
,1:29,Lions,Kalif Raymond 75 yard pass from Tom Kennedy (Riley Patterson kick),7,7
2.0,7:00,Lions,Amon-Ra St. Brown 2 yard pass from Jared Goff (Riley Patterson kick),7,14
,2:34,Packers,Allen Lazard 29 yard pass from Aaron Rodgers (Mason Crosby kick failed),13,14
,0:02,Lions,Riley Patterson 34 yard field goal,13,17
3.0,12:50,Lions,Brock Wright 36 yard pass from Jared Goff (Riley Patterson kick),13,24
,7:38,Packers,Mason Crosby 36 yard field goal,16,24
4.0,14:12,Packers,Patrick Taylor 1 yard rush (pass failed),22,24
,6:39,Lions,Riley Patterson 36 yard field goal,22,27
,4:49,Packers,Josiah Deguara 62 yard pass from Jordan Love (Jordan Love run),30,27
,1:54,Lions,D'Andre Swift 14 yard rush (Riley Patterson kick),30,34
,0:48,Lions,Riley Patterson 27 yard field goal,30,37
