Unnamed: 0,CIN,TEN
First Downs,24,21
Rush-Yds-TDs,28-119-1,24-118-2
Cmp-Att-Yd-TD-INT,27-33-272-2-0,26-41-259-0-2
Sacked-Yards,1-4,0-0
Net Pass Yards,268,259
Total Yards,387,377
Fumbles-Lost,0-0,3-1
Turnovers,0,3
Penalties-Yards,4-32,5-69
Third Down Conv.,3-10,6-12
Fourth Down Conv.,0-1,1-1
Time of Possession,29:04,30:56
