Unnamed: 0,KAN,DET
First Downs,12,23
Rush-Yds-TDs,29-151-0,30-89-2
Cmp-Att-Yd-TD-INT,15-23-133-0-3,24-40-322-4-1
Sacked-Yards,2-17,0-0
Net Pass Yards,116,322
Total Yards,267,411
Fumbles-Lost,3-3,1-0
Turnovers,6,1
Penalties-Yards,8-70,4-35
Third Down Conv.,2-11,5-15
Fourth Down Conv.,0-0,2-2
Time of Possession,27:36,32:24
