Quarter,Time,Tm,Detail,KAN,DET
1.0,10:50,Lions,Calvin Johnson 15 yard pass from Matthew Stafford (Jason Hanson kick),0,7
,8:00,Chiefs,Ryan Succop 33 yard field goal,3,7
2.0,5:50,Lions,Tony Scheffler 36 yard pass from Matthew Stafford (Jason Hanson kick),3,14
,1:07,Lions,Jason Hanson 51 yard field goal,3,17
,0:02,Lions,Jason Hanson 28 yard field goal,3,20
3.0,1:17,Lions,Calvin Johnson 1 yard pass from Matthew Stafford (Jason Hanson kick),3,27
4.0,14:49,Lions,Jahvid Best 9 yard pass from Matthew Stafford (Jason Hanson kick),3,34
,11:31,Lions,Jahvid Best 1 yard rush (Jason Hanson kick),3,41
,5:06,Lions,Keiland Williams 1 yard rush (Jason Hanson kick),3,48
