#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,DET 20,6,3:27,36,Interception
2,1,11:33,DET 44,2,0:43,56,Touchdown
3,1,8:00,DET 20,3,1:31,9,Punt
4,1,2:23,DET 34,3,1:30,5,Punt
5,2,12:34,DET 20,8,4:04,41,Punt
6,2,6:26,KAN 45,2,0:36,45,Touchdown
7,2,4:36,DET 42,7,3:29,25,Field Goal
8,2,0:30,KAN 39,5,0:28,29,Field Goal
9,3,11:23,DET 15,3,1:36,4,Punt
10,3,6:10,DET 16,10,4:53,84,Touchdown
11,3,1:00,KAN 23,5,1:11,23,Touchdown
12,4,14:08,KAN 18,6,2:37,18,Touchdown
13,4,8:46,KAN 34,7,3:40,34,Touchdown
14,4,3:41,DET 30,5,2:39,17,Punt
