Unnamed: 0,SDG,DEN
First Downs,15,21
Rush-Yds-TDs,24-79-2,26-98-1
Cmp-Att-Yd-TD-INT,15-23-175-0-1,23-37-248-0-1
Sacked-Yards,4-41,3-15
Net Pass Yards,134,233
Total Yards,213,331
Fumbles-Lost,1-1,3-1
Turnovers,2,2
Penalties-Yards,7-42,5-45
Third Down Conv.,4-12,6-16
Fourth Down Conv.,0-0,1-1
Time of Possession,26:55,33:05
