Unnamed: 0,GNB,MIN
First Downs,18,24
Rush-Yds-TDs,18-71-1,37-218-2
Cmp-Att-Yd-TD-INT,24-43-296-2-3,13-26-217-2-2
Sacked-Yards,0-0,2-10
Net Pass Yards,296,207
Total Yards,367,425
Fumbles-Lost,0-0,4-1
Turnovers,3,3
Penalties-Yards,13-118,12-105
Third Down Conv.,3-14,4-12
Fourth Down Conv.,1-2,0-0
Time of Possession,27:55,32:05
