Quarter,Time,Down,ToGo,Location,PHI,NYJ,Detail,EPB,EPA
2,14:55,4,4,NYJ 4,10,3,David Akers 22 yard field goal good,3.030,3.000
2,,,,PHI 30,10,3,"David Akers kicks off 58 yards, returned by Leon Washington for 51 yards (tackle by Nick Graham)",0.000,3.120
2,14:42,1,10,PHI 37,10,3,Chad Pennington pass complete deep right to Laveranues Coles for 27 yards (tackle by Sean Considine),3.120,4.910
2,14:05,1,10,PHI 10,10,3,Thomas Jones left guard for no gain (tackle by Omar Gaither),4.910,4.190
2,13:21,2,10,PHI 10,10,3,Chad Pennington pass incomplete short middle intended for Jerricho Cotchery (defended by Omar Gaither),4.190,3.130
2,13:14,3,10,PHI 10,10,3,Chad Pennington pass complete short right to Jerricho Cotchery for 7 yards (tackle by Joselio Hanson),3.130,3.040
2,12:48,4,3,PHI 3,10,6,Mike Nugent 21 yard field goal good,3.040,3.000
2,,,,NYJ 30,10,6,"Mike Nugent kicks off 70 yards, touchback",0.000,0.280
2,12:43,1,10,PHI 20,10,6,Brian Westbrook right end for 7 yards (tackle by Darrelle Revis),0.280,0.680
2,12:05,2,3,PHI 27,10,6,Donovan McNabb pass incomplete short right intended for Matt Schobel,0.680,-0.030
2,11:58,3,3,PHI 27,10,6,Donovan McNabb pass complete short middle to Kevin Curtis for 8 yards (tackle by Jonathan Vilma),-0.030,1.270
2,11:17,1,10,PHI 35,10,6,Donovan McNabb pass incomplete short middle intended for Matt Schobel (defended by David Harris),1.270,0.720
2,11:13,2,10,PHI 35,10,6,Correll Buckhalter right tackle for 8 yards (tackle by Shaun Ellis and Erik Coleman),0.720,1.090
2,10:35,3,2,PHI 43,10,6,Donovan McNabb up the middle for 4 yards (tackle by Dewayne Robertson),1.090,2.060
2,9:55,1,10,PHI 47,10,6,Brian Westbrook left end for 4 yards (tackle by Victor Hobson and Kenyon Coleman),2.060,2.060
2,9:17,2,6,NYJ 49,10,6,Brian Westbrook right end for 7 yards (tackle by Eric Hicks),2.060,2.790
2,8:37,1,10,NYJ 42,10,6,Correll Buckhalter right end for 2 yards (tackle by Erik Coleman and Eric Hicks),2.790,2.510
2,7:54,2,8,NYJ 40,10,6,Donovan McNabb pass complete short right to Brian Westbrook for 7 yards (tackle by Jonathan Vilma),2.510,2.740
2,7:26,3,1,NYJ 33,10,6,Tony Hunt right guard for 2 yards (tackle by Dewayne Robertson),2.740,3.510
2,6:42,1,10,NYJ 31,10,6,Donovan McNabb pass complete short left to Brian Westbrook for 9 yards (tackle by Darrelle Revis),3.510,4.180
2,5:56,,,,10,6,Timeout #1 by Philadelphia Eagles,0.000,4.180
2,5:56,2,1,NYJ 22,10,6,Tony Hunt up the middle for 3 yards (tackle by Sione Pouha),4.180,4.310
2,5:19,1,10,NYJ 19,10,6,Donovan McNabb pass incomplete short right intended for L.J. Smith (defended by Jonathan Vilma),4.310,3.750
2,5:14,2,10,NYJ 19,10,6,"Brian Westbrook left tackle for 19 yards. Penalty on Shawn Andrews: Offensive Holding, 10 yards (no play)",3.750,2.410
2,5:09,2,20,NYJ 29,10,6,Donovan McNabb pass incomplete short right intended for Brian Westbrook,2.410,1.750
2,5:04,3,20,NYJ 29,10,6,Donovan McNabb pass complete short middle to Hank Baskett for 6 yards (tackle by Jonathan Vilma),1.750,1.930
2,4:25,4,14,NYJ 23,10,6,David Akers 41 yard field goal no good,1.930,-1.000
2,4:20,1,10,NYJ 31,10,6,Thomas Jones right tackle for 7 yards,1.000,1.410
2,3:44,2,3,NYJ 38,10,6,Thomas Jones right guard for 2 yards (tackle by Takeo Spikes and Omar Gaither),1.410,0.960
2,3:07,3,1,NYJ 40,10,6,Thomas Jones left guard for 4 yards (tackle by Sheldon Brown and Chris Gocong),0.960,1.860
2,2:29,1,10,NYJ 44,10,6,Chad Pennington pass complete short right to Jerricho Cotchery for 9 yards (tackle by Takeo Spikes),1.860,2.530
2,2:02,2,1,PHI 47,10,6,Chad Pennington up the middle for 1 yard (tackle by Mike Patterson and Trent Cole),2.530,2.520
2,2:00,1,10,PHI 46,10,6,Thomas Jones right guard for 1 yard (tackle by Quintin Mikell and Jevon Kearse),2.520,2.110
2,1:38,2,9,PHI 45,10,6,Chad Pennington pass incomplete short left intended for Laveranues Coles (defended by Sheldon Brown),2.110,1.420
2,1:34,3,9,PHI 45,10,6,Chad Pennington sacked by Trent Cole for -10 yards,1.420,-0.390
2,1:27,,,,10,6,Timeout #2 by Philadelphia Eagles,0.000,-0.390
2,1:26,4,19,NYJ 45,10,6,"Ben Graham punts 41 yards, returned by Reno Mahe for 32 yards (tackle by Ben Graham)",-0.390,-1.990
2,1:10,1,10,PHI 46,10,6,Donovan McNabb sacked by Bryan Thomas and Dewayne Robertson for -4 yards,1.990,0.910
2,0:35,2,14,PHI 42,10,6,Donovan McNabb pass complete short middle to Brian Westbrook for 8 yards (tackle by Darrelle Revis),0.910,1.290
2,0:27,,,,10,6,Timeout #3 by Philadelphia Eagles,0.000,1.290
2,0:27,3,6,,10,6,Donovan McNabb pass complete deep left to Kevin Curtis for 17 yards,1.290,3.380
2,0:21,1,10,NYJ 33,10,6,Donovan McNabb pass complete short right to Kevin Curtis for 10 yards (tackle by David Barrett),3.380,4.040
2,0:14,1,10,NYJ 23,10,6,Donovan McNabb pass incomplete deep middle intended for Kevin Curtis (defended by Andre Dyson),4.040,3.500
2,0:08,,,,10,6,Timeout #1 by New York Jets,0.000,3.500
2,0:08,2,10,NYJ 23,10,6,David Akers 41 yard field goal no good,3.500,-1.000
2,0:03,1,10,NYJ 31,10,6,Chad Pennington kneels for -1 yards,1.000,0.320
Quarter,Time,Down,ToGo,Location,PHI,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,10,6,"Mike Nugent kicks off 67 yards, returned by Correll Buckhalter for 20 yards (tackle by Wallace Wright)",0.000,0.480
3,14:55,1,10,PHI 23,10,6,Brian Westbrook right end for no gain (tackle by Eric Barton),0.480,-0.070
3,14:14,2,10,PHI 23,10,6,Donovan McNabb pass incomplete short left intended for Kevin Curtis,-0.070,-0.760
3,14:09,3,10,PHI 23,10,6,Donovan McNabb pass complete short right to Reggie Brown for 9 yards (tackle by David Harris),-0.760,-1.240
3,13:41,4,1,PHI 32,10,6,"Saverio Rocca punts 64 yards, returned by Leon Washington for 15 yards (tackle by Nick Graham)",-1.240,-0.150
3,13:27,1,10,NYJ 19,10,6,Thomas Jones up the middle for no gain (tackle by Takeo Spikes and Mike Patterson),0.150,-0.390
3,12:57,2,10,NYJ 19,10,6,Thomas Jones right end for 3 yards (tackle by Chris Gocong),-0.390,-0.680
3,12:11,3,7,NYJ 22,10,6,Chad Pennington pass incomplete deep right intended for Laveranues Coles,-0.680,-1.900
3,12:04,4,7,NYJ 22,10,6,Ben Graham punts 28 yards,-1.900,-2.260
3,11:55,1,10,,10,6,Donovan McNabb pass complete short left to Brian Westbrook for no gain,2.260,1.710
3,11:18,2,10,,10,6,Brian Westbrook right end for 7 yards (tackle by Darrelle Revis),1.710,1.950
3,10:41,3,3,NYJ 43,10,6,Donovan McNabb pass complete short left to Reggie Brown for 16 yards (tackle by David Barrett),1.950,3.780
3,10:09,1,10,NYJ 27,10,6,Donovan McNabb pass complete short right to Kevin Curtis for 11 yards (tackle by Darrelle Revis),3.780,4.510
3,9:34,1,10,NYJ 16,10,6,Brian Westbrook left guard for 3 yards (tackle by Dewayne Robertson and C.J. Mosley),4.510,4.390
3,8:54,2,7,NYJ 13,10,6,Donovan McNabb pass incomplete short right intended for Kevin Curtis,4.390,3.540
3,8:47,3,7,NYJ 13,10,6,Donovan McNabb pass incomplete short middle intended for Matt Schobel,3.540,2.570
3,8:41,4,7,NYJ 13,13,6,David Akers 31 yard field goal good,2.570,3.000
3,,,,PHI 30,13,6,"David Akers kicks off 70 yards, touchback",0.000,0.280
3,8:32,1,10,NYJ 20,13,6,Chad Pennington pass complete deep right to Jerricho Cotchery for 23 yards (tackle by Quintin Mikell),0.280,1.800
3,7:52,1,10,NYJ 43,13,6,Thomas Jones left guard for 2 yards (tackle by Sean Considine),1.800,1.520
3,7:10,2,8,NYJ 45,13,6,Chad Pennington pass complete short left to Jerricho Cotchery for 5 yards (tackle by Joselio Hanson),1.520,1.490
3,6:25,3,3,,13,6,Chad Pennington pass incomplete deep left intended for Brad Smith is intercepted by Sheldon Brown at PHI-30,1.490,-0.940
3,6:19,1,10,PHI 30,13,6,Donovan McNabb pass complete deep middle to Reggie Brown for 21 yards (tackle by Erik Coleman),0.940,2.320
3,5:42,1,10,NYJ 49,13,6,Donovan McNabb pass complete short right to Brent Celek for 4 yards (tackle by Bryan Thomas),2.320,2.320
3,5:05,2,6,NYJ 45,13,6,Brian Westbrook right tackle for 8 yards (tackle by Shaun Ellis and Eric Barton),2.320,3.120
3,4:29,1,10,NYJ 37,13,6,Brian Westbrook left guard for 7 yards (tackle by Jonathan Vilma),3.120,3.520
3,3:55,2,3,NYJ 30,13,6,Correll Buckhalter right guard for 6 yards (tackle by David Harris and C.J. Mosley),3.520,3.970
3,3:16,1,10,NYJ 24,13,6,Donovan McNabb pass complete short right to Brian Westbrook for 12 yards (tackle by Erik Coleman),3.970,4.780
3,2:36,1,10,NYJ 12,13,6,Donovan McNabb pass incomplete short right intended for Reggie Brown (defended by David Barrett),4.780,4.100
3,2:32,2,10,NYJ 12,13,6,Brian Westbrook left guard for 5 yards (tackle by Erik Coleman and Shaun Ellis),4.100,4.160
3,1:52,3,5,NYJ 7,13,6,Donovan McNabb pass incomplete short right intended for Brent Celek (defended by Jonathan Vilma),4.160,2.980
3,1:44,4,5,NYJ 7,16,6,David Akers 25 yard field goal good,2.980,3.000
3,,,,PHI 30,16,6,"David Akers kicks off 70 yards, touchback",0.000,0.280
3,1:40,1,10,NYJ 20,16,6,Thomas Jones up the middle for 3 yards (tackle by Takeo Spikes and Trent Cole),0.280,0.140
3,0:59,2,7,NYJ 23,16,6,Thomas Jones left tackle for 5 yards (tackle by Brodrick Bunkley and Omar Gaither),0.140,0.100
3,0:19,3,2,NYJ 28,16,6,Chad Pennington pass complete short left to Chris Baker for 7 yards (tackle by Sheldon Brown),0.100,1.270
Quarter,Time,Down,ToGo,Location,PHI,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYJ 35,16,6,Chad Pennington pass complete deep left to Jerricho Cotchery for 27 yards (tackle by Sheldon Brown),1.270,3.050
4,14:24,1,10,PHI 38,16,6,Thomas Jones right guard for -2 yards (tackle by Sean Considine),3.050,2.240
4,13:47,2,12,PHI 40,16,6,Chad Pennington pass incomplete short left intended for Laveranues Coles,2.240,1.550
4,13:39,3,12,PHI 40,16,6,Chad Pennington sacked by Joselio Hanson for -7 yards,1.550,0.130
4,13:07,4,19,PHI 47,16,6,Ben Graham punts 43 yards,0.130,0.380
4,12:56,1,10,PHI 4,16,6,Brian Westbrook right end for 4 yards (tackle by Darrelle Revis),-0.380,-0.490
4,12:13,2,6,PHI 8,16,6,Donovan McNabb sacked by Kerry Rhodes for -6 yards,-0.490,-1.650
4,11:34,3,12,PHI 2,16,6,Donovan McNabb pass incomplete deep middle intended for Jason Avant is intercepted by Hank Poteat at PHI-28 and returned for 11 yards (tackle by Reggie Brown),-1.650,-4.440
4,11:24,1,10,PHI 17,16,6,Chad Pennington sacked by Jevon Kearse for -2 yards,4.440,3.600
4,10:59,2,12,PHI 19,16,6,Thomas Jones right guard for 5 yards (tackle by Quintin Mikell and Joselio Hanson),3.600,3.500
4,10:16,3,7,PHI 14,16,6,Chad Pennington pass complete short left to Brad Smith for 2 yards (tackle by Sheldon Brown),3.500,2.680
4,9:32,4,5,PHI 12,16,9,Mike Nugent 30 yard field goal good,2.680,3.000
4,,,,NYJ 30,16,9,"Mike Nugent kicks off 70 yards, touchback",0.000,0.280
4,9:28,1,10,PHI 20,16,9,Brian Westbrook right end for no gain (tackle by Erik Coleman),0.280,-0.270
4,8:52,2,10,PHI 20,16,9,Donovan McNabb pass incomplete short right intended for Brian Westbrook (defended by Victor Hobson),-0.270,-0.960
4,8:45,3,10,PHI 20,16,9,Donovan McNabb pass complete short right to Matt Schobel for 4 yards (tackle by Darrelle Revis),-0.960,-1.770
4,8:15,4,6,PHI 24,16,9,Saverio Rocca punts 30 yards,-1.770,-1.990
4,8:05,1,10,NYJ 46,16,9,Thomas Jones left guard for 9 yards (tackle by Joselio Hanson),1.990,2.670
4,7:22,2,1,PHI 45,16,9,Chad Pennington pass incomplete short left intended for Laveranues Coles,2.670,1.950
4,7:17,3,1,PHI 45,16,9,Chad Pennington up the middle for 2 yards (tackle by Mike Patterson),1.950,2.720
4,6:35,1,10,PHI 43,16,9,Chad Pennington pass complete short right to Thomas Jones for 11 yards (tackle by Quintin Mikell),2.720,3.450
4,6:24,1,10,PHI 32,16,9,Thomas Jones right guard for no gain (tackle by Omar Gaither and Sean Considine),3.450,2.900
4,5:41,,,,16,9,Timeout #1 by New York Jets,0.000,2.900
4,5:41,2,10,PHI 32,16,9,Chad Pennington pass complete short right to Chris Baker for 5 yards (tackle by Chris Gocong),2.900,2.870
4,5:02,3,5,PHI 27,16,9,Jerricho Cotchery left end for 14 yards (tackle by Will James),2.870,4.710
4,4:52,1,10,PHI 13,16,9,Thomas Jones left end for 9 yards (tackle by Joselio Hanson and Sean Considine),4.710,5.730
4,4:46,2,1,PHI 4,16,9,Thomas Jones right guard for no gain (tackle by Trent Cole and Takeo Spikes),5.730,5.010
4,4:04,3,1,PHI 4,16,9,Chad Pennington up the middle for no gain (tackle by Takeo Spikes and Mike Patterson),5.010,3.040
4,3:32,4,1,PHI 4,16,9,Chad Pennington pass incomplete short left intended for Laveranues Coles (defended by Sheldon Brown),3.040,0.380
4,3:27,1,10,PHI 4,16,9,Brian Westbrook right guard for 2 yards (tackle by Jonathan Vilma and Kerry Rhodes),-0.380,-0.630
4,2:49,2,8,PHI 6,16,9,Brian Westbrook right end for 1 yard (tackle by Victor Hobson and Jonathan Vilma),-0.630,-1.070
4,2:08,3,7,PHI 7,16,9,Donovan McNabb pass complete short right to Reggie Brown for 13 yards (tackle by David Barrett),-1.070,0.280
4,1:58,1,10,PHI 20,16,9,Brian Westbrook left guard for 22 yards (tackle by Kerry Rhodes),0.280,1.730
4,1:47,,,,16,9,Timeout #2 by New York Jets,0.000,1.730
4,1:47,1,10,PHI 42,16,9,Brian Westbrook right end for 3 yards (tackle by Eric Barton),1.730,1.590
4,1:40,,,,16,9,Timeout #3 by New York Jets,0.000,1.590
4,1:40,2,7,PHI 45,16,9,Brian Westbrook right guard for 4 yards (tackle by Kerry Rhodes and Kenyon Coleman),1.590,1.420
4,0:55,,,,16,9,Timeout #1 by Philadelphia Eagles,0.000,1.420
4,0:55,3,3,PHI 49,16,9,Brian Westbrook right guard for 21 yards (tackle by Kerry Rhodes),1.420,3.580
4,0:07,1,10,NYJ 30,16,9,Donovan McNabb kneels for -1 yards,3.580,2.900
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
