Unnamed: 0,PHI,NYJ
First Downs,20,15
Rush-Yds-TDs,28-151-0,32-158-0
Cmp-Att-Yd-TD-INT,22-35-278-1-1,11-21-128-0-1
Sacked-Yards,3-16,3-19
Net Pass Yards,262,109
Total Yards,413,267
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,2-14,0-0
Third Down Conv.,9-16,5-14
Fourth Down Conv.,0-0,0-1
Time of Possession,31:56,28:04
