Quarter,Time,Tm,Detail,PHI,NYJ
1.0,11:47,Jets,Mike Nugent 30 yard field goal,0,3
,10:09,Eagles,Kevin Curtis 75 yard pass from Donovan McNabb (David Akers kick),7,3
2.0,14:52,Eagles,David Akers 22 yard field goal,10,3
,12:43,Jets,Mike Nugent 21 yard field goal,10,6
3.0,8:37,Eagles,David Akers 31 yard field goal,13,6
,1:40,Eagles,David Akers 25 yard field goal,16,6
4.0,9:28,Jets,Mike Nugent 30 yard field goal,16,9
