Unnamed: 0,MIN,STL
First Downs,18,29
Rush-Yds-TDs,33-213-2,18-87-0
Cmp-Att-Yd-TD-INT,17-24-131-0-0,35-55-377-3-1
Sacked-Yards,2-22,4-32
Net Pass Yards,109,345
Total Yards,322,432
Fumbles-Lost,2-0,2-1
Turnovers,0,2
Penalties-Yards,3-49,8-47
Third Down Conv.,2-11,3-13
Fourth Down Conv.,1-1,1-3
Time of Possession,30:27,29:33
