Quarter,Time,Down,ToGo,Location,CIN,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,--,0.000,-0.320
1,14:54,1,10,CIN 13,0,0,Jon Kitna pass complete to Tony Stewart for 7 yards (tackle by Levar Fisher),-0.320,0.220
1,14:24,2,3,CIN 20,0,0,Corey Dillon left end for 1 yard (tackle by David Barrett),0.220,-0.470
1,13:53,3,2,CIN 21,0,0,"Penalty on Mike Goff: False Start, 5 yards (no play)",-0.470,-1.060
1,13:34,3,7,CIN 16,0,0,"Penalty on Mike Goff: False Start, 5 yards (no play)",-1.060,-1.650
1,13:06,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,-1.650
1,13:06,3,12,CIN 11,0,0,Jon Kitna pass complete to Matt Schobel for 9 yards (tackle by Renaldo Hill),-1.650,-2.030
1,12:31,4,3,CIN 20,0,0,"Kyle Richardson punts 35 yards, returned by Anquan Boldin for 8 yards (tackle by Tony Stewart). Penalty on Dwayne Levels: Ineligible Downfield Kick (Declined)",-2.030,-2.460
1,12:22,1,10,CIN 47,0,0,Marcel Shipp left tackle for 4 yards (tackle by Justin Smith),2.460,2.450
1,11:42,2,6,CIN 43,0,0,Marcel Shipp left end for no gain (tackle by Tory James),2.450,1.750
1,10:55,3,6,CIN 43,0,0,"Jeff Blake pass incomplete intended for Freddie Jones (defended by Brian Simmons). Penalty on Brian Simmons: Defensive Holding, 5 yards (no play)",1.750,3.050
1,10:50,1,10,CIN 38,0,0,Jeff Blake pass incomplete intended for Bryan Gilmore,3.050,2.510
1,10:44,2,10,CIN 38,0,0,Jeff Blake pass complete to James Hodgins for 6 yards (tackle by Adrian Ross),2.510,2.610
1,10:04,3,4,CIN 32,0,0,Jeff Blake pass complete to Anquan Boldin for 17 yards (tackle by Kevin Kaesviharn). Penalty on CIN: Defensive Holding (Declined),2.610,4.580
1,9:38,1,10,CIN 15,0,0,Marcel Shipp left end for 11 yards (tackle by Rogers Beckett),4.580,6.280
1,9:13,1,4,CIN 4,0,0,Marcel Shipp up the middle for 3 yards (tackle by Justin Smith),6.280,5.910
1,8:30,2,1,CIN 1,0,6,"Jeff Blake pass complete to Freddie Jones for 1 yard, touchdown",5.910,7.000
1,,,,,0,7,"Penalty on Cameron Spikes: False Start, 5 yards (no play)",0.000,0.000
1,,,,CIN 2,0,7,--,0.000,0.000
1,,,,ARI 30,0,7,--,0.000,0.870
1,8:19,1,10,CIN 29,0,7,Corey Dillon up the middle for 1 yard (tackle by Dennis Johnson),0.870,0.460
1,7:48,2,9,CIN 30,0,7,Peter Warrick left end for 2 yards (tackle by Calvin Pace),0.460,0.040
1,7:06,3,7,CIN 32,0,7,"Jon Kitna sacked by Renaldo Hill for 0 yards. Jon Kitna fumbles (forced by Renaldo Hill), recovered by Eric Steinbach at CIN-30",0.040,-1.370
1,6:16,4,9,CIN 30,0,7,"Kyle Richardson punts 45 yards, returned by Anquan Boldin for 2 yards (tackle by Kevin Walter). Penalty on Coby Rhinehart: Illegal Block Above the Waist, 10 yards",-1.370,0.350
1,6:05,1,10,ARI 12,0,7,Marcel Shipp right tackle for 36 yards (tackle by Rogers Beckett),-0.350,2.130
1,5:26,1,10,ARI 48,0,7,"Marcel Shipp right tackle for -8 yards (tackle by Adrian Ross). Marcel Shipp fumbles (forced by Adrian Ross), recovered by Tony Williams at ARI-40 (tackle by James Hodgins)",2.130,-2.850
1,5:19,1,10,ARI 41,0,7,Corey Dillon left tackle for no gain (tackle by Levar Fisher),2.850,2.310
1,4:42,2,10,ARI 41,0,7,Jon Kitna pass complete to Corey Dillon for 8 yards (tackle by Ronald McKinnon),2.310,2.680
1,4:02,3,2,ARI 33,0,7,Jon Kitna pass complete to Peter Warrick for 7 yards (tackle by Justin Lucas),2.680,3.840
1,3:26,1,10,ARI 26,0,7,Corey Dillon up the middle for 1 yard (tackle by Adrian Wilson),3.840,3.430
1,2:50,2,9,ARI 25,0,7,Jon Kitna pass complete to Tony Stewart for 16 yards (tackle by David Barrett),3.430,5.140
1,2:38,1,9,ARI 9,0,7,Jon Kitna pass incomplete intended for Corey Dillon,5.140,4.380
1,2:07,2,9,ARI 9,0,7,Jon Kitna pass complete to Peter Warrick for 5 yards (tackle by Dexter Jackson),4.380,4.490
1,1:40,3,4,ARI 4,0,7,"Jon Kitna pass incomplete intended for Peter Warrick is intercepted by Renaldo Hill at ARI-0 and returned for 59 yards (tackle by Corey Dillon). Penalty on Raynoch Thompson: Roughing the Passer, 2 yards (no play)",4.490,6.740
1,1:24,1,2,ARI 2,0,7,Jon Kitna pass incomplete intended for Levi Jones,6.740,5.720
1,1:18,2,2,ARI 2,6,7,"Rudi Johnson left tackle for 2 yards, touchdown",5.720,7.000
1,,,,ARI 2,7,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,7,7,"Shayne Graham kicks off 70 yards, returned by Josh Scobey for 16 yards (tackle by Reggie Myles)",0.000,-0.140
1,1:09,1,10,ARI 16,7,7,Marcel Shipp right end for 2 yards (tackle by Duane Clemons),-0.140,-0.350
1,0:29,2,8,ARI 18,7,7,Marcel Shipp left tackle for 1 yard (tackle by Tony Williams and Carl Powell),-0.350,-0.950
Quarter,Time,Down,ToGo,Location,CIN,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,ARI 19,7,7,Jeff Blake pass incomplete intended for Freddie Jones (defended by Tory James),-0.950,-2.140
2,14:51,4,7,ARI 19,7,7,"Scott Player punts 51 yards, returned by Peter Warrick for 15 yards (tackle by Kevin Kasper)",-2.140,-1.930
2,14:36,1,10,CIN 45,7,7,Jon Kitna pass complete to Chad Ochocinco for 41 yards,1.930,4.650
,,,,,,,"ARI challenged the ruling, and the play was upheld.",,
2,14:25,1,10,ARI 14,7,7,Corey Dillon left end for -1 yards (tackle by Ronald McKinnon and David Barrett),4.650,3.850
2,13:44,2,11,ARI 15,13,7,"Jon Kitna pass complete to Peter Warrick for 15 yards, touchdown",3.850,7.000
2,,,,ARI 2,14,7,Shayne Graham kicks extra point good,0.000,0.000
2,,,,CIN 30,14,7,"Shayne Graham kicks off 60 yards, returned by Josh Scobey for 19 yards (tackle by Jeff Burris). Penalty on Justin Lucas: Offensive Holding, 10 yards",0.000,0.150
2,13:33,1,10,ARI 19,14,7,Jeff Blake sacked by Rogers Beckett and Glen Steele for -11 yards,0.150,-1.580
2,12:56,2,21,ARI 8,14,7,Jeff Blake pass complete to Marcel Shipp for 15 yards (tackle by Kevin Kaesviharn),-1.580,-0.550
