Quarter,Time,Tm,Detail,CIN,ARI
1.0,8:24,Cardinals,Freddie Jones 1 yard pass from Jeff Blake (Tim Duncan kick),0,7
,1:14,Bengals,Rudi Johnson 2 yard rush (Shayne Graham kick),7,7
2.0,13:39,Bengals,Peter Warrick 15 yard pass from Jon Kitna (Shayne Graham kick),14,7
,4:14,Cardinals,Tim Duncan 31 yard field goal,14,10
3.0,8:12,Cardinals,Anquan Boldin 7 yard pass from Jeff Blake (Tim Duncan kick),14,17
