Quarter,Time,Tm,Detail,CLE,CIN
1.0,13:13,Bengals,Adam Jones 81 yard punt return (Mike Nugent kick),0,7
,9:01,Browns,Phil Dawson 50 yard field goal,3,7
2.0,10:27,Bengals,A.J. Green 10 yard pass from Andy Dalton (Mike Nugent kick),3,14
,8:05,Browns,Trent Richardson 32 yard rush (Phil Dawson kick),10,14
,4:45,Bengals,Mike Nugent 39 yard field goal,10,17
3.0,11:58,Bengals,Brandon Tate 44 yard pass from Andy Dalton (Mike Nugent kick),10,24
,0:07,Browns,Trent Richardson 23 yard pass from Brandon Weeden (Phil Dawson kick),17,24
4.0,10:44,Bengals,Andrew Hawkins 50 yard pass from Andy Dalton (Mike Nugent kick),17,31
,7:11,Browns,Greg Little 24 yard pass from Brandon Weeden (Phil Dawson kick),24,31
,2:09,Bengals,Mike Nugent 37 yard field goal,24,34
,0:20,Browns,Phil Dawson 25 yard field goal,27,34
