Unnamed: 0,CLE,CIN
First Downs,21,21
Rush-Yds-TDs,23-130-1,25-80-0
Cmp-Att-Yd-TD-INT,26-37-322-2-0,24-31-318-3-1
Sacked-Yards,2-13,6-23
Net Pass Yards,309,295
Total Yards,439,375
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,10-103,6-54
Third Down Conv.,7-15,4-12
Fourth Down Conv.,0-0,1-1
Time of Possession,27:07,32:53
