Quarter,Time,Down,ToGo,Location,DAL,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Wade Richey kicks off 65 yards, returned by ReShard Lee for 17 yards (tackle by Bart Scott)",0.000,0.410
1,14:56,1,10,DAL 22,0,0,"Penalty on Flozell Adams: False Start, 5 yards (no play)",0.410,-0.120
1,14:56,1,15,DAL 17,0,0,Vinny Testaverde pass complete to Quincy Morgan for 10 yards (tackle by Gary Baxter),-0.120,0.540
1,14:22,2,5,DAL 27,0,0,Vinny Testaverde pass incomplete intended for Quincy Morgan,0.540,-0.160
1,14:18,3,5,DAL 27,0,0,Julius Jones up the middle for -2 yards (tackle by Chad Williams and Terrell Suggs),-0.160,-1.700
1,13:37,4,7,DAL 25,0,0,"Mat McBriar punts 55 yards, returned by B.J. Sams for 18 yards (tackle by Alshermond Singleton)",-1.700,-1.470
1,13:20,1,10,BAL 38,0,0,Kyle Boller pass incomplete intended for Travis Taylor,1.470,0.920
1,13:14,2,10,BAL 38,0,0,Jamal Lewis left tackle for 1 yard (tackle by Dat Nguyen),0.920,0.370
1,12:38,3,9,BAL 39,0,0,Kyle Boller pass incomplete intended for Clarence Moore,0.370,-0.780
1,12:34,4,9,BAL 39,0,0,"Nick Murphy punts 41 yards, returned by Lance Frazier for 18 yards (tackle by Musa Smith)",-0.780,-1.470
1,12:23,1,10,DAL 38,0,0,Eddie George right tackle for 4 yards (tackle by Ma'ake Kemoeatu),1.470,1.460
1,11:41,,,,0,0,Timeout #1 by Dallas Cowboys,0.000,1.460
1,11:41,2,6,DAL 42,0,0,Eddie George left guard for 1 yard (tackle by Will Demps and Ray Lewis),1.460,0.890
1,11:01,3,5,DAL 43,0,0,Vinny Testaverde pass incomplete intended for Quincy Morgan. Penalty on Brett Pierce: Offensive Holding (Declined),0.890,-0.520
1,10:53,4,5,DAL 43,0,0,"Mat McBriar punts 47 yards, returned by B.J. Sams for no gain",-0.520,0.380
1,10:43,1,10,BAL 10,0,0,Chester Taylor right guard for 2 yards (tackle by Greg Ellis and Dat Nguyen),-0.380,-0.630
1,10:11,2,8,BAL 12,0,0,Kyle Boller pass complete to Jamal Lewis for 3 yards (tackle by Leonardo Carson),-0.630,-0.840
1,9:29,3,5,BAL 15,0,0,Kyle Boller pass complete to Kevin Johnson for 1 yard (tackle by Dexter Coakley),-0.840,-2.390
1,8:51,4,4,BAL 16,0,0,"Nick Murphy punts 54 yards, returned by Lance Frazier for 15 yards (tackle by Musa Smith)",-2.390,-1.930
1,8:40,1,10,DAL 45,0,0,Julius Jones right guard for 6 yards (tackle by Kelly Gregg),1.930,2.190
1,8:04,2,4,BAL 49,0,0,Julius Jones left tackle for 3 yards (tackle by Ma'ake Kemoeatu and Ed Hartwell),2.190,1.880
1,7:27,3,1,BAL 46,0,0,Eddie George left guard for no gain (tackle by Ed Hartwell and Ray Lewis),1.880,0.200
1,6:41,4,1,BAL 46,0,0,"Mat McBriar punts 32 yards, fair catch by B.J. Sams",0.200,0.280
1,6:32,1,10,BAL 14,0,0,Jamal Lewis left tackle for 4 yards (tackle by Greg Ellis),-0.280,-0.210
1,5:55,2,6,BAL 18,0,0,"Kyle Boller pass complete to Travis Taylor for 2 yards (tackle by Alshermond Singleton). Travis Taylor fumbles (forced by Alshermond Singleton), recovered by Lance Frazier at BAL-15",-0.210,-4.580
1,5:50,1,10,BAL 15,0,0,Vinny Testaverde pass complete to Jason Witten for 13 yards (tackle by Gary Baxter),4.580,6.740
1,5:16,1,2,BAL 2,0,0,Julius Jones up the middle for no gain (tackle by Terrell Suggs and Gary Baxter),6.740,5.720
1,4:41,2,2,BAL 2,0,0,Julius Jones up the middle for 1 yard (tackle by Kelly Gregg and Ed Reed),5.720,5.170
1,4:00,3,1,BAL 1,0,0,Vinny Testaverde pass incomplete intended for Keyshawn Johnson (defended by Gary Baxter),5.170,3.550
1,3:56,4,1,BAL 1,3,0,Billy Cundiff 19 yard field goal good,3.550,3.000
1,,,,DAL 30,3,0,"Billy Cundiff kicks off 55 yards, returned by B.J. Sams for 7 yards (tackle by Bradie James)",0.000,0.410
1,3:46,1,10,BAL 22,3,0,Kyle Boller pass complete to Travis Taylor for 13 yards (tackle by Lynn Scott),0.410,1.270
1,3:05,1,10,BAL 35,3,0,Kyle Boller left guard for 7 yards (tackle by Alshermond Singleton),1.270,1.670
1,2:27,2,3,BAL 42,3,0,Chester Taylor right guard for 2 yards (tackle by Marcellus Wiley),1.670,1.220
1,1:47,3,1,BAL 44,3,0,Musa Smith right tackle for 12 yards (tackle by Roy Williams),1.220,2.650
1,1:24,1,10,DAL 44,3,0,Chester Taylor up the middle for no gain (tackle by La'Roi Glover),2.650,2.110
1,0:49,2,10,DAL 44,3,0,Kyle Boller pass complete to Chester Taylor for 5 yards (tackle by Alshermond Singleton),2.110,2.080
1,0:12,3,5,DAL 39,3,0,Randy Hymes pass incomplete intended for Chester Taylor,2.080,0.660
1,0:06,4,5,DAL 39,3,0,Nick Murphy punts 30 yards,0.660,0.380
Quarter,Time,Down,ToGo,Location,DAL,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 9,3,0,Vinny Testaverde pass incomplete intended for Keyshawn Johnson,-0.380,-0.780
2,14:58,2,10,DAL 9,3,0,"Penalty on Flozell Adams: False Start, 5 yards",-0.780,-1.150
2,14:58,2,15,DAL 4,3,0,Julius Jones right tackle for 5 yards (tackle by Ray Lewis),-1.150,-1.420
2,14:24,3,10,DAL 9,3,0,Vinny Testaverde pass complete to Terrance Copper for 22 yards (tackle by Will Demps),-1.420,1.000
2,13:39,1,10,DAL 31,3,0,Julius Jones left guard for 6 yards (tackle by Kelly Gregg and Ed Hartwell),1.000,1.270
2,13:01,2,4,DAL 37,3,0,Julius Jones up the middle for 11 yards (tackle by Gary Baxter and Raymond Walls),1.270,2.130
2,12:24,1,10,DAL 48,3,0,Julius Jones up the middle for 1 yard (tackle by Ed Hartwell and Terrell Suggs),2.130,1.720
2,11:34,2,9,DAL 49,3,0,Vinny Testaverde pass complete to Keyshawn Johnson for 16 yards (tackle by Ray Lewis),1.720,3.250
2,11:02,1,10,BAL 35,3,0,Julius Jones left end for 3 yards (tackle by Ed Hartwell),3.250,3.110
2,10:14,2,7,BAL 32,3,0,Julius Jones left guard for 2 yards (tackle by Kelly Gregg and Marques Douglas),3.110,2.680
2,9:34,3,5,BAL 30,3,0,Julius Jones up the middle for 5 yards (tackle by Adalius Thomas),2.680,3.910
2,8:54,1,10,BAL 25,3,0,Julius Jones left tackle for 3 yards (tackle by Ray Lewis),3.910,3.770
2,8:13,2,7,BAL 22,3,0,"Vinny Testaverde pass complete to Quincy Morgan for 14 yards. Penalty on ReShard Lee: Illegal Formation, 5 yards (no play)",3.770,3.090
