Unnamed: 0,DAL,BAL
First Downs,16,15
Rush-Yds-TDs,35-94-0,21-59-1
Cmp-Att-Yd-TD-INT,15-28-156-1-2,23-35-232-2-0
Sacked-Yards,2-28,1-4
Net Pass Yards,128,228
Total Yards,222,287
Fumbles-Lost,1-1,2-2
Turnovers,3,2
Penalties-Yards,4-20,4-30
Third Down Conv.,6-15,5-13
Fourth Down Conv.,0-1,0-1
Time of Possession,33:49,26:11
