Quarter,Time,Tm,Detail,DAL,BAL
1.0,3:53,Cowboys,Billy Cundiff 19 yard field goal,3,0
3.0,6:53,Ravens,Darnell Dinkins 17 yard pass from Kyle Boller (Matt Stover kick),3,7
,4:30,Ravens,Kevin Johnson 31 yard pass from Kyle Boller (Matt Stover kick),3,14
4.0,11:22,Ravens,Matt Stover 50 yard field goal,3,17
,10:42,Ravens,Chad Williams 44 yard interception return (Matt Stover kick),3,24
,9:46,Ravens,Chester Taylor 1 yard rush (Matt Stover kick failed),3,30
,0:40,Cowboys,Jeff Robinson 1 yard pass from Drew Henson (Billy Cundiff kick),10,30
