Quarter,Time,Tm,Detail,BAL,HOU
1.0,1:14,Ravens,Justin Tucker 32 yard field goal,3,0
2.0,12:55,Ravens,Patrick Ricard 1 yard pass from Lamar Jackson (Justin Tucker kick),10,0
,9:45,Texans,Darren Fells 10 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),10,7
,5:31,Ravens,Justin Tucker 39 yard field goal,13,7
,5:16,Ravens,L.J. Fort 22 yard fumble return (Justin Tucker kick),20,7
,0:00,Texans,Ka'imi Fairbairn 44 yard field goal,20,10
3.0,6:24,Ravens,Justin Tucker 47 yard field goal,23,10
4.0,14:47,Texans,Ka'imi Fairbairn 35 yard field goal,23,13
,11:58,Ravens,Mark Ingram 30 yard rush (Justin Tucker kick),30,13
,8:13,Texans,Ka'imi Fairbairn 45 yard field goal,30,16
,3:44,Ravens,Justin Tucker 20 yard field goal,33,16
