Unnamed: 0,DAL,PHI
First Downs,23,16
Rush-Yds-TDs,39-146-2,18-52-2
Cmp-Att-Yd-TD-INT,18-38-223-0-3,18-33-354-2-0
Sacked-Yards,7-49,3-23
Net Pass Yards,174,331
Total Yards,320,383
Fumbles-Lost,4-2,3-2
Turnovers,5,2
Penalties-Yards,7-49,3-67
Third Down Conv.,7-18,2-12
Fourth Down Conv.,1-2,0-0
Time of Possession,36:59,23:01
