Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Shaun Suisham kicks off 68 yards, returned by Dexter Wynn for 26 yards (tackle by Jacques Reeves)",0.000,0.810
1,14:53,1,10,PHI 28,0,0,Donovan McNabb pass complete short right to Brian Westbrook for 24 yards (tackle by Pat Watkins and Terence Newman),0.810,2.390
1,14:06,1,10,DAL 48,0,0,"Donovan McNabb pass complete short right to Brian Westbrook for 10 yards (tackle by Pat Watkins). Brian Westbrook fumbles (forced by Pat Watkins), recovered by Roy Williams at DAL-38",2.390,-1.470
1,13:51,1,10,DAL 38,0,0,Drew Bledsoe pass complete to Terry Glenn for 7 yards (tackle by Lito Sheppard),1.470,1.870
1,13:16,2,3,DAL 45,0,0,"Drew Bledsoe pass incomplete. Penalty on Drew Bledsoe: Intentional Grounding, 10 yards",1.870,-0.160
1,13:12,3,13,DAL 35,0,0,"Penalty on Marc Colombo: False Start, 5 yards (no play)",-0.160,-0.820
1,13:12,3,18,DAL 30,0,0,Drew Bledsoe pass complete short left to Marion Barber for 14 yards (tackle by Sheldon Brown),-0.820,-0.460
1,12:30,4,4,DAL 44,0,0,"Mat McBriar for no gain. Mat McBriar fumbles, recovered by Shawn Barber at DAL-12 (tackle by Alshermond Singleton)",-0.460,-4.780
1,12:13,1,10,DAL 12,0,0,Donovan McNabb pass complete to Hank Baskett for 7 yards (tackle by Anthony Henry),4.780,5.410
1,11:43,2,3,DAL 5,0,6,"Brian Westbrook right end for 5 yards, touchdown",5.410,7.000
1,11:43,,,DAL 2,0,7,David Akers kicks extra point good,0.000,0.000
1,11:37,,,PHI 30,0,7,"David Akers kicks off 66 yards, returned by Abram Elam for 25 yards (tackle by Sean Considine)",0.000,0.870
1,11:30,1,10,DAL 29,0,7,"Drew Bledsoe sacked by Darwin Walker for -5 yards. Drew Bledsoe fumbles (forced by Darwin Walker), recovered by Trent Cole at DAL-15 and returned for 1 yards (tackle by Julius Jones)",0.870,-4.650
1,11:09,1,10,DAL 14,0,7,Ryan Moats middle for 2 yards (tackle by Jason Ferguson),4.650,4.330
1,10:46,2,8,DAL 12,0,7,Donovan McNabb pass complete short right to L.J. Smith for 3 yards (tackle by Bradie James),4.330,4.050
1,10:07,3,5,DAL 9,0,7,Donovan McNabb pass incomplete short left intended for L.J. Smith (defended by DeMarcus Ware),4.050,2.880
1,10:02,4,5,DAL 9,0,10,David Akers 27 yard field goal good,2.880,3.000
1,9:59,,,PHI 30,0,10,"David Akers kicks off 68 yards, returned by Tyson Thompson for 41 yards (tackle by David Akers)",0.000,1.800
1,9:51,1,10,DAL 43,0,10,Julius Jones left guard for 10 yards (tackle by Michael Lewis),1.800,2.460
1,9:24,1,10,PHI 47,0,10,Julius Jones left tackle for 6 yards (tackle by Dhani Jones),2.460,2.720
1,8:51,2,4,PHI 41,0,10,Drew Bledsoe pass complete short right to Terry Glenn for 14 yards (tackle by Lito Sheppard),2.720,3.780
1,8:11,1,10,PHI 27,0,10,Julius Jones left tackle for 4 yards (tackle by Jeremiah Trotter),3.780,3.770
1,7:30,2,6,PHI 23,0,10,Drew Bledsoe pass complete short right to Jason Witten for 10 yards (tackle by Dhani Jones and Jeremiah Trotter),3.770,4.710
1,6:55,1,10,PHI 13,0,10,Julius Jones left tackle for 4 yards (tackle by Dhani Jones),4.710,4.770
1,6:18,2,6,PHI 9,0,10,Julius Jones right guard for 8 yards (tackle by Jeremiah Trotter),4.770,6.970
1,5:38,1,1,PHI 1,0,10,Julius Jones middle for no gain (tackle by Jeremiah Trotter),6.970,5.910
1,4:56,2,1,PHI 1,0,10,Julius Jones middle for -1 yards (tackle by Darren Howard and Brodrick Bunkley),5.910,4.950
1,4:15,3,2,PHI 2,6,10,"Marion Barber left tackle for 2 yards, touchdown",4.950,7.000
1,4:15,,,PHI 2,7,10,Mike Vanderjagt kicks extra point good,0.000,0.000
1,4:11,,,DAL 30,7,10,"Shaun Suisham kicks off 60 yards, returned by Dexter Wynn for 20 yards (tackle by Roy Williams)",0.000,0.940
1,4:06,1,10,PHI 30,7,10,Brian Westbrook middle for 3 yards (tackle by Jason Ferguson),0.940,0.800
1,3:27,2,7,PHI 33,7,10,Donovan McNabb pass complete short left to Reggie Brown for 7 yards (tackle by Akin Ayodele and Anthony Henry),0.800,1.600
1,2:51,1,10,PHI 40,7,10,Donovan McNabb pass incomplete deep left intended for Hank Baskett (defended by Terence Newman),1.600,1.050
1,2:43,2,10,PHI 40,7,10,Donovan McNabb pass complete short right to Brian Westbrook for 5 yards (tackle by Kenyon Coleman),1.050,1.030
1,2:05,3,5,PHI 45,7,10,Donovan McNabb sacked by DeMarcus Ware for -8 yards,1.030,-0.910
1,1:38,4,13,PHI 37,7,10,"Dirk Johnson punts 33 yards, returned by Patrick Crayton for 10 yards (tackle by Matt McCoy)",-0.910,-1.600
1,1:32,1,10,DAL 40,7,10,Julius Jones left end for -5 yards (tackle by Darren Howard),1.600,0.380
1,0:53,2,15,DAL 35,7,10,Drew Bledsoe pass incomplete deep left intended for Terrell Owens is intercepted by Brian Dawkins at PHI-41,0.380,-1.660
1,0:45,1,10,PHI 41,7,10,Correll Buckhalter left end for -1 yards (tackle by DeMarcus Ware),1.660,0.990
1,0:02,2,11,PHI 40,7,10,Brian Westbrook right tackle for 5 yards (tackle by Akin Ayodele),0.990,0.960
Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,PHI 45,7,10,"Penalty on Scott Young: False Start, 5 yards (no play)",0.960,0.300
