Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Patrick Crayton,DAL,0,0,,0,0,3,16,5.3,0,0
Terence Newman,DAL,0,0,,0,0,3,2,0.7,0,0
Tyson Thompson,DAL,5,151,30.2,0,0,0,0,,0,0
Abram Elam,DAL,1,25,25.0,0,0,0,0,,0,0
Aaron Glenn,DAL,1,8,8.0,0,0,0,0,,0,0
,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Dexter Wynn,PHI,5,103,20.6,0,0,4,29,7.3,0,0
