Unnamed: 0,SEA,LAC
First Downs,24,21
Rush-Yds-TDs,34-213-2,15-53-1
Cmp-Att-Yd-TD-INT,20-27-210-2-1,33-51-293-2-1
Sacked-Yards,2-19,3-17
Net Pass Yards,191,276
Total Yards,404,329
Fumbles-Lost,1-1,2-1
Turnovers,2,2
Penalties-Yards,7-68,7-70
Third Down Conv.,5-9,5-15
Fourth Down Conv.,0-0,1-3
Time of Possession,33:57,26:03
