Quarter,Time,Down,ToGo,Location,SEA,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Taylor Bertolet kicks off 66 yards, returned by D'Wayne Eskridge for 20 yards (tackle by Deane Leonard)",0.000,0.150
1,14:55,1,10,SEA 19,0,0,Geno Smith pass complete short left to Will Dissly for 16 yards (tackle by J.C. Jackson),0.150,1.270
1,14:21,1,10,SEA 35,0,0,Kenneth Walker left tackle for no gain (tackle by Sebastian Joseph-Day),1.270,0.720
1,13:57,2,10,SEA 35,0,0,Kenneth Walker left end for 15 yards (tackle by J.C. Jackson),0.720,2.260
1,13:29,1,10,SEA 50,0,0,Geno Smith pass short middle (defended by Asante Samuel) intended for Tyler Lockett is intercepted by Kenneth Murray at LAC-43 and returned for 16 yards (tackle by Will Dissly),2.260,-2.850
1,13:20,1,10,SEA 41,0,0,Austin Ekeler right end for 2 yards (tackle by Boye Mafe and Uchenna Nwosu),2.850,2.580
1,12:49,2,8,SEA 39,0,0,"Justin Herbert pass complete short right to Austin Ekeler for 2 yards. Austin Ekeler fumbles (forced by Jordyn Brooks), recovered by Tre' McKitty at SEA-33 (tackle by Jordyn Brooks) SEA challenged the pass completion ruling, and the play was upheld.",2.580,2.680
1,12:15,3,2,SEA 33,0,0,Austin Ekeler right end for 1 yard (tackle by Jordyn Brooks),2.680,1.310
1,11:49,4,1,SEA 32,0,0,Austin Ekeler right tackle for no gain (tackle by Ryan Neal and Boye Mafe),1.310,-1.070
1,11:40,1,10,SEA 32,0,0,"Geno Smith pass incomplete intended for D.K. Metcalf. Penalty on J.C. Jackson: Defensive Pass Interference, 11 yards (accepted) (no play)",1.070,1.800
1,11:37,1,10,SEA 43,0,0,"Geno Smith pass incomplete intended for D.K. Metcalf. Penalty on D.K. Metcalf: Offensive Pass Interference, 10 yards (accepted) (no play)",1.800,1.140
1,11:31,1,20,SEA 33,0,0,Geno Smith pass incomplete deep left intended for Noah Fant (defended by Bryce Callahan),1.140,-0.100
1,11:25,2,20,SEA 33,0,0,Geno Smith pass complete short right to Tyler Lockett for 7 yards (tackle by Nasir Adderley),-0.100,0.170
1,10:43,3,13,SEA 40,0,0,"Geno Smith pass incomplete intended for Tyler Lockett. Penalty on Bryce Callahan: Defensive Pass Interference, 14 yards (accepted) (no play)",0.170,2.520
1,10:37,1,10,LAC 46,0,0,Kenneth Walker right end for 7 yards (tackle by Otito Ogbonnia and Derwin James),2.520,2.920
1,10:05,2,3,LAC 39,0,0,"Kenneth Walker for no gain. Penalty on Noah Fant: Offensive Holding, 10 yards (accepted) (no play)",2.920,1.570
1,9:35,2,13,LAC 49,0,0,Geno Smith pass complete short left to D.K. Metcalf for 12 yards (tackle by Asante Samuel),1.570,2.480
1,8:56,3,1,LAC 37,0,0,Geno Smith pass complete short left to Marquise Goodwin for 21 yards (tackle by Derwin James),2.480,4.580
1,8:24,1,10,LAC 15,0,0,Kenneth Walker up the middle for -4 yards (tackle by Nasir Adderley),4.580,3.420
1,7:40,2,14,LAC 20,0,0,Geno Smith pass incomplete deep middle intended for Noah Fant,3.420,2.740
1,7:35,,,,,,Timeout #2 by Seattle Seahawks,,
1,7:35,3,14,LAC 20,6,0,"Geno Smith pass complete deep right to Marquise Goodwin for 20 yards, touchdown",2.740,7.000
1,7:29,,,LAC 15,7,0,Jason Myers kicks extra point good,0.000,0.000
1,7:29,,,SEA 35,7,0,"Jason Myers kicks off 61 yards, returned by DeAndre Carter for 21 yards (tackle by Tanner Muse and Justin Coleman)",0.000,0.610
1,7:24,1,10,LAC 25,7,0,Justin Herbert pass complete short middle to Austin Ekeler for 15 yards (tackle by Jordyn Brooks),0.610,1.600
1,6:52,1,10,LAC 40,7,0,Austin Ekeler up the middle for 2 yards (tackle by Bruce Irvin),1.600,1.320
1,6:15,2,8,LAC 42,7,0,Justin Herbert pass complete short left to Keenan Allen for 1 yard (tackle by Jordyn Brooks),1.320,0.760
1,5:36,3,7,LAC 43,7,0,Justin Herbert pass intended for DeAndre Carter is intercepted by Ryan Neal at SEA-44 and returned for 13 yards (tackle by Tre' McKitty),0.760,-2.720
1,5:26,1,10,LAC 43,7,0,DeeJay Dallas left tackle for 9 yards (tackle by Austin Johnson and Sebastian Joseph-Day),2.720,3.390
1,5:00,2,1,LAC 34,7,0,DeeJay Dallas left tackle for 11 yards (tackle by Drue Tranquill and Derwin James),3.390,4.040
1,4:32,1,10,LAC 23,7,0,Geno Smith pass incomplete short right,4.040,3.500
1,4:23,2,10,LAC 23,7,0,"Geno Smith pass incomplete intended for Tyler Lockett. Penalty on Jerry Tillery: Roughing the Passer, 11 yards (accepted) (no play)",3.500,4.780
1,4:23,1,10,LAC 12,13,0,"Kenneth Walker left guard for 12 yards, touchdown",4.780,7.000
1,4:17,,,LAC 15,14,0,Jason Myers kicks extra point good,0.000,0.000
1,4:17,,,SEA 35,14,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,4:17,1,10,LAC 25,14,0,Sony Michel right guard for 1 yard (tackle by Quinton Jefferson and Jordyn Brooks),0.610,0.200
1,3:36,2,9,LAC 26,14,0,Justin Herbert pass complete short right to Austin Ekeler for 23 yards (tackle by Boye Mafe),0.200,2.190
1,2:56,1,10,LAC 49,14,0,Justin Herbert pass incomplete short left intended for DeAndre Carter (defended by Tariq Woolen),2.190,1.650
1,2:50,2,10,LAC 49,14,0,Justin Herbert pass incomplete short right intended for Sony Michel,1.650,0.960
1,2:43,3,10,LAC 49,14,0,"Justin Herbert sacked by Darrell Taylor for -9 yards. Justin Herbert fumbles (forced by Darrell Taylor), recovered by Darrell Taylor at LAC-40 and returned for 21 yards (tackle by Justin Herbert)",0.960,-4.310
1,2:34,1,10,LAC 19,14,0,Kenneth Walker left tackle for 1 yard (tackle by Austin Johnson),4.310,3.880
1,2:00,2,9,LAC 18,14,0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by J.C. Jackson),3.880,3.140
1,1:55,3,9,LAC 18,14,0,Geno Smith sacked by Austin Johnson for -10 yards,3.140,1.820
1,1:13,3,20,LAC 28,17,0,Jason Myers 46 yard field goal good,1.820,3.000
1,1:08,,,SEA 35,17,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,1:08,1,10,LAC 25,17,0,Justin Herbert pass complete deep right to DeAndre Carter for 22 yards,0.610,2.060
1,0:30,1,10,LAC 47,17,0,Justin Herbert pass complete short right to Austin Ekeler for 10 yards (tackle by Jordyn Brooks),2.060,2.720
Quarter,Time,Down,ToGo,Location,SEA,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 43,17,0,Justin Herbert pass complete short left to Sony Michel for 8 yards (tackle by Shelby Harris),2.720,3.260
2,14:39,2,2,SEA 35,17,0,Justin Herbert pass complete short middle to Mike Williams for 14 yards (tackle by Tariq Woolen),3.260,4.170
2,14:05,1,10,SEA 21,17,0,Sony Michel up the middle for 4 yards (tackle by Poona Ford),4.170,4.200
2,13:27,2,6,SEA 17,17,0,Justin Herbert pass incomplete deep right intended for DeAndre Carter (defended by Ryan Neal),4.200,3.460
2,13:22,,,,,,Timeout #3 by Seattle Seahawks,,
2,13:22,3,6,SEA 17,17,0,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Michael Jackson),3.460,5.600
2,12:50,1,7,SEA 7,17,6,"Austin Ekeler left guard for 7 yards, touchdown",5.600,7.000
2,12:44,,,SEA 15,17,7,Taylor Bertolet kicks extra point good,0.000,0.000
2,12:44,,,LAC 35,17,7,"Taylor Bertolet kicks off 60 yards, returned by D'Wayne Eskridge for 25 yards (tackle by Derrek Tuszka and Amen Ogbongbemiga)",0.000,0.940
2,12:38,1,10,SEA 30,17,7,Geno Smith pass complete short right to Noah Fant for 7 yards (tackle by Derwin James),0.940,1.340
2,12:07,2,3,SEA 37,17,7,"Geno Smith aborted snap, recovered by Khalil Mack at SEA-33 (tackle by D'Wayne Eskridge)",1.340,-3.380
2,12:00,1,10,SEA 33,17,7,Justin Herbert sacked by Al Woods for no gain,3.380,2.840
2,11:23,2,10,SEA 33,17,7,Austin Ekeler up the middle for 3 yards (tackle by Ryan Neal),2.840,2.540
2,11:03,3,7,SEA 30,17,7,Justin Herbert pass complete short middle to Mike Williams for 10 yards (tackle by Coby Bryant and Tariq Woolen),2.540,4.240
2,10:26,1,10,SEA 20,17,7,Justin Herbert pass incomplete deep left intended for Mike Williams,4.240,3.690
2,10:21,2,10,SEA 20,17,7,Justin Herbert pass complete short right to Gerald Everett for 7 yards (tackle by Quandre Diggs),3.690,4.100
2,9:43,3,3,SEA 13,17,13,"Justin Herbert pass complete short right to Mike Williams for 13 yards, touchdown",4.100,7.000
2,9:37,,,SEA 15,17,14,Taylor Bertolet kicks extra point good,0.000,0.000
2,9:37,,,LAC 35,17,14,"Taylor Bertolet kicks off 65 yards, touchback.",0.000,0.610
2,9:37,1,10,SEA 25,17,14,Kenneth Walker up the middle for 8 yards (tackle by Kenneth Murray),0.610,1.140
2,9:01,2,2,SEA 33,17,14,Kenneth Walker right tackle for 3 yards (tackle by Otito Ogbonnia),1.140,1.330
2,8:18,1,10,SEA 36,17,14,Kenneth Walker right tackle for 2 yards (tackle by Jerry Tillery and Derwin James),1.330,1.060
2,7:37,2,8,SEA 38,17,14,"Geno Smith pass complete to Marquise Goodwin for no gain. Penalty on D'Wayne Eskridge: Offensive Pass Interference, 10 yards (accepted) (no play)",1.060,-0.290
2,7:06,2,18,SEA 28,17,14,Geno Smith pass complete short left to Will Dissly for 11 yards (tackle by Kenneth Murray),-0.290,0.500
2,6:19,3,7,SEA 39,17,14,Geno Smith pass complete short right to DeeJay Dallas for 3 yards (tackle by Nasir Adderley),0.500,-0.650
2,5:33,4,5,SEA 41,17,14,"Michael Dickson punts 46 yards, fair catch by DeAndre Carter at LAC-12. Penalty on Joey Blount: Kick Catch Interference, 15 yards (accepted)",-0.650,-0.740
2,5:33,1,10,LAC 27,17,14,Austin Ekeler left tackle for 1 yard (tackle by Uchenna Nwosu and Boye Mafe),0.740,0.330
2,5:15,2,9,LAC 28,17,14,Justin Herbert pass complete short right to Michael Bandy for -5 yards (tackle by Coby Bryant),0.330,-1.020
2,4:39,3,14,LAC 23,17,14,Justin Herbert pass incomplete short middle intended for Gerald Everett (defended by Shelby Harris),-1.020,-1.830
2,4:34,4,14,LAC 23,17,14,"JK Scott punts 50 yards, returned by DeeJay Dallas for no gain (tackle by Ja'Sir Taylor and Josh Harris)",-1.830,-0.740
2,4:23,1,10,SEA 27,17,14,Geno Smith pass complete short right to Marquise Goodwin for 3 yards (tackle by Asante Samuel),0.740,0.600
2,3:49,2,7,SEA 30,17,14,Geno Smith pass complete short right to Will Dissly for 8 yards (tackle by Bryce Callahan),0.600,1.470
2,3:09,1,10,SEA 38,17,14,Geno Smith pass complete short left to Colby Parkinson for 28 yards (tackle by Nasir Adderley),1.470,3.310
2,2:33,1,10,LAC 34,17,14,Kenneth Walker right tackle for 2 yards (tackle by Kyle Van Noy and Derwin James),3.310,3.040
2,2:00,2,8,LAC 32,17,14,Geno Smith scrambles left end for 9 yards (tackle by Nasir Adderley),3.040,4.040
