Quarter,Time,Tm,Detail,ATL,NOR
1.0,8:42,Falcons,Jonnu Smith 15 yard pass from Desmond Ridder (Younghoe Koo kick),7,0
,5:01,Saints,A.T. Perry 18 yard pass from Derek Carr (Blake Grupe kick),7,7
,4:13,Falcons,Bijan Robinson 71 yard pass from Desmond Ridder (Younghoe Koo kick),14,7
2.0,11:04,Saints,Kendre Miller 3 yard rush (Blake Grupe kick),14,14
,0:56,Saints,Blake Grupe 24 yard field goal,14,17
,0:00,Falcons,Younghoe Koo 30 yard field goal,17,17
3.0,13:01,Saints,Chris Olave 26 yard pass from Derek Carr (Blake Grupe kick),17,24
,8:54,Saints,Rashid Shaheed 39 yard pass from Derek Carr (Blake Grupe kick),17,31
4.0,9:57,Saints,Blake Grupe 24 yard field goal,17,34
,9:02,Saints,A.T. Perry 6 yard pass from Derek Carr (Blake Grupe kick),17,41
,1:10,Saints,Jamaal Williams 1 yard rush (Blake Grupe kick),17,48
