Unnamed: 0,ATL,NOR
First Downs,14,27
Rush-Yds-TDs,25-78-0,35-154-2
Cmp-Att-Yd-TD-INT,25-34-318-2-2,22-28-264-4-0
Sacked-Yards,1-7,3-18
Net Pass Yards,311,246
Total Yards,389,400
Fumbles-Lost,1-1,2-0
Turnovers,3,0
Penalties-Yards,8-75,3-15
Third Down Conv.,4-11,3-10
Fourth Down Conv.,0-1,1-1
Time of Possession,26:10,33:50
