Unnamed: 0,DAL,PHI
First Downs,21,18
Rush-Yds-TDs,35-133-0,26-119-0
Cmp-Att-Yd-TD-INT,21-40-180-0-0,16-28-132-2-2
Sacked-Yards,4-48,4-29
Net Pass Yards,132,103
Total Yards,265,222
Fumbles-Lost,3-2,3-2
Turnovers,2,4
Penalties-Yards,7-68,4-28
Third Down Conv.,4-16,3-8
Fourth Down Conv.,2-4,0-3
Time of Possession,32:50,27:10
