Quarter,Time,Tm,Detail,SDG,TEN
1.0,8:12,Titans,Rob Bironas 46 yard field goal,0,3
,1:16,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),7,3
2.0,8:46,Chargers,Antonio Gates 36 yard pass from Philip Rivers (Nate Kaeding kick),14,3
,3:13,Chargers,Darren Sproles 3 yard pass from Philip Rivers (Nate Kaeding kick),21,3
,0:17,Titans,Vince Young 3 yard rush (Rob Bironas kick),21,10
3.0,9:49,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),28,10
,4:52,Chargers,Darren Sproles 9 yard rush (Nate Kaeding kick),35,10
4.0,14:56,Chargers,Darren Sproles 1 yard rush (Nate Kaeding kick),42,10
,8:02,Titans,Chris Johnson 30 yard rush (Rob Bironas kick),42,17
