Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Rob Bironas kicks off 61 yards, returned by Darren Sproles for 23 yards (tackle by Jamie Winborn)",0.000,1.070
1,14:54,1,10,SDG 32,0,0,Philip Rivers pass complete short right to Jacob Hester for 4 yards (tackle by Gerald McRath),1.070,1.070
1,14:15,2,6,SDG 36,0,0,LaDainian Tomlinson left tackle for 9 yards (tackle by Cortland Finnegan and Chris Hope),1.070,1.930
1,13:39,1,10,SDG 45,0,0,LaDainian Tomlinson left tackle for 5 yards (tackle by Cortland Finnegan),1.930,2.060
1,12:58,2,5,,0,0,"Penalty on Marcus McNeill: False Start, 5 yards (no play)",2.060,1.380
1,12:33,2,10,SDG 45,0,0,Philip Rivers pass complete short middle to Antonio Gates for 6 yards (tackle by Stephen Tulloch),1.380,1.490
1,11:52,3,4,TEN 49,0,0,Philip Rivers pass incomplete short middle intended for Antonio Gates,1.490,0.000
1,11:48,4,4,TEN 49,0,0,"Mike Scifres punts 29 yards, fair catch by Kevin Kaesviharn",0.000,-0.280
1,11:41,1,10,TEN 20,0,0,Chris Johnson left end for 25 yards (tackle by Quentin Jammer),0.280,1.930
1,10:59,1,10,TEN 45,0,0,Chris Johnson right tackle for 1 yard (tackle by Shaun Phillips and Paul Oliver),1.930,1.520
1,10:21,2,9,TEN 46,0,0,Vince Young pass complete short left to Nate Washington for 12 yards,1.520,2.790
1,9:50,1,10,SDG 42,0,0,Vince Young pass complete short left to Chris Johnson for 14 yards (tackle by Shawne Merriman),2.790,3.710
1,9:10,1,10,SDG 28,0,0,Chris Johnson right guard for no gain (tackle by Stephen Cooper and Luis Castillo),3.710,3.170
1,8:26,2,10,SDG 28,0,0,Vince Young pass incomplete short left intended for Kenny Britt,3.170,2.480
1,8:22,3,10,SDG 28,0,0,Vince Young pass incomplete short left intended for Nate Washington,2.480,1.590
1,8:17,4,10,SDG 28,0,3,Rob Bironas 46 yard field goal good,1.590,3.000
1,,,,TEN 30,0,3,"Rob Bironas kicks off 66 yards, returned by Darren Sproles for 20 yards (tackle by Jamie Winborn)",0.000,0.540
1,8:06,1,10,SDG 24,0,3,LaDainian Tomlinson right guard for 2 yards (tackle by Chris Hope),0.540,0.270
1,7:33,2,8,SDG 26,0,3,Vincent Jackson left end for 3 yards (tackle by Cortland Finnegan),0.270,-0.030
1,6:57,3,5,SDG 29,0,3,"Penalty on Jacob Ford: Defensive Offside, 5 yards (no play)",-0.030,1.200
1,6:37,1,10,SDG 34,0,3,Philip Rivers pass complete short left to Malcom Floyd for 12 yards (tackle by Cortland Finnegan),1.200,1.990
1,6:06,1,10,SDG 46,0,3,Philip Rivers pass incomplete deep right intended for Vincent Jackson (defended by Nick Harper),1.990,1.450
1,5:58,2,10,SDG 46,0,3,Philip Rivers pass complete short right to LaDainian Tomlinson for 2 yards (tackle by Gerald McRath and Colin Allred),1.450,1.030
1,5:13,3,8,SDG 48,0,3,Philip Rivers pass complete deep left to Vincent Jackson for 20 yards (tackle by Stephen Tulloch),1.030,3.450
1,4:31,1,10,TEN 32,0,3,"LaDainian Tomlinson left tackle for no gain (tackle by Cortland Finnegan). Penalty on Kevin Vickerson: Defensive Offside, 5 yards (no play)",3.450,4.180
1,4:10,1,5,TEN 27,0,3,LaDainian Tomlinson middle for 1 yard (tackle by Jovan Haye and Kevin Vickerson),4.180,3.710
1,3:28,2,4,TEN 26,0,3,LaDainian Tomlinson left tackle for 6 yards (tackle by Chris Hope),3.710,4.240
1,2:47,1,10,TEN 20,0,3,Philip Rivers pass incomplete short left intended for Darren Sproles,4.240,3.690
1,2:43,2,10,TEN 20,0,3,Philip Rivers pass complete short middle to Vincent Jackson for 9 yards (tackle by Nick Harper),3.690,4.590
1,2:07,3,1,TEN 11,0,3,"Philip Rivers pass incomplete short left intended for Kris Wilson. Penalty on Cortland Finnegan: Defensive Pass Interfere, 4 yards (no play)",4.590,5.600
1,2:02,1,7,TEN 7,0,3,LaDainian Tomlinson left guard for 4 yards (tackle by Cortland Finnegan and Colin Allred),5.600,5.530
1,1:26,2,3,TEN 3,0,3,LaDainian Tomlinson pass incomplete short right intended for Antonio Gates,5.530,4.720
1,1:20,3,3,TEN 3,0,3,"Penalty on Dave Ball: Neutral Zone Infraction, 2 yards (no play)",4.720,5.170
1,1:20,3,1,TEN 1,6,3,"LaDainian Tomlinson right guard for 1 yard, touchdown",5.170,7.000
1,,,,TEN 2,7,3,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,3,"Nate Kaeding kicks off 55 yards, returned by Kenny Britt for 11 yards (tackle by Steve Gregory)",0.000,0.670
1,1:12,1,10,TEN 26,7,3,Vince Young pass incomplete deep left intended for Justin Gage (defended by Eric Weddle),0.670,0.130
1,1:05,2,10,TEN 26,7,3,Chris Johnson middle for 17 yards (tackle by Larry English and Paul Oliver),0.130,1.800
1,0:35,1,10,TEN 43,7,3,Vince Young right end for 14 yards (tackle by Eric Weddle),1.800,2.720
Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SDG 43,7,3,Vince Young pass incomplete short right intended for Jared Cook (defended by Ian Scott),2.720,2.180
2,14:56,2,10,SDG 43,7,3,Chris Johnson right end for 7 yards (tackle by Larry English),2.180,2.410
2,14:23,3,3,SDG 36,7,3,Chris Johnson right guard for 1 yard (tackle by Brandon Siler and Antonio Garay),2.410,0.990
2,13:43,4,2,SDG 35,7,3,Chris Johnson right tackle for 6 yards (tackle by Brandon Siler and Eric Weddle),0.990,3.640
2,12:58,1,10,SDG 29,7,3,Vince Young pass incomplete short middle intended for Alge Crumpler is intercepted by Brandon Siler at SDG-19 and returned for 5 yards,3.640,-0.540
2,12:49,1,10,SDG 24,7,3,Philip Rivers pass complete short right to Vincent Jackson for 9 yards (tackle by Gerald McRath),0.540,1.210
2,12:23,2,1,SDG 33,7,3,LaDainian Tomlinson middle for 2 yards (tackle by Gerald McRath and Colin Allred),1.210,1.270
2,11:46,1,10,SDG 35,7,3,Philip Rivers pass complete short left to Legedu Naanee for 5 yards (tackle by Kyle Vanden Bosch and Vincent Fuller),1.270,1.400
2,11:05,2,5,SDG 40,7,3,Philip Rivers pass complete short right to Vincent Jackson for 17 yards (tackle by Chris Hope and Gerald McRath),1.400,2.720
2,10:17,1,10,TEN 43,7,3,Philip Rivers pass incomplete short right intended for Mike Tolbert,2.720,2.180
2,10:12,2,10,TEN 43,7,3,"Penalty on Tony Brown: Neutral Zone Infraction, 5 yards (no play)",2.180,2.850
2,10:12,2,5,TEN 38,7,3,LaDainian Tomlinson middle for 7 yards (tackle by Michael Griffin),2.850,3.510
2,9:36,1,10,TEN 31,7,3,Philip Rivers sacked by Jacob Ford for -5 yards,3.510,2.290
2,8:56,2,15,TEN 36,13,3,"Philip Rivers pass complete deep left to Antonio Gates for 36 yards, touchdown",2.290,7.000
,,,,,,,"TEN challenged the illegal forward pass ruling, and the play was upheld.",,
2,,,,TEN 2,14,3,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,14,3,"Nate Kaeding kicks off 64 yards, returned by Kenny Britt for 29 yards (tackle by James Holt)",0.000,1.270
2,8:38,1,10,TEN 35,14,3,"Vince Young pass complete short right to Ahmard Hall for 3 yards (tackle by Shaun Phillips). Penalty on Quentin Jammer: Illegal Contact, 5 yards (no play)",1.270,1.600
2,8:04,1,10,TEN 40,14,3,Chris Johnson right end for -1 yards (tackle by Ian Scott and Luis Castillo),1.600,0.920
2,7:25,2,11,TEN 39,14,3,Chris Johnson middle for 6 yards (tackle by Luis Castillo),0.920,1.030
2,6:42,3,5,TEN 45,14,3,"Vince Young middle for 4 yards (tackle by Shaun Phillips). Vince Young fumbles (forced by Shaun Phillips), recovered by Stephen Cooper at SDG-48 (tackle by Vince Young)",1.030,-2.130
2,6:33,1,10,SDG 48,14,3,"Philip Rivers pass complete deep left to Malcom Floyd for 52 yards. Penalty on Marcus McNeill: Offensive Holding, 10 yards (no play)",2.130,1.470
