Unnamed: 0,SDG,TEN
First Downs,30,17
Rush-Yds-TDs,40-166-4,27-182-2
Cmp-Att-Yd-TD-INT,21-28-264-2-0,8-21-89-0-2
Sacked-Yards,1-5,1-1
Net Pass Yards,259,88
Total Yards,425,270
Fumbles-Lost,1-1,1-1
Turnovers,1,3
Penalties-Yards,6-45,9-74
Third Down Conv.,8-11,2-8
Fourth Down Conv.,1-1,1-1
Time of Possession,39:07,20:53
