Unnamed: 0,SDG,IND
First Downs,17,24
Rush-Yds-TDs,17-37-1,26-93-2
Cmp-Att-Yd-TD-INT,26-39-326-0-0,24-37-331-1-1
Sacked-Yards,2-11,2-14
Net Pass Yards,315,317
Total Yards,352,410
Fumbles-Lost,4-3,2-1
Turnovers,3,2
Penalties-Yards,10-80,11-66
Third Down Conv.,4-11,2-9
Fourth Down Conv.,0-0,1-1
Time of Possession,27:17,32:43
