Quarter,Time,Tm,Detail,SDG,IND
1.0,8:53,Colts,Adam Vinatieri 38 yard field goal,0,3
,3:39,Colts,Frank Gore 6 yard rush (Adam Vinatieri kick),0,10
2.0,14:51,Chargers,Josh Lambo 42 yard field goal,3,10
,14:04,Chargers,Josh Lambo 34 yard field goal,6,10
,6:25,Colts,Adam Vinatieri 33 yard field goal,6,13
,0:55,Chargers,Caraun Reid 61 yard defensive fumble return (Josh Lambo kick),13,13
3.0,8:23,Chargers,Melvin Gordon 1 yard rush (Josh Lambo kick failed),19,13
,2:39,Colts,Robert Turbin 1 yard rush (Adam Vinatieri kick),19,20
4.0,7:34,Chargers,Josh Lambo 27 yard field goal,22,20
,1:17,Colts,T.Y. Hilton 63 yard pass from Andrew Luck (pass failed),22,26
