Quarter,Time,Down,ToGo,Location,SDG,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Josh Lambo kicks off 61 yards, returned by Quan Bray for 18 yards (tackle by Denzel Perryman)",0.000,-0.410
1,14:56,1,10,IND 22,0,0,Frank Gore left guard for 5 yards (tackle by Brandon Mebane),0.410,0.540
1,14:20,2,5,IND 27,0,0,Andrew Luck pass complete short middle to Dwayne Allen for 14 yards (tackle by Dexter McCoil and Manti Te'o),0.540,1.660
1,13:40,1,10,IND 41,0,0,Andrew Luck pass complete short left to Jack Doyle for 5 yards (tackle by Denzel Perryman),1.660,1.800
1,12:57,2,5,IND 46,0,0,Frank Gore right tackle for 1 yard (tackle by Denzel Perryman),1.800,1.220
1,12:14,3,4,IND 47,0,0,Andrew Luck pass complete short left to Phillip Dorsett for 18 yards (tackle by Brandon Flowers),1.220,3.250
1,11:35,1,10,SDG 35,0,0,Andrew Luck pass incomplete,3.250,2.700
1,11:27,2,10,SDG 35,0,0,Frank Gore middle for 5 yards (tackle by Melvin Ingram),2.700,2.680
1,10:45,3,5,SDG 30,0,0,"Penalty on Melvin Ingram: Neutral Zone Infraction, 5 yards (no play)",2.680,3.910
1,10:30,1,10,SDG 25,0,0,Frank Gore right end for no gain (tackle by Kyle Emanuel and Darius Philon),3.910,3.360
1,9:46,2,10,SDG 25,0,0,Robert Turbin right tackle for 5 yards (tackle by Kyle Emanuel),3.360,3.340
1,9:04,3,5,SDG 20,0,0,Andrew Luck pass incomplete deep right intended for T.Y. Hilton,3.340,2.170
1,8:58,4,5,SDG 20,0,3,Adam Vinatieri 38 yard field goal good,2.170,3.000
1,8:58,,,IND 35,0,3,"Pat McAfee kicks off 65 yards, returned by Dexter McCluster for 24 yards (tackle by Antonio Morrison)",0.000,-0.540
1,8:48,1,10,SDG 24,0,3,Melvin Gordon right tackle for -1 yards (tackle by Clayton Geathers and David Parry),0.540,-0.140
1,8:02,2,11,SDG 23,0,3,Philip Rivers pass complete short right to Hunter Henry for 6 yards (tackle by Clayton Geathers),-0.140,-0.030
1,7:17,3,5,SDG 29,0,3,Philip Rivers pass incomplete short right intended for Tyrell Williams,-0.030,-1.440
1,7:13,4,5,SDG 29,0,3,"Drew Kaser punts 46 yards, fair catch by Quan Bray. Penalty on Antonio Morrison: Offensive Holding, 10 yards",-1.440,0.220
1,7:04,1,10,IND 15,0,3,Frank Gore middle for 12 yards (tackle by Manti Te'o),-0.220,0.740
1,6:22,1,10,IND 27,0,3,Frank Gore middle for 7 yards (tackle by Corey Liuget),0.740,1.140
1,5:42,2,3,IND 34,0,3,Andrew Luck pass complete deep middle to T.Y. Hilton for 24 yards (tackle by Manti Te'o),1.140,2.790
1,4:57,1,10,SDG 42,0,3,Andrew Luck pass incomplete short right intended for T.Y. Hilton (defended by Melvin Ingram),2.790,2.240
1,4:51,2,10,SDG 42,0,3,Andrew Luck pass incomplete short left intended for Frank Gore,2.240,1.550
1,4:45,3,10,SDG 42,0,3,"Penalty on Denzel Perryman: Neutral Zone Infraction, 5 yards (no play)",1.550,2.210
1,4:45,3,5,SDG 37,0,3,Andrew Luck pass incomplete short left intended for Phillip Dorsett (defended by Jatavis Brown),2.210,0.790
1,4:39,4,5,SDG 37,0,3,"Adam Vinatieri 55 yard field goal good. Penalty on Tenny Palepoi: Leverage, 15 yards (no play)",0.790,4.110
1,4:34,1,10,SDG 22,0,3,Andrew Luck pass complete short right to Jack Doyle for 16 yards (tackle by Kyle Emanuel),4.110,5.830
1,3:50,1,6,SDG 6,0,3,Andrew Luck pass incomplete short left intended for Dwayne Allen (defended by Jatavis Brown),5.830,4.950
1,3:43,2,6,SDG 6,0,9,"Frank Gore middle for 6 yards, touchdown",4.950,7.000
1,3:43,,,SDG 6,0,10,Adam Vinatieri kicks extra point good,0.000,0.000
1,3:43,,,IND 35,0,10,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
1,3:39,1,10,SDG 25,0,10,Philip Rivers pass complete short middle to Dontrelle Inman for 14 yards (tackle by Darryl Morris),0.610,1.530
1,3:10,1,10,SDG 39,0,10,Melvin Gordon middle for 2 yards (tackle by Kendall Langford),1.530,1.260
1,2:32,2,8,SDG 41,0,10,Philip Rivers pass incomplete short right intended for Tyrell Williams,1.260,1.260
1,2:22,2,8,SDG 41,0,10,Timeout #1 by Los Angeles Chargers,1.260,0.560
1,2:22,3,8,SDG 41,0,10,Philip Rivers pass complete short left to Melvin Gordon for 11 yards (tackle by T.J. Green),0.560,2.390
1,1:51,1,10,IND 48,0,10,Melvin Gordon right tackle for 1 yard (tackle by Antonio Morrison and D'Qwell Jackson),2.390,1.980
1,1:12,2,9,IND 47,0,10,Philip Rivers pass complete short middle to Sean McGrath for 13 yards (tackle by Mike Adams),1.980,3.310
1,0:26,1,10,IND 34,0,10,Philip Rivers pass incomplete deep right intended for Dontrelle Inman,3.310,2.770
1,0:20,2,10,IND 34,0,10,Philip Rivers pass complete short right to Dontrelle Inman for 9 yards (tackle by Antonio Cromartie),2.770,3.270
,,,,,,,"IND challenged the short of the line to gain ruling, and the original play was overturned.",,
Quarter,Time,Down,ToGo,Location,SDG,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,IND 25,0,10,Philip Rivers pass incomplete short right intended for Melvin Gordon,3.270,1.950
2,14:56,4,1,IND 25,3,10,Josh Lambo 42 yard field goal good,1.950,3.000
2,14:56,,,SDG 35,3,10,"Josh Lambo kicks off 51 yards, returned by Jordan Todman for 15 yards (tackle by Jeremiah Attaochu)",0.000,-0.870
2,14:45,1,10,IND 29,3,10,"Andrew Luck pass incomplete short right intended for Chester Rogers is intercepted by Casey Hayward at IND-33 and returned for 21 yards. Penalty on Chester Rogers: Face Mask (15 Yards), 6 yards",0.870,0.870
2,14:36,1,10,IND 29,3,10,Timeout #1 by Indianapolis Colts,0.870,-5.830
2,14:36,1,6,IND 6,3,10,"Philip Rivers pass incomplete short left intended for Travis Benjamin. Penalty on D.J. Fluker: Offensive Holding, 10 yards (no play)",5.830,4.310
2,14:31,1,16,IND 16,3,10,Philip Rivers pass incomplete deep left intended for Dexter McCluster,4.310,3.340
2,14:26,2,16,IND 16,3,10,Philip Rivers pass incomplete,3.340,2.850
2,14:17,3,16,IND 16,3,10,Philip Rivers pass incomplete,2.850,2.380
2,14:09,4,16,IND 16,6,10,Josh Lambo 34 yard field goal good,2.380,3.000
2,14:09,,,SDG 35,6,10,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
2,14:04,1,10,IND 25,6,10,Frank Gore middle for 19 yards (tackle by Brandon Flowers and Adrian Phillips),0.610,1.860
2,13:28,1,10,IND 44,6,10,Frank Gore right tackle for 1 yard (tackle by Brandon Mebane),1.860,1.450
