0,1
Officials,Officials
Referee,Ron Torbert
Umpire,Carl Paganelli
Head Linesman,Jim Howey
Line Judge,Mark Steinkerchner
Back Judge,Greg Yette
Side Judge,Greg Gautreaux
Field Judge,Aaron Santi
