Quarter,Time,Tm,Detail,NYJ,HOU
1.0,0:08,Jets,Jay Feely 24 yard field goal,3,0
2.0,3:21,Jets,Chansi Stuckey 30 yard pass from Mark Sanchez (Jay Feely kick),10,0
3.0,7:35,Jets,Thomas Jones 1 yard rush (Jay Feely kick),17,0
4.0,12:18,Texans,Dominique Barber 48 yard defensive fumble return (Kris Brown kick),17,7
,10:10,Jets,Thomas Jones 38 yard rush (Jay Feely kick),24,7
