Unnamed: 0,HOU,DET
First Downs,21,28
Rush-Yds-TDs,23-77-0,29-109-2
Cmp-Att-Yd-TD-INT,17-25-318-4-0,28-43-295-1-1
Sacked-Yards,2-11,4-16
Net Pass Yards,307,279
Total Yards,384,388
Fumbles-Lost,1-1,3-2
Turnovers,1,3
Penalties-Yards,10-74,4-44
Third Down Conv.,3-9,6-13
Fourth Down Conv.,0-0,1-3
Time of Possession,26:16,33:44
