Quarter,Time,Down,ToGo,Location,HOU,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Jack Fox kicks off 67 yards, returned by C.J. Prosise for 24 yards (tackle by C.J. Moore)",0.000,0.410
1,14:54,1,10,HOU 22,0,0,Duke Johnson up the middle for 3 yards (tackle by Jamie Collins),0.410,0.270
1,14:20,2,7,HOU 25,0,0,Deshaun Watson pass incomplete deep right intended for Keke Coutee,0.270,-0.430
1,14:12,3,7,HOU 25,0,0,Deshaun Watson pass complete short middle to Will Fuller for 10 yards (tackle by Desmond Trufant),-0.430,1.270
1,13:38,1,10,HOU 35,0,0,Deshaun Watson pass complete short right to Brandin Cooks for 11 yards (tackle by Will Harris),1.270,1.990
1,12:50,1,10,HOU 46,0,0,Deshaun Watson pass incomplete short middle intended for Kahale Warring,1.990,1.450
1,12:46,2,10,HOU 46,0,0,Duke Johnson left tackle for no gain (tackle by Jayron Kearse),1.450,0.760
1,12:04,3,10,HOU 46,0,0,Deshaun Watson sacked by and Jarrad Davis for -2 yards and Everson Griffen for -2 yards,0.760,-0.460
1,11:18,4,12,HOU 44,0,0,"Bryan Anger punts 41 yards, fair catch by Jamal Agnew at DET-15",-0.460,0.220
1,11:10,1,10,DET 15,0,0,Adrian Peterson up the middle for 1 yard (tackle by Zach Cunningham),-0.220,-0.580
1,10:35,2,9,DET 16,0,0,Adrian Peterson up the middle for no gain (tackle by Zach Cunningham),-0.580,-1.250
1,9:54,3,9,DET 16,0,0,Matthew Stafford pass complete short middle to T.J. Hockenson for 10 yards (tackle by Tyrell Adams and Eric Murray),-1.250,0.670
1,9:08,1,10,DET 26,0,0,Matthew Stafford pass complete short left to Kerryon Johnson for 6 yards (tackle by Justin Reid),0.670,0.940
1,8:35,2,4,DET 32,0,0,Matthew Stafford pass complete deep right to T.J. Hockenson for 51 yards (tackle by Lonnie Johnson),0.940,4.440
1,7:43,1,10,HOU 17,0,0,"Matthew Stafford pass incomplete deep right intended for Marvin Jones. Penalty on Bradley Roby: Defensive Pass Interference, 15 yards. Penalty on Jonathan Greenard: Defensive Offside, 15 yards (no play)",4.440,6.740
1,7:38,1,2,HOU 2,0,0,Adrian Peterson left tackle for 1 yard (tackle by J.J. Watt),6.740,5.910
1,6:57,2,1,HOU 1,0,6,"Adrian Peterson right tackle for 1 yard, touchdown",5.910,7.000
1,6:54,,,HOU 15,0,7,Matt Prater kicks extra point good,0.000,0.000
1,6:54,,,DET 35,0,7,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,6:54,1,10,HOU 25,0,7,Deshaun Watson up the middle for 12 yards (tackle by Reggie Ragland),0.610,1.400
1,6:15,1,10,HOU 37,0,7,Duke Johnson up the middle for 8 yards (tackle by Jamie Collins),1.400,1.940
1,5:31,2,2,HOU 45,0,7,"Duke Johnson left end for 6 yards (tackle by Jamie Collins). Penalty on Pharaoh Brown: Offensive Holding, 10 yards (no play)",1.940,0.590
1,5:06,2,12,HOU 35,0,7,Deshaun Watson pass incomplete short left intended for Duke Johnson (defended by Everson Griffen),0.590,-0.100
1,5:02,3,12,HOU 35,0,7,Deshaun Watson pass incomplete short right intended for Will Fuller (defended by Desmond Trufant),-0.100,-1.040
1,4:54,4,12,HOU 35,0,7,"Bryan Anger punts 40 yards, fair catch by Jamal Agnew at DET-25",-1.040,-0.610
1,4:45,1,10,DET 25,6,7,"Matthew Stafford pass short left intended for Jason Cabinda is intercepted by J.J. Watt at DET-19 and returned for 19 yards, touchdown",0.610,-7.000
1,4:38,,,DET 15,6,7,"Penalty on HOU: Delay of Game, 5 yards (no play)",1.000,0.000
1,4:38,,,DET 20,6,7,Ka'imi Fairbairn kicks extra point no good wide left,0.000,-1.000
1,4:38,,,HOU 35,6,7,"Ka'imi Fairbairn kicks off 65 yards, returned by Jamal Agnew for 23 yards (tackle by Peter Kalambayi and Nate Hall)",0.000,0.480
1,4:32,1,10,DET 23,6,7,"Jonathan Williams right tackle for 5 yards (tackle by Tyrell Adams and Ross Blacklock). Jonathan Williams fumbles (forced by Tyrell Adams), recovered by Bradley Roby at DET-30 (tackle by Oday Aboushi)",0.480,-3.580
1,4:24,1,10,DET 30,6,7,Deshaun Watson pass complete short left to Duke Johnson for 14 yards (tackle by Will Harris and Romeo Okwara),3.580,4.510
1,3:43,1,10,DET 16,6,7,"Deshaun Watson pass incomplete deep left intended for Duke Johnson. Penalty on Reggie Ragland: Defensive Pass Interference, 15 yards (no play)",4.510,6.970
1,3:37,1,1,DET 1,6,7,C.J. Prosise up the middle for -1 yards (tackle by Danny Shelton),6.970,5.720
1,3:03,2,2,DET 2,12,7,"Deshaun Watson pass complete short right to C.J. Prosise for 2 yards, touchdown",5.720,7.000
1,2:58,,,DET 15,13,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,2:58,,,HOU 35,13,7,"Ka'imi Fairbairn kicks off 66 yards, returned by Jamal Agnew for 23 yards (tackle by Keion Crossen)",0.000,0.410
1,2:51,1,10,DET 22,13,7,Kerryon Johnson up the middle for 8 yards (tackle by Tyrell Adams),0.410,0.950
1,2:16,2,2,DET 30,13,7,Kerryon Johnson right tackle for 3 yards (tackle by Zach Cunningham and J.J. Watt),0.950,1.140
1,1:37,1,10,DET 33,13,7,Matthew Stafford pass complete short right to T.J. Hockenson for 17 yards (tackle by Tyrell Adams),1.140,2.260
1,0:55,1,10,DET 50,13,7,Matthew Stafford pass complete short middle to Quintez Cephus for 16 yards (tackle by Tyrell Adams),2.260,3.310
1,0:18,1,10,HOU 34,13,7,Kerryon Johnson right tackle for 7 yards (tackle by Charles Omenihu),3.310,3.720
Quarter,Time,Down,ToGo,Location,HOU,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,HOU 27,13,7,"Kerryon Johnson up the middle for 4 yards (tackle by Brandon Dunn and Tyrell Adams). Kerryon Johnson fumbles (forced by Tyrell Adams), recovered by Brandon Dunn at HOU-21",3.720,-0.340
2,14:54,1,10,HOU 21,13,7,"C.J. Prosise up the middle for 4 yards (tackle by Jamie Collins). C.J. Prosise fumbles (forced by Jamie Collins), recovered by Jahlani Tavai at HOU-26",0.340,-3.840
2,14:50,1,10,HOU 26,13,7,Matthew Stafford pass complete short right to Kerryon Johnson for 14 yards (tackle by Tyrell Adams),3.840,4.780
2,14:20,1,10,HOU 12,13,7,Kerryon Johnson up the middle for 2 yards (tackle by Carlos Watkins),4.780,4.450
2,13:42,2,8,HOU 10,13,7,"Matthew Stafford pass incomplete short right. Penalty on Zach Cunningham: Illegal Contact, 5 yards (no play)",4.450,6.060
2,13:35,1,5,HOU 5,13,7,Adrian Peterson right tackle for 4 yards (tackle by Tyrell Adams and Zach Cunningham),6.060,5.910
2,13:00,2,1,HOU 1,13,13,"Adrian Peterson up the middle for 1 yard, touchdown",5.910,7.000
2,12:56,,,HOU 15,13,14,Matt Prater kicks extra point good,0.000,0.000
2,12:56,,,DET 35,13,14,"Jack Fox kicks off 25 yards, out of bounds",0.000,1.600
2,12:56,1,10,HOU 40,13,14,"Deshaun Watson pass incomplete deep left intended for Will Fuller. Penalty on Desmond Trufant: Defensive Pass Interference, 15 yards (no play)",1.600,2.590
2,12:51,1,10,DET 45,13,14,Deshaun Watson right tackle for 11 yards (tackle by Jahlani Tavai),2.590,3.310
2,12:26,1,10,DET 34,13,14,Duke Johnson up the middle for 5 yards (tackle by Christian Jones),3.310,3.450
2,11:54,2,5,DET 29,13,14,Duke Johnson up the middle for 4 yards (tackle by John Penisini),3.450,3.270
2,11:11,3,1,DET 25,13,14,Duke Johnson up the middle for 2 yards (tackle by Everson Griffen),3.270,4.040
2,10:32,1,10,DET 23,13,14,"Deshaun Watson pass complete deep left to Will Fuller for 23 yards. Penalty on Nick Martin: Offensive Holding, 10 yards (no play)",4.040,3.380
2,10:24,1,20,DET 33,19,14,"Deshaun Watson pass complete deep left to Duke Johnson for 33 yards, touchdown",3.380,7.000
2,10:18,,,DET 15,20,14,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,10:18,,,HOU 35,20,14,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,10:18,1,10,DET 25,20,14,Adrian Peterson right end for no gain (tackle by Zach Cunningham),0.610,0.060
2,9:35,2,10,DET 25,20,14,Matthew Stafford pass complete short middle to Marvin Jones for 12 yards (tackle by Tyrell Adams),0.060,1.400
2,8:58,1,10,DET 37,20,14,Matthew Stafford pass incomplete deep right,1.400,0.860
2,8:51,2,10,DET 37,20,14,Adrian Peterson left end for -2 yards (tackle by Corey Liuget),0.860,-0.100
2,8:09,3,12,DET 35,20,14,Matthew Stafford pass complete short left to Kerryon Johnson for 12 yards (tackle by Tyrell Adams),-0.100,2.060
2,7:50,1,10,DET 47,20,14,Kerryon Johnson up the middle for 3 yards (tackle by Zach Cunningham),2.060,1.920
2,7:10,2,7,DET 50,20,14,Kerryon Johnson left end for 1 yard (tackle by Tyrell Adams),1.920,1.360
2,6:26,3,6,HOU 49,20,14,Matthew Stafford pass incomplete short middle intended for Jamal Agnew,1.360,0.000
2,6:22,4,6,HOU 49,20,14,"Jack Fox punts 49 yards, touchback.",0.000,-0.280
2,6:15,1,10,HOU 20,20,14,Deshaun Watson pass complete short right to Will Fuller for 12 yards (tackle by Duron Harmon),0.280,1.070
2,5:45,1,10,HOU 32,20,14,Duke Johnson left tackle for 5 yards (tackle by Jarrad Davis),1.070,1.200
2,5:15,2,5,HOU 37,20,14,Deshaun Watson pass complete short middle to Will Fuller for 37 yards (tackle by Duron Harmon),1.200,3.840
2,4:47,1,10,DET 26,20,14,Deshaun Watson sacked by Nick Williams for -9 yards,3.840,2.080
2,3:57,2,19,DET 35,20,14,"Penalty on HOU: Delay of Game, 5 yards (no play)",2.080,1.410
2,3:37,2,24,DET 40,20,14,Deshaun Watson pass complete deep left to Brandin Cooks for 27 yards (tackle by Tracy Walker),1.410,4.710
2,2:58,1,10,DET 13,20,14,Deshaun Watson up the middle for 4 yards (tackle by Christian Jones),4.710,4.770
2,2:10,2,6,DET 9,20,14,"Deshaun Watson pass complete short left to Will Fuller for 4 yards (tackle by Amani Oruwariye and Jahlani Tavai). Penalty on Pharaoh Brown: Offensive Pass Interference, 10 yards. Penalty on Tytus Howard: Ineligible Downfield Pass, 10 yards (no play)",4.770,3.300
2,2:00,2,16,DET 19,20,14,Deshaun Watson pass complete short right to Duke Johnson for -4 yards (tackle by Christian Jones). Penalty on Zach Fulton: Offensive Holding (Declined),3.300,2.150
2,1:54,3,20,DET 23,20,14,Deshaun Watson pass incomplete deep left intended for Jordan Akins (defended by Jamie Collins),2.150,1.930
2,1:49,4,20,DET 23,23,14,Ka'imi Fairbairn 42 yard field goal good,1.930,3.000
2,1:44,,,HOU 35,23,14,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,1:44,1,10,DET 25,23,14,Kerryon Johnson left tackle for 4 yards (tackle by Charles Omenihu),0.610,0.600
2,1:10,2,6,DET 29,23,14,Matthew Stafford pass incomplete short right intended for Marvin Jones,0.600,-0.100
2,1:05,3,6,DET 29,23,14,"Matthew Stafford pass incomplete deep middle intended for Marvin Hall. Penalty on Eric Murray: Defensive Holding, 5 yards (no play)",-0.100,1.200
2,0:58,1,10,DET 34,23,14,Matthew Stafford pass complete short middle to Kerryon Johnson for 20 yards (tackle by Lonnie Johnson),1.200,2.520
2,0:51,1,10,HOU 46,23,14,Matthew Stafford pass incomplete short left intended for Marvin Jones,2.520,1.980
2,0:46,2,10,HOU 46,23,14,Matthew Stafford pass complete short right to T.J. Hockenson for 2 yards (tackle by Justin Reid),1.980,1.550
2,0:24,3,8,HOU 44,23,14,Matthew Stafford sacked by Whitney Mercilus for -4 yards,1.550,0.070
2,0:15,,,,,,Timeout #1 by Houston Texans,,
2,0:15,4,12,HOU 48,23,14,"Jack Fox punts 39 yards, fair catch by Keke Coutee at HOU-9",0.070,0.380
2,0:09,1,10,HOU 9,23,14,Deshaun Watson kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,HOU,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,23,14,"Ka'imi Fairbairn kicks off 60 yards, returned by Jamal Agnew for 16 yards (tackle by Jonathan Greenard)",0.000,0.340
3,14:53,1,10,DET 21,23,14,Adrian Peterson up the middle for 19 yards (tackle by Eric Murray),0.340,1.600
3,14:23,1,10,DET 40,23,14,Adrian Peterson up the middle for 11 yards (tackle by Lonnie Johnson and Justin Reid),1.600,2.320
3,13:44,1,10,HOU 49,23,14,Adrian Peterson up the middle for 4 yards (tackle by J.J. Watt),2.320,2.320
3,13:07,2,6,HOU 45,23,14,Adrian Peterson up the middle for 4 yards (tackle by Zach Cunningham),2.320,2.150
3,12:21,3,2,HOU 41,23,14,Adrian Peterson right tackle for 2 yards (tackle by Corey Liuget and J.J. Watt),2.150,2.980
3,11:39,1,10,HOU 39,23,14,Kerryon Johnson right tackle for 8 yards (tackle by Tyrell Adams),2.980,3.520
3,11:04,2,2,HOU 31,23,14,Kerryon Johnson left tackle for 3 yards (tackle by Tyrell Adams),3.520,3.710
3,10:27,1,10,HOU 28,23,14,Kerryon Johnson right tackle for 3 yards (tackle by Zach Cunningham and Brandon Dunn),3.710,3.570
3,9:46,2,7,HOU 25,23,14,Adrian Peterson right tackle for 5 yards (tackle by Tyrell Adams),3.570,3.530
3,9:05,3,2,HOU 20,23,14,Matthew Stafford up the middle for 3 yards (tackle by Tyrell Adams),3.530,4.440
3,8:23,1,10,HOU 17,23,14,Jamal Agnew pass incomplete short left intended for Matthew Stafford (defended by Whitney Mercilus) (defended by Justin Reid),4.440,3.850
3,8:16,2,10,HOU 17,23,14,Matthew Stafford pass complete short right to Marvin Jones for 6 yards (tackle by Vernon Hargreaves),3.850,4.100
3,7:33,3,4,HOU 11,23,14,Matthew Stafford pass incomplete short middle intended for Marvin Jones,4.100,2.770
3,7:28,4,4,HOU 11,23,17,Matt Prater 29 yard field goal good,2.770,3.000
3,7:24,,,DET 35,23,17,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
3,7:24,1,10,HOU 25,23,17,Deshaun Watson pass complete short right to Brandin Cooks for 10 yards (tackle by Justin Coleman),0.610,1.270
3,6:45,1,10,HOU 35,23,17,Duke Johnson up the middle for 5 yards (tackle by Reggie Ragland),1.270,1.400
3,6:02,2,5,HOU 40,23,17,Deshaun Watson pass complete deep right to Will Fuller for 38 yards (tackle by Duron Harmon),1.400,4.110
3,5:14,1,10,DET 22,23,17,Duke Johnson left tackle for 5 yards (tackle by Jarrad Davis),4.110,4.290
3,4:38,2,5,DET 17,23,17,Deshaun Watson pass complete short right to Keke Coutee for 8 yards (tackle by Justin Coleman),4.290,5.140
3,4:13,1,9,DET 9,23,17,C.J. Prosise up the middle for 1 yard (tackle by Jayron Kearse and Reggie Ragland),5.140,4.570
3,3:28,2,8,DET 8,23,17,Deshaun Watson pass incomplete short right. Penalty on Senio Kelemete: Offensive Holding (Declined),4.570,3.580
3,3:19,3,8,DET 8,23,17,Deshaun Watson pass incomplete short left intended for Jordan Akins,3.580,2.950
3,3:14,4,8,DET 8,26,17,Ka'imi Fairbairn 26 yard field goal good,2.950,3.000
3,3:10,,,HOU 35,26,17,"Ka'imi Fairbairn kicks off 65 yards, returned by Jamal Agnew for 28 yards (tackle by Keion Crossen)",0.000,0.810
3,3:05,1,10,DET 28,26,17,Matthew Stafford pass complete short right to Marvin Jones for 3 yards (tackle by Vernon Hargreaves),0.810,0.670
3,2:27,2,7,DET 31,26,17,Adrian Peterson left tackle for 8 yards (tackle by Tyrell Adams). Penalty on Carlos Watkins: Defensive Offside (Offsetting) Penalty on DET: Illegal Formation (Offsetting) (no play),0.670,0.670
3,2:00,2,7,DET 31,26,17,Matthew Stafford pass complete short right to Marvin Hall for 7 yards (tackle by Vernon Hargreaves),0.670,1.470
3,1:38,1,10,DET 38,26,17,Adrian Peterson up the middle for 4 yards (tackle by Ross Blacklock and Zach Cunningham),1.470,1.460
3,1:02,2,6,DET 42,26,17,Matthew Stafford sacked by Justin Reid for -7 yards,1.460,-0.160
3,0:12,3,13,DET 35,26,17,Matthew Stafford pass incomplete deep left intended for Marvin Jones (defended by Bradley Roby),-0.160,-1.040
3,0:04,4,13,DET 35,26,17,"Jack Fox punts 50 yards, fair catch by Will Fuller at HOU-15",-1.040,0.220
Quarter,Time,Down,ToGo,Location,HOU,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,HOU 15,26,17,Deshaun Watson pass complete short left to Brandin Cooks for 19 yards (tackle by Justin Coleman),-0.220,1.200
4,14:32,1,10,HOU 34,26,17,Deshaun Watson pass complete short middle to Brandin Cooks for 18 yards (tackle by Amani Oruwariye),1.200,2.390
4,13:51,1,10,DET 48,26,17,Deshaun Watson pass complete short right to Keke Coutee for 9 yards (tackle by Jayron Kearse),2.390,3.060
4,13:04,2,1,DET 39,26,17,Deshaun Watson pass incomplete deep right,3.060,2.340
4,12:56,3,1,DET 39,26,17,Jordan Akins up the middle for 4 yards (tackle by Jamie Collins and Jayron Kearse),2.340,3.250
