Quarter,Time,Tm,Detail,HOU,DET
1.0,6:54,Lions,Adrian Peterson 1 yard rush (Matt Prater kick),0,7
,4:38,Texans,J.J. Watt 19 yard interception return (Ka'imi Fairbairn kick failed),6,7
,2:58,Texans,C.J. Prosise 2 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),13,7
2.0,12:56,Lions,Adrian Peterson 1 yard rush (Matt Prater kick),13,14
,10:18,Texans,Duke Johnson 33 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),20,14
,1:44,Texans,Ka'imi Fairbairn 42 yard field goal,23,14
3.0,7:24,Lions,Matt Prater 29 yard field goal,23,17
,3:10,Texans,Ka'imi Fairbairn 26 yard field goal,26,17
4.0,12:09,Texans,Will Fuller 40 yard pass from Deshaun Watson (Keke Coutee pass from Deshaun Watson),34,17
,10:07,Texans,Will Fuller 34 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),41,17
,6:32,Lions,Mohamed Sanu 14 yard pass from Matthew Stafford (Mohamed Sanu pass from Matthew Stafford),41,25
